year,<15,15-64,65+,overall
2020,0.0,1.6562947716417966,13.332142231487751,14.988437003129548
2030,0.0,1.4045067612603077,15.505313805390756,16.909820566651092
2040,0.0,0.859003749174633,16.644887650467695,17.50389139964227
2050,0.0,0.541352311697068,18.971305498867537,19.51265781056452
