year,<15,15-64,65+
2020,0.0,114.28709037627453,797.8608372508248
2030,0.0,104.90710743384062,1036.781247029892
2040,0.0,67.1712944536911,1189.7813120839742
2050,0.0,43.702853767390415,1412.4982651530215
