year,deaths_T,deaths_T_plus_dT,marginal_per_C,<15,15-64,65+
2020,662.4622952891399,1048.044790037272,385.58249474813204,0.0,90.11181558141097,572.3504797077289
2030,822.3282954268352,1248.9118780204155,426.58358259358033,0.0,82.41276085488056,739.9155345719547
2040,885.5283070135242,1321.7615172525846,436.2332102390603,0.0,52.09631683580666,833.4319901777176
2050,1023.7845588560058,1510.0352221817088,486.25066332570304,0.0,33.90516687688376,989.879391979122
