scenario,target_gvi,total_dGVI,n_treated,dLST_popw_C,avoided_deaths_anchor,avoided_deaths_25y_raw,avoided_deaths_25y,capex_eur,cost_per_death
Q3 (baseline),21.3,23.10422698965677,12,-0.07095400989055634,68.91480677998743,419.8303438912472,181.31282844477167,231042269.8965677,1274274.257802689
Q3 + 5,26.3,92.2786508296162,15,-0.24085111916065216,222.32898963335253,1353.589000722948,586.094959750023,922786508.296162,1574465.865889279
Q3 + 10,31.3,167.2786508296162,15,-0.4185200035572052,370.87319821959966,2256.2767116571913,979.2773357457964,1672786508.296162,1708184.6451824638
Max observed,35.0,222.7786508296162,15,-0.5499950051307678,472.95863887274095,2875.838608697717,1250.0453157136424,2227786508.296162,1782164.5985884392
