year,<15,15-64,65+
2020,1.0,1.0,1.0
2030,1.0,0.8013906505702006,0.8718243483130023
2040,1.0,0.5531377015327686,0.7777309665733324
2050,1.0,0.3627068776762346,0.7960207985889555
