year,total,<15,15-64,65+
2020,662.4622909681343,0.0,90.11181462077178,572.3504763473625
2030,822.3282901091583,0.0,82.41275996100042,739.9155301481578
2040,885.5283011035508,0.0,52.096316236674426,833.4319848668764
2050,1023.7845521619747,0.0,33.90516648707734,989.8793856748974
