cap_id,pop_cap,users_cap,ac_share_cap,kwh_cap,kwh_per_user_cap,kwh_pc_overall,kwh_GWh
2,29349.971132685547,22810.28625966558,0.7771825790405273,15852574.337318525,694.9748,540.122314453125,15.852574337318524
3,9041.909020647407,6912.1106485536675,0.7644525766372681,3878689.235834554,561.144,428.96795654296875,3.8786892358345537
17,12389.154159843922,9552.207305190392,0.7710136771202086,6871152.3879790865,719.3261,554.6102905273438,6.871152387979087
18,38820.51422589086,29338.69388616354,0.7557523250579834,22772368.594085477,776.1889,586.6065673828125,22.772368594085478
19,5736.376811541617,4372.762853869144,0.7622865438461304,1867456.5687942698,427.06558,325.5463562011719,1.86745656879427
21,1286.5160108944401,985.4274437676673,0.7659659385681152,551036.8959032142,559.18567,428.3171691894531,0.5510368959032143
22,35771.18075878578,26642.517265155762,0.7448039650917053,17872601.93003168,670.8301,499.6369018554687,17.872601930031678
24,2354.420031799935,1810.207556338023,0.7688549757003784,1092484.8085202763,603.51355,464.01440429687506,1.0924848085202763
33,8040.940718358848,6170.074618328676,0.767332434654236,4051698.6952334507,656.6693,503.8836669921875,4.05169869523345
40,43085.86913562426,26436.760630002587,0.6135830879211426,14803356.872107645,559.9535,343.5780029296875,14.803356872107646
41,17485.160989142372,6856.924427193607,0.39215677976608276,5374790.572821087,783.8486,307.39154052734375,5.374790572821087
42,211.85206925868988,163.73158417942292,0.7728580832481384,124408.3044823606,759.8308,587.2413940429688,0.12440830448236061
44,3906.593877106905,2370.902884767763,0.6068977117538452,1574323.47405547,664.01855,402.99133300781244,1.57432347405547
45,11841.172202533686,8016.498825771352,0.6770021319389343,6362406.948162699,793.66406,537.312255859375,6.3624069481626995
46,80953.7518709586,70205.4883056511,0.8672295808792114,49986807.257562526,712.00714,617.4736328125,49.986807257562525
47,81027.71184278402,52932.50051272917,0.6532641649246216,28737461.672760975,542.9077,354.6621398925781,28.737461672760976
48,37270.78625073869,16121.253596246986,0.4325439631938935,11422596.29127364,708.54266,306.4758605957032,11.42259629127364
49,18030.94907438825,16216.369190288902,0.8993630409240723,8505416.251547629,524.4957,471.7120666503906,8.50541625154763
50,49961.821112634556,40131.628068251564,0.8032459020614625,31036747.398042936,773.3738,621.2092895507812,31.036747398042937
51,36828.83580037113,19233.38082682509,0.5222370028495789,12509163.366576662,650.3882,339.6567687988281,12.509163366576662
52,9058.825406457414,3793.862234876938,0.4188028872013092,2386632.811563486,629.07733,263.45941162109375,2.386632811563486
53,104346.73128270754,42343.4541746312,0.405795693397522,23841349.29647951,563.0469,228.48199462890625,23.841349296479507
54,35139.4433121713,23548.70777465283,0.6701502799987793,19523969.281612236,829.0888,555.6140747070312,19.523969281612235
55,77100.78483946776,70348.10314686451,0.9124174714088441,45185619.89276584,642.3147,586.0591430664062,45.18561989276584
56,30156.22479126975,29553.100870628696,0.9800000190734863,17989393.674371697,608.71423,596.5399780273439,17.989393674371698
57,35070.24932880234,32532.123664343206,0.9276273846626282,19921637.57897736,612.36816,568.0494995117188,19.92163757897736
58,25116.31397424126,13452.143733833658,0.5355938673019409,9863644.362615265,733.23956,392.7186279296875,9.863644362615265
