"city","b1","b2","b3","b4","b5","v11","v21","v31","v41","v51","v22","v32","v42","v52","v33","v43","v53","v44","v54","v55","totdeath","conv","ageval","agegr"
"bern.sui9513",0.033752419798215,-0.410460387297796,-0.262423406553495,-0.444498343162866,-1.76696412180996,1.05462946949539,0.832528770216088,0.933753583403949,0.857233924693116,1.03593252051626,0.748291955227429,0.780946859191341,0.751957529973191,0.833845781445567,0.905857938903011,0.813304934463952,1.0127719793484,0.928908663791863,0.546812974522961,2.79782956200238,6633,TRUE,62.0234759975564,"0074"
"bern.sui9513",0.45589005117233,0.132304091116249,0.653657562640355,0.754714758400038,1.38943175472925,0.967924115810654,0.766792965227004,0.861524285303517,0.790990024946229,0.954123360735899,0.684224892581632,0.718988499687555,0.689828496975668,0.768726634022533,0.836549325180071,0.751093840963044,0.933562820032009,0.839891327494767,0.550456752056604,2.37220952000648,7642,TRUE,80.3299007484076,"7584"
"bern.sui9513",0.512677728794868,0.175844634479281,-0.0384923463314519,0.168509419332803,0.106812486593957,0.43422763226278,0.33609720186188,0.381602605393609,0.347918180668275,0.427997812388046,0.301537706438977,0.314516557996287,0.303298366294234,0.337027526685468,0.373070465379775,0.330980871396372,0.422422568806423,0.39275126093488,0.196899592724089,1.28541581465417,13918,TRUE,91.6619047619048,"8599"
"zrch.sui9513",0.203870218894009,-0.245636490551883,0.511879852780029,0.581044647085079,0.738943908663844,0.626634494079219,0.490560623937004,0.554653561195713,0.507207721924694,0.610107236852759,0.446534194593996,0.464364632370123,0.449822419942268,0.487708042316996,0.545419999118029,0.487543883553472,0.601045452180173,0.553073865334457,0.353046905939323,1.54776412870932,10103,TRUE,50.2588224787707,"0064"
"zrch.sui9513",-0.0913426806251081,-0.256036477809091,-0.633532208183469,-0.396147601253531,-0.488838982584716,0.655254474544866,0.513452385282969,0.579668841531029,0.529597925617336,0.64028649798489,0.467193303728008,0.485231638486028,0.470003969861648,0.511709367015284,0.570479072885686,0.507854788649989,0.634034934997432,0.578812086132464,0.358661737624016,1.71252886301143,9513,TRUE,70.1194771915641,"6574"
"zrch.sui9513",-1.31462664051098,-1.18421273211782,-1.38257008383404,-1.32954033276021,-0.684349690989243,0.308052729919592,0.241181585802461,0.27278540408972,0.248945764304329,0.301557112274681,0.219611114251942,0.228290520270607,0.220940244178942,0.240771191782549,0.269149165430163,0.239576261715108,0.298580395610323,0.276805066141961,0.162062975941184,0.810904015870666,20234,TRUE,80.2994825070461,"7584"
"zrch.sui9513",0.271281879239276,-0.0685703488208279,0.0929487316757702,0.0306255390849081,0.756374920410542,0.155721864048553,0.119478262000489,0.136614273925506,0.123999611475,0.151504854546807,0.108768053258621,0.112823411426597,0.109568750679341,0.118755680480386,0.135777285071827,0.119569388373754,0.151086304820208,0.142252716613573,0.0760404454724277,0.429254331581637,33689,TRUE,91.7714285714286,"8599"
"genv.sui9513",0.663876961097798,0.49117069367473,0.0903120445769358,-0.0796847001347127,1.21917522485964,1.06007146932241,0.857771063390873,0.939338551236434,0.876232995334357,1.02604105759504,0.772613194601963,0.800280205665502,0.777457239741769,0.839965448607413,0.900484730471983,0.82225569495934,0.996918211862817,0.932172606377968,0.558504396871955,2.6229055634874,8173,TRUE,62.5110410030694,"0074"
"genv.sui9513",-0.21248070320475,-0.56383679049335,-0.52845292278803,-0.681788433359957,-1.52295383390374,1.16902225960836,0.937507672588067,1.03139491586043,0.958215151257419,1.1348736056524,0.841286852834405,0.872653780073413,0.846353344860764,0.919503512758201,0.988469922135863,0.897484743393393,1.10323049848488,1.02919547917101,0.572765366603015,3.14912418101916,7088,TRUE,80.2277140515323,"7584"
"genv.sui9513",-0.104758323849958,-0.185041830058509,0.195894483462569,0.158732517076795,2.43898785365296,0.652948722544649,0.518390341283891,0.573328454621141,0.531483631241225,0.630026163835485,0.466449852473617,0.482387643020306,0.469689152262796,0.506756218772745,0.55305453835601,0.499353895461909,0.616208319398983,0.589223216006726,0.294986066586137,1.77912998544728,11045,TRUE,92.1190476190476,"8599"
"basl.sui9513",-0.93671883628905,-0.589816579975022,-0.771441777992246,-0.01908324300241,-1.2702464118968,1.09959398305112,0.847533428792008,0.965635781438811,0.869697971255331,1.12273980814357,0.774260481343161,0.797743869007313,0.774222706215043,0.857503373441005,0.953471428846732,0.833340867510083,1.13023293787892,1.02013649984384,0.348133559827419,4.38821394101611,5127,TRUE,51.0252512152334,"0064"
"basl.sui9513",0.435219635926411,0.32987284332277,0.236530370525497,0.994665494071638,-1.95707995386547,1.27626776365651,1.0184041899055,1.14384413339866,1.03554265798611,1.32879707322851,0.923493390125804,0.961032455727529,0.922893368785275,1.04586025536355,1.12119133425764,0.988534374220227,1.32521074013658,1.16795145713042,0.480841953076057,4.8959859284624,5380,TRUE,70.0748867757676,"6574"
"basl.sui9513",-0.567419536436616,-0.464906931601089,-0.579975845598364,-0.821980533569052,0.255942608041918,0.532634828001492,0.415043535462643,0.473088790159529,0.424885204165153,0.552916606959131,0.377509208200286,0.390838139026573,0.377534036324612,0.422748686915971,0.469087708647373,0.406868582024691,0.561191030540237,0.505905740968747,0.141126613040615,2.27428388473867,10456,TRUE,80.2388068777174,"7584"
"basl.sui9513",-0.253157293563469,-0.506153231143449,-0.543115555506904,-1.13121817119141,2.12023271596865,0.324313462609543,0.250636314731482,0.286512735209525,0.257825759368605,0.333099241487875,0.227641486506157,0.235729614806746,0.228381758098308,0.25362908471462,0.284049137335167,0.247286705960062,0.336949983104358,0.309941360731595,0.085122914667601,1.34122573409567,16644,TRUE,91.7126984126984,"8599"
"lsnn.sui9513",-0.431859386268595,-1.03006627762976,-0.379321668679112,-1.1080119301042,1.09632005088132,1.33565319415294,1.09300949615342,1.19967210825605,1.11236886678821,1.36100617124074,1.0001427081688,1.03507968359885,1.00273331452815,1.11379657050262,1.16798215471083,1.05843856556004,1.35178666780439,1.22163597129308,0.622833596407501,4.26583543449427,6065,TRUE,62.2133685727031,"0074"
"lsnn.sui9513",0.233613788711749,-0.5379946736678,-0.118575051695349,-1.21139559460187,2.66664885442941,1.34213904701067,1.09168761039485,1.20203488352328,1.11402893093776,1.34826111533645,0.997532864765196,1.03198967232979,1.00212906830356,1.0985125111241,1.17351720068931,1.05911425702747,1.34404766723033,1.22964341929538,0.639939173452939,4.02779793852287,5900,TRUE,80.2471215983834,"7584"
"lsnn.sui9513",0.191031077203464,0.259333103070085,0.238363762529007,0.530257322620345,-0.357282598203836,0.704146033246582,0.558309138221467,0.622160827574643,0.574133868162734,0.706425016511256,0.514613379235406,0.527696314120697,0.51673986678033,0.560107133688721,0.614236566022875,0.549111956987109,0.715433310297389,0.677361367317836,0.239992672353077,2.60039841835614,8845,TRUE,92.1190476190476,"8599"
"lzrn.sui9513",-1.42943669556999,-1.15043305183574,-1.35245292565206,-0.933585288590486,-0.944449088315457,0.847134725588363,0.667180335004761,0.751218262368071,0.691287732266659,0.834162534127633,0.598393452549094,0.625238913751599,0.604683711848428,0.664274474860347,0.732530580363718,0.656386774731498,0.822466941985708,0.749744268131557,0.457664888759957,2.22013657080293,8168,TRUE,74.1760635358415,"0084"
"lzrn.sui9513",-1.24384496527581,-1.14996758761321,-1.34598941094718,-1.60747750266469,-0.188782725413092,0.843783869987762,0.651231161349007,0.73769370728079,0.675774574650511,0.822040044876395,0.585523416458327,0.606831530382466,0.590140045150279,0.643086716062403,0.724784829631263,0.640373005562745,0.819648154830952,0.766549786365838,0.384350998877083,2.41988686876584,6905,TRUE,91.5952380952381,"8599"
"lugn.sui9513",1.11826210285495,0.363584506551538,0.479340465897461,-0.681697499377447,3.45057590866458,1.82160698599794,1.54705467797022,1.64283427811296,1.59372821803571,1.76678619008864,1.42218868583141,1.4482544667799,1.43728189606347,1.49600211288351,1.58040939146924,1.5105517596247,1.72915775020643,1.6331680688171,1.20694792456585,3.9655553582467,8584,TRUE,62.8089152508289,"0074"
"lugn.sui9513",0.687291846504033,0.349797814559631,0.461530792674058,0.285184446272839,0.945001590421065,1.66415348646808,1.40022614865144,1.49419527992305,1.4459745026506,1.62281781132773,1.28257004103669,1.3057343456457,1.29602308987321,1.35368622375586,1.43846728192575,1.3684363315863,1.59469948307457,1.50253748819503,1.03155503135356,4.01507218435874,8064,TRUE,80.2659267987463,"7584"
"lugn.sui9513",-1.28533774669293,-1.46090638897524,-1.00197964787225,-1.11924893001109,0.387114935778098,1.0722809245367,0.881373499313383,0.948468343026419,0.917397977609341,1.03352799253019,0.797284901916715,0.812852990602581,0.80834495921516,0.842089506054331,0.908781207838109,0.862331625339197,1.01327196589277,0.962890338070874,0.614240310014995,2.70597083112895,11919,TRUE,92.5809523809524,"8599"
"stgl.sui9513",0.239630848280216,0.290461397973057,0.300775721587777,0.163808072929632,0.496703892661085,0.647909873258049,0.4714156342186,0.556440170399292,0.492842478108737,0.637847223623517,0.417251543486081,0.442905560123475,0.420038945951325,0.480466574156055,0.550179149924454,0.472369866305487,0.631779607935163,0.562260232915437,0.265268483284371,1.98351725628807,7338,TRUE,74.0657325431466,"0084"
"stgl.sui9513",-0.826075542488049,-0.874151922691468,-0.999248838799492,-1.36896041529253,-0.555116070365545,0.688085341120773,0.489224191993035,0.588411295033431,0.514530251481783,0.684160142005949,0.435555613811396,0.460863850702511,0.43767085362435,0.502053219134755,0.593490837224323,0.499524215506548,0.689058871625021,0.633520167814307,0.197736755002633,2.55253450807693,6205,TRUE,91.6333333333333,"8599"
"nico.cyp0419",-0.89258000333743,-1.37716060323766,-1.21217030974132,-1.09980950336058,0.123221618398955,0.269650018487966,0.195748560675612,0.213552783910172,0.215367740570057,0.225756390424228,0.180503453928811,0.180561977759051,0.182122898205835,0.186195999973716,0.214607007981513,0.214387040293685,0.22294887488703,0.254210951021346,0.142911210640023,0.6956667176385,30956,TRUE,80.7904761904762,"0099"
"larn.cyp0419",0.0992552826877108,-0.355499223974438,-0.614595335161816,0.289596152172198,-0.243478623395667,0.66643075739105,0.479418664959359,0.522258473370363,0.533096187586685,0.557362056126816,0.434048214920947,0.435413844513332,0.438401704440539,0.452260691753411,0.5209268534432,0.534077693835074,0.544504008682616,0.646153871638563,0.326839205450372,1.91610819821029,13256,TRUE,80.7904761904762,"0099"
"lima.cyp0419",-0.694679006540377,-1.31844176774556,-1.23594144795319,-1.10258459246539,-0.518055917391391,0.414937112249945,0.298528508761611,0.323554298085909,0.330183688619824,0.329272521682742,0.266428258107054,0.269671710592721,0.272045645650873,0.27581373199005,0.311653404980993,0.312532256211872,0.315320447047085,0.37366354046527,0.184325334520194,0.976210783259526,23005,TRUE,80.7904761904762,"0099"
"prag.cze9415",-0.551409043803988,-0.706979323187464,-0.651029860231577,-0.992545475486028,-0.0380330472649152,0.148736200130939,0.113544314246222,0.129323147187713,0.117281107013502,0.138835344327576,0.101619980549749,0.106511668564209,0.102305413501408,0.110887276375432,0.125984078024661,0.111654147243484,0.136436592238244,0.125609641089694,0.091520752368367,0.279236858075925,44757,TRUE,46.8786011275331,"0059"
"prag.cze9415",0.131579801775324,0.0479802373066476,-0.0847950406316923,-0.12780311551426,0.43302582494832,0.0677801083741556,0.0515243332988407,0.0588196787217215,0.0534219404569413,0.0622998814440806,0.045832115627999,0.048076436749691,0.0462337248335156,0.0496358840536743,0.057011567894761,0.0506218247377198,0.0606813918031609,0.0572507745191068,0.0419794678472773,0.11429698476511,93060,TRUE,68.577177339414,"6074"
"prag.cze9415",0.253005657189289,0.105564686553591,0.0242342657070167,0.0472630992770514,0.678197578075131,0.0370148461753648,0.0284310760922666,0.0322584749922165,0.0295285488790489,0.0339963143646003,0.0250472160936077,0.0263832026514295,0.0253508940879286,0.0272295287960404,0.0310676840397696,0.0278344581396048,0.0328439487622356,0.0308592570389546,0.0237945923999934,0.0584002077559036,198636,TRUE,86.1047619047619,"7599"
"brno.cze9415",-0.0988999638354799,-0.0483877890454113,-0.129249786169444,-0.015770988370866,0.316846438885928,0.541779835719541,0.433696103655044,0.480419557649985,0.446094821918698,0.500539566738976,0.398543491062001,0.41246026314246,0.400205930992873,0.42306576142903,0.470406580707123,0.428332753831173,0.49355708080227,0.468246049405329,0.392503671973229,0.739346363082226,14748,TRUE,46.7271868473606,"0059"
"brno.cze9415",0.110657536651453,0.0921834400232379,0.143200347579844,-0.0690093041212396,0.531491137819132,0.267407290017257,0.212827849274414,0.236148705435426,0.219894428481404,0.243923742203529,0.194039513974847,0.201110095053049,0.195364432549318,0.20517767866715,0.229713845257979,0.209882397226726,0.238420729141333,0.228909656501698,0.19292801209418,0.340027995056009,29254,TRUE,68.4577528711181,"6074"
"brno.cze9415",-0.384182037474149,-0.602927276678584,-0.679412592685789,-0.71229309092717,-0.126249123157458,0.141950156197143,0.113482108549379,0.125733298299759,0.11732359897006,0.129861611001796,0.102266970466697,0.10654861120994,0.103241325356761,0.108822200802329,0.121612526381459,0.111297343313608,0.126098538463343,0.120309151048406,0.102799175071951,0.176824892658589,61667,TRUE,85.7,"7599"
"ostr.cze9415",0.775857027722419,0.376246167163069,0.269045067980798,-0.210271246077756,1.89741036806961,0.554851170560378,0.434504297300472,0.482298725508146,0.443782981950977,0.522479619007013,0.383017249740674,0.401314305075126,0.385721050310027,0.421922211750609,0.45480010394447,0.411307138687333,0.497492893833691,0.462947697662036,0.337689785078912,0.975864791019137,16901,TRUE,47.2327366661404,"0059"
"ostr.cze9415",0.369595293521825,-0.0325388896592026,0.0749980412496672,-0.153913194825877,0.447602903931495,0.312601689810066,0.246072275873398,0.272888370346633,0.252575590288532,0.292138113849882,0.216972385729527,0.227423284758931,0.219221765248173,0.237219778332327,0.257392776658874,0.234574934868189,0.277517640155879,0.26270552527824,0.193262940576646,0.521607567014829,30114,TRUE,68.3498651239508,"6074"
"ostr.cze9415",0.201388208566827,-0.166951381977644,-0.192028195372856,-0.218125081354248,0.617512828656637,0.216725434625792,0.169451291901515,0.188419731901914,0.174471955531216,0.201339719644634,0.147710404441678,0.155420621229379,0.149688665923172,0.162104362017866,0.176621004328941,0.160860291421155,0.190096844304392,0.179622732782012,0.133851140059389,0.350231859127784,45245,TRUE,85.2047619047619,"7599"
