"URAU_CODE","year","pop","isol","prop_65p","popdens","ndvi","pm25","no2","imperv","tree","grass","water","woody","elevation","coast_dist","tmean","trange","prop_0004","prop_1014","prop_1519","prop_2024","prop_2529","prop_3034","prop_3539","prop_4044","prop_4549","prop_5054","prop_5559","prop_0509","prop_6064","prop_6569","prop_7074","prop_7579","prop_8084","prop_8599","lifexp_00","lifexp_05","lifexp_10","lifexp_15","lifexp_20","lifexp_25","lifexp_30","lifexp_35","lifexp_40","lifexp_45","lifexp_50","lifexp_55","lifexp_60","lifexp_65","lifexp_70","lifexp_75","lifexp_80","lifexp_85","gdp","educ","unempl","depriv","bedrates","deathrate_tot","deathrate_0004","deathrate_1014","deathrate_1519","deathrate_2024","deathrate_2529","deathrate_3034","deathrate_3539","deathrate_4044","deathrate_4549","deathrate_0509","deathrate_5054","deathrate_5559","deathrate_6064","deathrate_6569","deathrate_7074","deathrate_7579","deathrate_8084","deathrate_8599","isol2"
"AT001C",2000,1615438,NA,NA,NA,0.48338369519,18.7486686706543,NA,NA,NA,NA,NA,NA,184,342.324402992851,11.2208196721311,36.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6,73.1,68.1,63.2,58.3,53.4,48.6,43.8,39.1,34.5,30.1,25.9,21.8,17.9,14.3,11,8.1,5.7,37200,19.2,7.4,NA,892.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2001,1550123,45,0.160075684316664,NA,0.48954311722,19.6659450531006,NA,NA,NA,NA,NA,NA,184,342.324402992851,10.127698630137,39.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,73.6,68.6,63.6,58.7,53.9,49,44.2,39.5,34.8,30.4,26.2,22.2,18.2,14.6,11.2,8.3,5.8,38300,20,5.9,NA,870.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2002,NA,NA,NA,NA,0.47670890876,22.1490211486816,NA,NA,NA,NA,NA,NA,184,342.324402992851,10.8287123287671,35.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1,73.7,68.7,63.7,58.8,54,49.1,44.3,39.5,34.9,30.4,26.1,22.1,18.1,14.5,11.2,8.3,5.8,39100,20.5,7.5,NA,874.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2003,NA,NA,NA,NA,0.43821418241,23.0739688873291,NA,NA,NA,NA,NA,NA,184,342.324402992851,10.5034794520548,40.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,73.5,68.5,63.6,58.8,54,49.2,44.3,39.6,34.9,30.4,26.1,22,18.2,14.4,11.1,8.1,5.5,39100,21.2,8.1,3.3,856.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2004,1598626,45,0.152430900035405,NA,0.46393392428,19.3969478607178,NA,NA,NA,NA,NA,NA,184,342.324402992851,9.77390710382514,39.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,74.2,69.2,64.3,59.4,54.6,49.7,44.9,40.1,35.4,30.9,26.6,22.5,18.7,15,11.6,8.6,6,39800,24.2,9.8,3.8,832.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2005,1632569,46,0.154346921937143,NA,0.49571815103,21.8492641448975,5.9404034614563,NA,NA,NA,NA,NA,184,342.324402992851,9.47753424657534,39.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.9,74.5,69.5,64.5,59.6,54.8,50,45.1,40.4,35.7,31.2,26.8,22.7,18.9,15.1,11.7,8.6,6.2,41000,23.3,9.3,3.5,810.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2006,1652449,46,0.158442408812617,NA,0.48950817607,22.0136489868164,6.5319676399231,NA,NA,NA,NA,NA,184,342.324402992851,10.1557534246575,42.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.3,74.7,69.8,64.8,60,55.1,50.3,45.4,40.6,35.9,31.4,27,22.9,19,15.3,12,9,6.5,42900,23.7,9.1,3.6,795.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2007,1661246,47,0.16249008274512,NA,0.4765197485,15.6462345123291,5.11298036575317,NA,NA,NA,NA,NA,184,342.324402992851,11.3097260273973,34.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5,75,70.1,65.1,60.2,55.3,50.5,45.6,40.8,36.1,31.6,27.2,23.2,19.3,15.6,12,9.1,6.6,44400,22.6,8.7,3.3,803.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2008,1674909,NA,0.16445012833533,NA,0.476724851,15.9983596801758,5.28671264648438,NA,NA,NA,NA,NA,184,342.324402992851,10.9659836065574,28.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9,75.4,70.4,65.5,60.5,55.7,50.8,46,41.1,36.4,31.8,27.5,23.3,19.4,15.8,12.3,9.2,6.6,45800,24.1,6.7,5.9,790.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2009,1687271,47,0.166830935872187,NA,0.50866687578,17.4086151123047,4.97824335098267,NA,NA,NA,NA,NA,184,342.324402992851,10.5645753424658,35.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.4,74.9,70,65,60.1,55.3,50.4,45.5,40.7,36,31.5,27.1,23,19.2,15.6,12.2,9.2,6.8,45300,26,8.3,4.6,797.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2010,NA,NA,NA,NA,0.50859236531,18.836706161499,5.15722036361694,NA,NA,NA,NA,NA,184,342.324402992851,9.25178082191781,40.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.6,75.1,70.2,65.2,60.3,55.5,50.6,45.7,40.9,36.1,31.6,27.3,23.2,19.4,15.7,12.3,9.3,6.9,46100,27.3,8.1,4.3,791.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2011,NA,45.3160560635623,NA,4131.98832815039,0.48917734387,18.846263885498,5.14649295806885,NA,NA,NA,NA,NA,184,342.324402992851,10.7261369863014,33.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1,75.5,70.6,65.6,60.7,55.8,51,46.1,41.3,36.6,32,27.6,23.5,19.7,16.1,12.6,9.5,7,47300,26.6,7.5,4,802.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453160560635623
"AT001C",2012,NA,NA,NA,4211.32950351765,0.48302907063,16.1488227844238,5.24819421768188,NA,NA,NA,NA,NA,184,342.324402992851,10.8860928961749,40.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1,75.5,70.5,65.6,60.6,55.7,50.9,46,41.1,36.4,31.8,27.4,23.2,19.4,15.7,12.3,9.3,6.7,47500,27.5,8.5,4,788.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2013,1741246,45,0.1696945750342,4196.95921151958,0.48956383943,17.6124134063721,4.49344444274902,NA,NA,NA,NA,NA,184,342.324402992851,10.3024383561644,40.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1,75.6,70.6,65.7,60.7,55.8,51,46.1,41.3,36.5,31.9,27.5,23.3,19.4,15.9,12.3,9.3,6.8,47400,30.6,9,4.2,793.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT001C",2014,1766746,45,0.170024440411921,4258.41257666353,0.51551789457,16.1428756713867,4.72970342636108,NA,NA,NA,NA,NA,184,342.324402992851,11.5307397260274,34.16,5.1,4.5,4.9,7.2,8.1,7.9,7.1,7.4,8,7.2,5.9,4.7,5,5,5.2,2.5,2.1,2.4,80.5,75.9,70.9,66,61.1,56.1,51.2,46.4,41.6,36.8,32.2,27.8,23.6,19.7,16.1,12.7,9.6,7,47600,39.1,9.9,8.8,799.93,0.00906412127153535,0.001126113570226,0.000138838051723485,0.000207168013258753,0.000273824705247264,0.000419721305053444,0.000606276747503566,0.000831740496964947,0.00135206361573894,0.00228307254623044,0.00013223855835928,0.00381500359610995,0.00643737532403704,0.0106053559883398,0.0149885361652617,0.0223365624074338,0.0358036883081092,0.0578469306550314,0.143863614504184,NA
"AT001C",2015,NA,NA,NA,4346.99690328214,0.50857245927,15.0324420928955,5.55736207962036,27.8573169708252,24.4479942321777,0.0350914523005486,0.07895877212286,4.48127365112305,184,342.324402992851,11.7532328767123,32.46,5.1,4.5,4.8,7.3,8.2,8.1,7.1,7.2,7.8,7.3,6,4.7,4.9,4.8,5,2.9,2,2.3,80.4,75.8,70.9,65.9,61,56,51.1,46.2,41.4,36.7,32,27.5,23.3,19.4,15.8,12.4,9.2,6.7,48100,39.3,10.4,7.5,815.66,0.00919471417992285,0.00104467054790794,0.000111382003143448,0.000138540933073184,0.000313760302434321,0.000317411006733165,0.000494420600858369,0.00078533620242826,0.00125830830869468,0.00195605630596988,5.92613663300621e-05,0.00369048430975819,0.00617559109229026,0.0103141967876048,0.0158376061388243,0.0225306195362131,0.0359032574606045,0.0609210377251614,0.150097185227845,NA
"AT001C",2016,NA,NA,NA,4450.71979889129,0.52159601346,13.9518194198608,5.39675951004028,NA,NA,NA,NA,NA,184,342.324402992851,11.0572950819672,34.32,5.1,4.5,4.9,7.3,8.5,8.2,7.2,7,7.6,7.4,6.1,4.7,4.9,4.7,4.5,3.3,1.9,2.3,80.9,76.2,71.3,66.3,61.4,56.5,51.6,46.7,41.9,37.1,32.4,27.9,23.7,19.8,16.2,12.7,9.5,6.9,49600,39.9,11,7.2,795.94,0.00871143000914018,0.00102461180944333,0.000121228284983452,0.00021277072274855,0.000259144084110766,0.000404100011545715,0.000625245275739818,0.000757667596072251,0.00105296572441719,0.00180955502044655,4.58831356534906e-05,0.0035387900145541,0.00592918854819583,0.0101929052015111,0.0159165185482484,0.0213284141739309,0.0331170320846852,0.05859375,0.144090832551538,NA
"AT001C",2017,NA,NA,NA,4516.88226525057,0.49593788272,14.5752973556519,5.46123123168945,NA,NA,NA,NA,NA,184,342.324402992851,11.1813698630137,37.46,5.2,4.5,4.8,7.3,8.6,8.2,7.3,6.9,7.4,7.4,6.2,4.7,5,4.7,4.2,3.7,1.8,2.2,80.8,76.2,71.2,66.3,61.4,56.4,51.5,46.7,41.8,37,32.3,27.8,23.5,19.5,15.8,12.5,9.3,6.6,49500,42.1,10.1,7.4,783.58,0.00879425910080521,0.000977034545884628,0.000118483412322275,0.00022265764161026,0.000265265670937935,0.000387822377351173,0.000511156984173793,0.0006861614377272,0.00119444466130077,0.00177976971076941,0.000112958611964576,0.00318960767825557,0.0054676383079643,0.00913266568419694,0.0150593786145372,0.0240835272788057,0.0336285494789024,0.058846594679375,0.150463186336003,NA
"AT001C",2018,NA,NA,NA,4568.14148819805,0.50229921404,16.1483955383301,5.44877290725708,NA,NA,NA,NA,NA,184,342.324402992851,12.0942465753425,38.14,5.2,4.5,4.8,7.1,8.6,8.2,7.5,6.8,7.2,7.4,6.4,4.8,5.1,4.4,4.2,3.9,1.7,2.2,80.6,75.9,71,66,61.1,56.1,51.2,46.4,41.5,36.8,32.2,27.7,23.4,19.4,15.7,12.3,9.2,6.4,51300,42.3,9.7,7.1,756.47,0.00894071080954015,0.000897557433590835,8.19556970917436e-05,0.000198631648642684,0.000320376703398228,0.000364850658586358,0.000535698150227833,0.000800561101232014,0.00132228559804083,0.00199628530061278,7.7533117717425e-05,0.00340370035971739,0.0060328825245293,0.00935057879560366,0.0148582041574398,0.0233938105721299,0.0354149514798969,0.0585669401824116,0.153817923812786,NA
"AT001C",2019,NA,NA,NA,4589.21934692697,0.50844891087,12.4042539596558,4.98962354660034,NA,NA,NA,NA,NA,184,342.324402992851,11.9375068493151,30.97,5.2,4.6,4.7,6.9,8.5,8.3,7.6,6.7,7,7.4,6.6,4.8,5.2,4.3,4.1,4.1,1.8,2.1,81.1,76.5,71.6,66.6,61.7,56.8,51.9,47,42.2,37.4,32.8,28.2,23.9,19.8,16.1,12.6,9.5,6.6,52400,42.9,9,2.6,751.91,0.00851123931549609,0.00109835850824777,0.000126627450528957,0.000233369635276599,0.000358089781489044,0.000343003966373138,0.000516835435768841,0.000797282307265668,0.00105562766839216,0.00199180728325003,0.000110376494221791,0.00299970786692982,0.00500669685566682,0.00889180460234154,0.0142795804453168,0.0215101692540849,0.0328117821226198,0.0587305767711351,0.148946840521565,NA
"AT001C",2020,NA,NA,NA,4622.35378825206,0.49602082669,11.5905342102051,NA,NA,NA,NA,NA,NA,184,342.324402992851,NA,NA,5.2,4.6,4.7,6.8,8.4,8.3,7.7,6.7,6.8,7.3,6.8,4.8,5.4,4.3,4,4,2.2,2,80.2,75.6,70.7,65.7,60.8,55.9,50.9,46.1,41.2,36.4,31.7,27.2,22.9,18.9,15.2,11.9,8.7,5.9,49800,42.7,10.6,2.7,729.28,0.00936641078782811,0.00105961066876571,6.84587650038793e-05,0.00026509670506887,0.000255255952104701,0.000337571733993474,0.000574861496282352,0.000672581762843594,0.00101696231028995,0.00187977106528002,9.81889591970325e-05,0.00305886714962067,0.00578874556569724,0.00981394397873646,0.0155533204131197,0.0241929180020324,0.0344145106056068,0.0640222517837707,0.166453330602632,NA
"AT002C",2000,NA,NA,NA,NA,0.6286625,19.1339530944824,NA,NA,NA,NA,NA,NA,367,200.809865948866,9.76385245901639,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4,73.8,68.8,63.9,59.1,54.3,49.5,44.6,39.8,35.2,30.7,26.4,22.2,18.2,14.5,11.2,8.3,6,33300,11.6,4.5,NA,899.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2001,226244,43,0.170364738954403,NA,0.61575278146,20.236852645874,NA,NA,NA,NA,NA,NA,367,200.809865948866,9.1412602739726,35.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,74.3,69.3,64.4,59.6,54.8,49.9,45.1,40.3,35.6,31,26.7,22.5,18.4,14.7,11.3,8.3,5.9,34100,13.1,4.1,NA,882.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2002,NA,NA,NA,NA,0.57138662802,21.375602722168,NA,NA,NA,NA,NA,NA,367,200.809865948866,9.5347397260274,32.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,74.3,69.4,64.4,59.6,54.8,50,45.2,40.4,35.7,31.2,26.8,22.5,18.4,14.6,11.2,8.2,5.7,34100,14.2,5.5,NA,872.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2003,NA,NA,NA,NA,0.60933012102,21.6947593688965,NA,NA,NA,NA,NA,NA,367,200.809865948866,9.204,42.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,74.3,69.3,64.3,59.5,54.7,49.9,45,40.2,35.6,31,26.6,22.3,18.2,14.4,11.1,8,5.4,35300,14.9,3.9,3.3,866.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2004,235477,NA,0.160954148388165,NA,0.62232954545,20.7581939697266,NA,NA,NA,NA,NA,NA,367,200.809865948866,8.29603825136612,32.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.6,74.9,69.9,64.9,60.1,55.3,50.4,45.6,40.8,36,31.4,27,22.7,18.7,14.9,11.3,8.1,5.6,36900,15.9,4.5,3.8,886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2005,241298,NA,0.163229699375875,NA,0.66027514418,22.1900634765625,4.66431283950806,NA,NA,NA,NA,NA,367,200.809865948866,7.91531506849315,37.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,75.2,70.2,65.2,60.4,55.5,50.7,45.8,41,36.3,31.6,27.2,23.1,18.9,15,11.5,8.5,6,38400,16.6,4.2,3.5,875.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2006,244997,NA,0.167014289970898,NA,0.62563113167,22.0059223175049,6.18806123733521,NA,NA,NA,NA,NA,367,200.809865948866,8.56887671232877,38.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1,75.5,70.5,65.5,60.6,55.9,51,46.2,41.4,36.6,32,27.6,23.3,19.2,15.3,11.8,8.6,6.1,39500,16.3,4.1,3.6,874.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2007,247624,NA,0.170282363583498,NA,0.6092,18.2541847229004,4.70627021789551,NA,NA,NA,NA,NA,367,200.809865948866,9.59698630136986,32.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.7,75.9,71,66,61.1,56.2,51.3,46.5,41.7,36.9,32.3,27.9,23.7,19.6,15.6,12.1,8.9,6.4,41300,15.9,3.7,3.3,902.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2008,250738,NA,0.171565538530259,NA,0.59654545455,17.8507633209229,37.0181655883789,NA,NA,NA,NA,NA,367,200.809865948866,9.51155737704918,28.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6,75.9,70.9,66,61.1,56.3,51.4,46.5,41.7,36.9,32.3,27.9,23.6,19.6,15.6,12,8.9,6.4,42400,15.6,3.4,5.9,901.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2009,253994,NA,0.172559194311677,NA,0.6349375,17.7579975128174,5.2545747756958,NA,NA,NA,NA,NA,367,200.809865948866,9.19506849315069,33.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6,75.9,70.9,66,61.1,56.2,51.3,46.4,41.6,36.9,32.2,27.8,23.5,19.5,15.6,12,8.9,6.5,41400,16.6,4.7,4.6,899.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2010,NA,NA,NA,NA,0.63192231308,18.7598495483398,2.93046236038208,NA,NA,NA,NA,NA,367,200.809865948866,7.94117808219178,38.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,76.3,71.3,66.4,61.4,56.6,51.7,46.8,42,37.3,32.7,28.2,23.9,19.9,16,12.4,9.2,6.7,41400,15.5,4.2,4.3,887.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2011,NA,34.3485776045386,NA,2052.34336732826,0.61582138965,20.225923538208,5.85758113861084,NA,NA,NA,NA,NA,367,200.809865948866,9.24002739726027,35.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,76.6,71.6,66.7,61.8,56.9,52.1,47.2,42.4,37.6,33,28.5,24.2,20.3,16.5,12.7,9.5,7.1,43400,16.8,3.6,4,877.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.343485776045386
"AT002C",2012,NA,NA,NA,2065.5126969433,0.61343977273,16.7605094909668,5.43950033187866,NA,NA,NA,NA,NA,367,200.809865948866,9.50505464480874,36.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.5,76.8,71.8,66.8,61.9,57,52.1,47.3,42.4,37.6,33,28.5,24.2,20.1,16.2,12.6,9.3,6.6,44800,17.9,3.9,4,871.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2013,265778,46,0.172444671869003,2083.32974716985,0.60012630923,17.1273918151855,7.89682626724243,NA,NA,NA,NA,NA,367,200.809865948866,9.23383561643836,40.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8,77.1,72.1,67.2,62.3,57.4,52.5,47.6,42.8,38,33.4,28.9,24.5,20.5,16.6,12.9,9.6,6.9,44700,17.5,4.5,4.2,863.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT002C",2014,269997,46,0.17244265677026,2116.40083734025,0.63809166667,15.2052402496338,7.16959714889526,NA,NA,NA,NA,NA,367,200.809865948866,10.1384657534247,31.07,4.6,4.4,5.2,8.2,8.1,7.4,6.6,7.3,8,7.4,6.2,4.4,4.9,4.7,5.2,2.7,2.3,2.5,82,77.3,72.3,67.4,62.4,57.5,52.6,47.7,42.9,38.2,33.5,29,24.7,20.5,16.7,13,9.6,6.9,45500,25.7,5,2.9,837.32,0.00851663751602884,0.000949817951559284,0,0.000185236639807354,0.000264410364886304,0.000356972870061875,0.000424961590010134,0.000839017984168095,0.00105907661757405,0.00212829736211031,0.00010837171498239,0.00360893455148421,0.00469428470836756,0.00841112407623493,0.0128146453089245,0.0182274714033293,0.0328389830508475,0.0515463917525773,0.139321280092816,NA
"AT002C",2015,NA,NA,NA,2131.0192720644,0.565178125,16.5372486114502,4.93168830871582,24.5209426879883,36.2279167175293,0.0507708042860031,0.0198001246899366,1.46004343032837,367,200.809865948866,10.1867397260274,32.33,4.6,4.3,5.1,8.1,8.2,7.6,6.5,7,7.9,7.5,6.3,4.5,4.9,4.6,5,3.1,2.2,2.5,81.3,76.6,71.6,66.7,61.8,56.9,52.1,47.2,42.4,37.6,33,28.5,24.1,20,16.1,12.5,9.1,6.3,46100,26.7,4.6,3.3,827.61,0.00898401154510757,0.000832986255726781,5.54170130229981e-05,0.000419345820519989,0.000526993793184214,0.000637662676444161,0.000502055288838683,0.000906256796925977,0.0012529206596458,0.00204296229532823,5.32339632685653e-05,0.00330854550037812,0.00439717378232111,0.00801959277756435,0.0127948204100509,0.0194535831783722,0.0264745813848243,0.0545280612244898,0.156674208144796,NA
"AT002C",2016,NA,NA,NA,2178.0450504554,0.60948237152,15.2192220687866,7.47817420959473,NA,NA,NA,NA,NA,367,200.809865948866,9.83767759562842,30.75,4.6,4.3,5,8.1,8.4,7.6,6.6,6.8,7.7,7.6,6.4,4.5,5,4.7,4.5,3.6,2.2,2.5,82.1,77.3,72.3,67.3,62.5,57.6,52.7,47.7,42.9,38.1,33.5,28.9,24.6,20.4,16.5,12.9,9.5,6.7,47700,27.4,4.9,3.7,816.83,0.00842251472891342,0.000605357413105988,0.00016308779559663,0.000278784499581823,0.000229463056447912,0.000278450700303511,0.000398675171736997,0.000919377652050919,0.00143692907728626,0.00160004830334501,0,0.00282763707892796,0.00494707358771962,0.00709981783362137,0.0120548219287715,0.0180604429724695,0.0291582971554461,0.0492934958472657,0.147061589092619,NA
"AT002C",2017,NA,NA,NA,2206.10819469105,0.61284896978,15.7515459060669,5.39104986190796,NA,NA,NA,NA,NA,367,200.809865948866,9.76180821917808,35.83,4.7,4.3,4.9,8,8.4,7.6,6.8,6.6,7.5,7.6,6.5,4.5,5.2,4.6,4.2,4,2.1,2.5,81.8,77.1,72.1,67.1,62.2,57.3,52.5,47.6,42.7,37.9,33.2,28.7,24.4,20.2,16.3,12.6,9.2,6.4,49000,27.8,4.3,3.1,821.95,0.00881672027201938,0.000534188034188034,5.29969791721872e-05,0.000189349112426036,0.00037461817762665,0.000489769264257727,0.000393700787401575,0.000612912013075456,0.00121650272844183,0.00168206006483577,0,0.00312253683380828,0.0048136481081655,0.00734647193383776,0.0128102079774942,0.0194791101465003,0.0280390107976315,0.054109961894393,0.154038070596932,NA
"AT002C",2018,NA,NA,NA,2224.93871161429,0.64820625,16.2686309814453,4.43710088729858,NA,NA,NA,NA,NA,367,200.809865948866,10.1222739726027,36.88,4.8,4.3,4.7,7.7,8.5,7.6,7,6.5,7.3,7.6,6.7,4.5,5.4,4.5,4.2,4.2,2.1,2.5,82.2,77.4,72.4,67.5,62.5,57.6,52.7,47.8,43,38.2,33.5,28.9,24.6,20.4,16.5,12.9,9.5,6.6,50200,28.7,4,2.6,815.22,0.00856487173182526,0.000846063454759107,0,0.000192845434384341,0.000148231597047227,0.000428357249946455,0.0003287802253639,0.000555628186691071,0.00133963195374744,0.00124618356283881,5.05331244630856e-05,0.00260564856689329,0.00431359123587812,0.00808795652723367,0.0121153748669336,0.0213437874333007,0.0266413456321215,0.0524171346767977,0.148049319101951,NA
"AT002C",2019,NA,NA,NA,2244.47644257014,0.60299516969,12.6751327514648,5.41026544570923,NA,NA,NA,NA,NA,367,200.809865948866,10.4067123287671,30.63,4.9,4.4,4.6,7.4,8.4,7.7,7.1,6.4,7,7.6,6.9,4.5,5.6,4.4,4.1,4.3,2.1,2.5,82.2,77.5,72.5,67.5,62.6,57.7,52.8,47.9,43.1,38.3,33.6,29,24.7,20.5,16.6,12.9,9.4,6.5,52300,30.1,3.1,2.6,801.3,0.00853823132445279,0.000831408775981524,0,0.000341180484476288,0.000365007908504684,0.000430953214641635,0.000553968161408829,0.000980330149895642,0.00105300105300105,0.00167590563362125,0,0.00232059978579079,0.00436824646106349,0.00779608983680724,0.0121802058913464,0.017713719881175,0.0276768096375532,0.052548107422288,0.147497239602503,NA
