muni_id,ac_base_muni,ac_policy_muni,ac_policy_uniform,pop_muni,year,region_name
0,0.81605264243858,0.8167175172588877,0.9185993689323871,144176.8932911043,2020,
1,0.9314717005120555,0.9317308111413348,0.9589271902650627,169878.68271413445,2020,Municipio Roma I
2,0.9366421977737848,0.9374744856475627,0.9593307642136595,166834.43955783965,2020,Municipio Roma II
3,0.7122452984854533,0.7617671003168834,0.8131517887888554,149658.8822809715,2020,Municipio Roma III
4,0.5682159020187726,0.7161621518820538,0.6696689799363754,180402.3172432864,2020,Municipio Roma IV
5,0.4842569164521358,0.7003726915388583,0.5868036550528671,179841.41561425058,2020,Municipio Roma V
6,0.3983291632605651,0.7001440286360333,0.5008758902478542,131359.4210832996,2020,Municipio Roma VI
7,0.6570459478859627,0.7351424175384722,0.7585032496188595,267253.8556621696,2020,Municipio Roma VII
8,0.7878863027714489,0.8032463002328343,0.8750543819941503,119099.9880822068,2020,Municipio Roma VIII
9,0.808429060960304,0.8182460839292092,0.8841142585937793,228262.25534994958,2020,Municipio Roma IX
10,0.6273857857745851,0.7319182600226253,0.7299325298859005,228270.2998458828,2020,Municipio Roma X
11,0.5208687372234807,0.7013812859194217,0.6230191744477829,118707.92049527809,2020,Municipio Roma XI
12,0.7384784254648331,0.796677708997894,0.8246759705146629,141342.7530135929,2020,Municipio Roma XII
13,0.636696581576158,0.7662713567180198,0.7295772366270133,132283.80095612397,2020,Municipio Roma XIII
14,0.6959343875526623,0.7855473991887583,0.7883462044977805,172181.80525701377,2020,Municipio Roma XIV
15,0.8018695280029224,0.8346710406559091,0.8791392218236982,105276.46938990097,2020,Municipio Roma XV
0,0.8299435784878566,0.8305882331910448,0.9301762623153857,139380.6685926765,2030,
1,0.9378833403726617,0.9379079022262016,0.9605496163211392,164050.63711750507,2030,Municipio Roma I
2,0.9420686648081442,0.9428381588254824,0.9608761578945675,161170.02894679527,2030,Municipio Roma II
3,0.7240574206500808,0.767092626493137,0.8204574920934414,144641.89321184135,2030,Municipio Roma III
4,0.5775739655412698,0.7174713195285352,0.6757391476365062,174397.06958697084,2030,Municipio Roma IV
5,0.49213725484172627,0.7004835016324499,0.5923699671211843,173863.1014828669,2030,Municipio Roma V
6,0.40464914563058235,0.7001594979005603,0.5048818364720847,127063.85268027992,2030,Municipio Roma VI
7,0.6679629766389269,0.7404442938157261,0.7664189154546815,258253.6148176546,2030,Municipio Roma VII
8,0.8011127697873841,0.813188813325671,0.8801295785239425,115110.82718755814,2030,Municipio Roma VIII
9,0.822123709705538,0.8303176981001801,0.8908187284804899,220787.256581654,2030,Municipio Roma IX
10,0.6378008313585439,0.7368290694230485,0.7380335272677405,221218.64719451885,2030,Municipio Roma X
11,0.5293208927612537,0.7039610482668788,0.6290854023591088,114956.00244667378,2030,Municipio Roma XI
12,0.7507975013040588,0.8049976290774566,0.8286612461094536,136787.68686944677,2030,Municipio Roma XII
13,0.6471554410749033,0.7711939619012231,0.733532345653198,127997.89173983251,2030,Municipio Roma XIII
14,0.7075953322782433,0.792264095625842,0.7945182855354009,166593.77478895578,2030,Municipio Roma XIV
15,0.8110977578331648,0.842836561214191,0.8855941097615031,101880.96304954789,2030,Municipio Roma XV
0,0.8817064776495459,0.8822830028495948,0.9702769346565138,134955.5681686833,2040,
1,0.9520931467561342,0.9520931467561342,0.9663329140737158,160286.46182349324,2040,Municipio Roma I
2,0.9527125492059493,0.9532487460458882,0.9665580537979186,157471.9489240544,2040,Municipio Roma II
3,0.7683168646221367,0.7940762161869522,0.8421336999193618,141319.5638391864,2040,Municipio Roma III
4,0.6121877063783092,0.7220318180394685,0.6978711281732053,170388.25515487627,2040,Municipio Roma IV
5,0.5214564522370985,0.7008958272482988,0.6127273758516004,169873.7768016,2040,Municipio Roma V
6,0.4281668205217254,0.7002159459647223,0.5194225783181731,124148.36200998409,2040,Municipio Roma VI
7,0.7086767012723731,0.7624130244721193,0.7929259115125691,252324.85686031438,2040,Municipio Roma VII
8,0.8471798790003535,0.8557524549918286,0.8987839195912128,112468.92757772376,2040,Municipio Roma VIII
9,0.854673176996172,0.8568165128239024,0.9127566482091432,215720.62902207172,2040,Municipio Roma IX
10,0.676779351241107,0.7551343175518207,0.7680170799708902,216142.7334447997,2040,Municipio Roma X
11,0.5608295288603984,0.7133430095507388,0.6516452873663613,112316.94775864924,2040,Municipio Roma XI
12,0.7914196459057141,0.8335373374858013,0.8438582008042607,133649.0649456908,2040,Municipio Roma XII
13,0.6863042783877623,0.7926669708116475,0.748608569480123,125060.89931900415,2040,Municipio Roma XIII
14,0.7449769578877888,0.8128358576808976,0.8080511339781812,162771.13322676852,2040,Municipio Roma XIV
15,0.8463734447597508,0.8736420611891337,0.9014468967308472,99543.28347902955,2040,Municipio Roma XV
0,0.8817220417009861,0.882301103644896,0.9702859369612005,131885.5163090028,2050,
1,0.9520931468215927,0.9520931468215927,0.9663329141097634,157185.3437719941,2050,Municipio Roma I
2,0.9527125492711174,0.953248746109798,0.9665580538293949,154425.28464026842,2050,Municipio Roma II
3,0.7683165871327305,0.7940761778982156,0.8421332603744548,138584.11888557352,2050,Municipio Roma III
4,0.6121853917585725,0.7220303829545051,0.6978687419374493,167088.90500128432,2050,Municipio Roma IV
5,0.5214564520530246,0.700895827233414,0.6127273756675268,166587.1702246649,2050,Municipio Roma V
6,0.42816695869945226,0.7002160058417242,0.5194227122910416,121746.47994164965,2050,Municipio Roma VI
