muni_id,pop_muni,users_muni,kwh_muni,kwh_per_user_muni,ac_share_muni,kwh_pc_overall,year
1,169878.68271413445,158237.18565630913,83485832.37360764,527.5993297497008,0.9314717016177055,491.44384121517174,2020
2,166834.43955783965,156264.1764417037,89752951.14851916,574.3667726670731,0.9366421996312616,537.9761599966463,2020
3,149658.8822809715,106593.83522034792,59633709.96129613,559.4480220063524,0.7122452980787821,398.4642211167864,2020
4,180402.3172432864,102507.46536573907,54396659.20734656,530.6604671784355,0.5682159017253635,301.529714465854,2020
5,179841.41561425058,87089.44934377009,45061190.683810174,517.4127469590528,0.48425691627434647,250.56069832359316,2020
6,131359.4210832996,52324.28828858476,24678488.31468547,471.64498531239343,0.3983291632764132,187.86995337803737,2020
7,267253.8556621696,175598.06289589987,99414004.38212463,566.145221647578,0.6570459477968018,371.983424283285,2020
8,119099.9880822068,93837.24913216762,53613793.813590124,571.3487450599862,0.787886301612373,450.15784364801186,2020
9,228262.25534994958,184533.8408030087,108768841.20898701,589.4249042389205,0.8084290612133805,476.50822095940987,2020
10,228270.2998458828,143213.54138740533,76222528.57322279,532.2299004069247,0.6273857855537767,333.91347286390123,2020
11,118707.92049527809,61831.24467326933,35604297.344147466,575.8301859812394,0.5208687374464522,299.9319438466932,2020
12,141342.7530135929,104378.57368026586,53977695.313888445,517.1338661954297,0.7384784253510882,381.8922029111561,2020
13,132283.80095612397,84224.64385430583,46765610.52337298,555.2485214306151,0.6366965814827286,353.52484722512804,2020
14,172181.8052570138,119827.23921308896,61850468.49953526,516.1636781656281,0.6959343876911049,359.2160530969679,2020
15,105276.46938990097,84417.99286891488,43251944.063908346,512.3545627902284,0.8018695284723614,410.84151391628495,2020
1,164050.63711750507,153860.35962715,98512121.47007751,640.2696693824136,0.93788334096468,600.4982559105572,2030
2,161170.02894679527,151833.23389204498,105756504.75020671,696.5306755898736,0.9420686642810463,656.1797217590535,2030
3,144641.89321184135,104729.03612153596,71047643.68987401,678.3948926136644,0.724057420682061,491.196859445266,2030
4,174397.06958697084,100727.20711321186,64811697.26590091,643.4378421644537,0.5775739658456804,371.6329489904627,2030
5,173863.1014828669,85564.50944236347,53680973.74329606,627.3742900056737,0.4921372546134828,308.7542628968112,2030
6,127063.85268027992,51416.27942828541,29405289.943047356,571.906218634574,0.4046491456359337,231.42136274615734,2030
7,258253.61481765457,172503.85322721585,118410346.07834317,686.4214636454531,0.6679629764292587,458.5041187591868,2030
8,115110.82718755816,92216.75366310845,63879289.09879118,692.7080755773756,0.8011127703291822,554.9372779218081,2030
9,220787.25658165396,181514.43828541847,129720663.57450475,714.6575626229936,0.8221237090207189,587.5369148695864,2030
10,221218.64719451885,141093.4371620347,91058232.44179903,645.3753800399165,0.6378008316720716,411.6209623220912,2030
11,114956.00244667378,60848.61386484235,42492036.64484491,698.3238359915972,0.5293208929483176,369.637389439984,2030
12,136787.68686944677,102699.85349569484,64404349.35315545,627.1123870436521,0.7507975011940503,470.83440642303134,2030
13,127997.89173983251,82834.53202147222,55774508.47073557,673.3243855645292,0.647155440574295,435.7455244974065,2030
14,166593.7747889558,117880.97741630352,73789690.23326619,625.9677672899535,0.7075953322123675,442.93185820865386,2030
15,101880.96304954788,82635.42071954356,51294114.86141933,620.7279548394284,0.8110977580704197,503.4710443056315,2030
1,160286.46182349324,152607.64162763953,97876890.47174835,641.3629673742176,0.9520931455564251,610.6372887532445,2040
2,157471.9489240544,150025.50170540914,104510228.5668453,696.6164214947681,0.9527125480472937,663.6752087017638,2040
3,141319.5638391864,108578.20413772526,73626811.01711746,678.0993586941661,0.7683168641907292,520.9951758760066,2040
4,170388.25515487627,104309.59508095356,67087325.68813783,643.1558439519504,0.6121877061663682,393.73210100166864,2040
5,169873.77680159998,88581.77699691504,55555099.421754055,627.1617157854296,0.521456452342094,327.0375243769279,2040
6,124148.36200998409,53156.20947794908,30389275.955164447,571.6975741033694,0.4281668208693259,244.7819323844202,2040
7,252324.85686031438,178816.74724944643,122702196.70418693,686.1896194658215,0.7086767014334953,486.2865998656414,2040
