year,policy,avoided_deaths
2020,income-targeted,28.903668616099537
2030,income-targeted,34.86900470882334
2040,income-targeted,32.12328252978175
2050,income-targeted,37.50462184785425
2020,uniform,29.48628278221527
2030,uniform,35.2559615883894
2040,uniform,32.054683494253766
2050,uniform,37.40581457183708
