region_id,region_name,gvi_baseline,dGVI_points,gvi_policy,n_pixels,population
1,Municipio Roma I,16.389982223234263,4.910017776765738,21.3,1700,169068.578125
2,Municipio Roma II,19.83392352950492,1.4660764704950822,21.3,1732,165450.421875
3,Municipio Roma III,20.958814144807448,0.3411858551925526,21.3,2783,144651.84375
4,Municipio Roma IV,18.18283527741588,3.1171647225841213,21.3,3375,173737.53125
5,Municipio Roma V,16.397140843977763,4.902859156022238,21.3,2585,177127.28125
6,Municipio Roma VI,18.434601287370338,2.8653987126296627,21.3,2223,125796.171875
7,Municipio Roma VII,19.070501388044942,2.2294986119550586,21.3,3897,261672.25
8,Municipio Roma VIII,21.181941870180676,0.11805812981932462,21.3,2116,112030.3203125
9,Municipio Roma IX,20.960514548603815,0.339485451396186,21.3,6485,212798.546875
10,Municipio Roma X,20.777520196622266,0.5224798033777347,21.3,4008,220952.8125
11,Municipio Roma XI,23.968745397969098,0.0,23.968745397969098,3698,112160.4453125
12,Municipio Roma XII,21.43709321218243,0.0,21.43709321218243,3127,137778.8125
13,Municipio Roma XIII,19.082625626086248,2.217374373913753,21.3,2997,128798.03125
14,Municipio Roma XIV,21.225372074494683,0.07462792550531816,21.3,4742,166095.234375
15,Municipio Roma XV,24.31973754988904,0.0,24.31973754988904,3066,100415.8125
