year,scenario,baseline_deaths_total,baseline_deaths_on_warning_days,baseline_warning_days,ramp_factor,ac_coverage,ac_penalty,gross_avoided_deaths,net_avoided_deaths,life_years_saved,policy_deaths_total,gross_avoided_<15,gross_avoided_15-64,gross_avoided_65+,net_avoided_<15,net_avoided_15-64,net_avoided_65+,lys_<15,lys_15-64,lys_65+
2020,central,662.4622952891397,289.30295676575474,22,0.1,0.6593968272209167,0.6703015863895416,2.7199787487414966,2.0647673053037394,26.710300675959004,660.397527983836,0.0,0.1652216249841138,2.554757123757383,0.0,0.14869946248570243,1.916067842818037,0.0,3.7174865621425606,22.992814113816443
2030,central,822.3282954268356,587.7235683798667,45,1.0,0.6698195934295654,0.6650902032852173,55.72718350058628,42.17682567125794,535.8740756289171,780.1514697555776,0.0,2.5429203054548584,53.18426319513142,0.0,2.2886282749093727,39.888197396348566,0.0,57.215706872734316,478.65836875618277
2040,central,885.5283070135238,722.4180169451586,53,1.0,0.7066429853439331,0.6466785073280334,68.02137903167336,51.28568105912705,636.4606219685429,834.2426259543968,0.0,1.7976452358135322,66.22373379585983,0.0,1.617880712232179,49.66780034689487,0.0,40.44701780580448,596.0136041627385
2050,central,1023.7845588560061,881.1828373522733,59,1.0,0.7066429853439331,0.6466785073280334,84.0606131870144,63.231268822699256,773.2683226025906,960.5532900333069,0.0,1.238726216256374,82.82188697075803,0.0,1.1148535946307365,62.11641522806852,0.0,27.871339865768412,745.3969827368222
2020,high,662.4622952891397,289.30295676575474,22,0.1,0.6593968272209167,0.5384222209453583,3.6477080221808444,2.234127057711474,29.175641401491973,660.2281682314282,0.0,0.2275112220148354,3.4201968001660092,0.0,0.18200897761186832,2.0521180800996053,0.0,4.5502244402967085,24.625416961195263
2030,high,822.3282954268356,587.7235683798667,45,1.0,0.6698195934295654,0.5311262845993042,74.26752212563734,45.25676004811291,579.2859527593415,777.0715353787226,0.0,3.4812338636525504,70.7862882619848,0.0,2.7849870909220407,42.47177295719087,0.0,69.62467727305102,509.6612754862905
2040,high,885.5283070135238,722.4180169451586,53,1.0,0.7066429853439331,0.5053499102592469,88.65959623954662,53.67739597794547,669.1739399146559,831.8509110355783,0.0,2.408191171087518,86.25140506845909,0.0,1.9265529368700145,51.750843041075456,0.0,48.163823421750365,621.0101164929055
2050,high,1023.7845588560061,881.1828373522733,59,1.0,0.7066429853439331,0.5053499102592469,109.52868718792725,66.04910088319869,809.8474162613863,957.7354579728075,0.0,1.6594428522117362,107.8692443357155,0.0,1.327554281769389,64.7215466014293,0.0,33.18885704423472,776.6585592171516
2020,low,662.4622952891397,289.30295676575474,22,0.1,0.6593968272209167,0.802180951833725,1.7153520194850462,1.5480538540463897,19.623194266489136,660.9142414350932,0.0,0.0847407301969601,1.6306112892880862,0.0,0.08050369368711209,1.4675501603592775,0.0,2.0125923421778023,17.610601924311332
2030,low,822.3282954268356,587.7235683798667,45,1.0,0.6698195934295654,0.7990541219711303,35.38760600782941,31.914312282556022,399.1420656415314,790.4139831442795,0.0,1.3093375101910265,34.07826849763838,0.0,1.2438706346814752,30.670441647874547,0.0,31.09676586703688,368.04529977449454
2040,low,885.5283070135238,722.4180169451586,53,1.0,0.7066429853439331,0.7880071043968201,43.97699074112616,39.62623121605267,487.1088432052969,845.9020757974711,0.0,0.9387909807825767,43.03819976034358,0.0,0.8918514317434478,38.734379784309226,0.0,22.296285793586197,464.8125574117107
2050,low,1023.7845588560061,881.1828373522733,59,1.0,0.7066429853439331,0.7880071043968201,54.47209252987976,49.05722850765012,596.6760140891117,974.727330348356,0.0,0.646904615166815,53.82518791471294,0.0,0.6145593844084742,48.44266912324165,0.0,15.363984610211856,581.3120294788998
