cost,benefit,trees,ac,ews,scenario
1242145336.5656075,1853.1325227022737,1.0,1.0,1.0,Unconstrained
1242145336.5656073,1853.1325227022735,0.9999999999999996,1.0,1.0,Min 20% Trees
1067447038.9366612,1713.4992578040547,1.0,0.8,1.0,Max 80% AC
1067447038.9366611,1713.4992578040547,0.9999999999999996,0.8,1.0,Balanced
