year,trees_only_raw,trees_only_dynamic,trees_on_top_raw,trees_on_top_dynamic,maturity_factor,ac_gross
2020,14.988437003129548,0.0,13.99073467189055,0.0,0.0,28.90366911679473
2021,15.180575359481702,0.30361150718963403,14.172389061230854,0.2834477812246171,0.02,29.500202734083437
2022,15.372713715833857,0.6661509276861338,14.354043450571158,0.6220085495247502,0.043333333333333335,30.096736351372147
2023,15.56485207218601,1.0895396450530208,14.53569783991146,1.0174988487938024,0.07,30.693269968660854
2024,15.756990428538165,1.5756990428538167,14.717352229251764,1.4717352229251766,0.1,31.289803585949564
2025,15.94912878489032,2.1265505046520428,14.899006618592068,1.9865342158122756,0.13333333333333333,31.88633720323827
2026,16.141267141242473,2.74401541401122,15.080661007932372,2.563712371348503,0.16999999999999998,32.482870820526976
2027,16.33340549759463,3.430015154494872,15.262315397272676,3.205086233427262,0.21,33.07940443781568
2028,16.525543853946782,4.131385963486696,15.443969786612978,3.8609924466532446,0.25,33.675938055104396
2029,16.71768221029894,4.848127840986692,15.625624175953282,4.531431011026451,0.29,34.2724716723931
2030,16.909820566651092,5.580240786994859,15.807278565293586,5.216401926546883,0.32999999999999996,34.86900528968181
2031,16.96922764995021,6.278614230481576,15.87563202821226,5.8739838504385355,0.36999999999999994,34.594433064805
2032,17.028634733249326,6.981740240632223,15.943985491130935,6.5370340513636815,0.4099999999999999,34.3198608399282
2033,17.088041816548447,7.689618817446799,16.012338954049607,7.205552529322322,0.4499999999999999,34.04528861505139
2034,17.147448899847564,8.402249960925305,16.080692416968283,7.879539284314457,0.4899999999999999,33.770716390174584
2035,17.20685598314668,9.11963367106774,16.149045879886955,8.558994316340085,0.5299999999999999,33.49614416529778
2036,17.2662630664458,9.841769947874104,16.217399342805628,9.243917625399208,0.57,33.22157194042097
2037,17.325670149744916,10.568658791344399,16.285752805724304,9.934309211491826,0.61,32.946999715544166
2038,17.385077233044036,11.300300201478624,16.354106268642976,10.630169074617935,0.65,32.67242749066736
2039,17.444484316343154,12.036694178276777,16.422459731561652,11.33149721477754,0.6900000000000001,32.397855265790554
2040,17.50389139964227,12.77784072173886,16.490813194480324,12.038293631970639,0.7300000000000001,32.12328304091375
2041,17.704768040734496,13.632671391365564,16.67927794345269,12.843044016458572,0.7700000000000001,32.66141697960823
2042,17.905644681826722,14.503572192279648,16.867742692425054,13.662871580864296,0.8100000000000002,33.199550918302705
2043,18.106521322918944,15.390543124481106,17.05620744139742,14.49777632518781,0.8500000000000002,33.73768485699718
2044,18.30739796401117,16.293584187969945,17.244672190369783,15.347758249429111,0.8900000000000002,34.275818795691656
