budget,max_ben_trees,max_ben_ac,max_ben_ews,max_benefit,max_cost,best_ce_trees,best_ce_ac,best_ce_ews,best_ce_benefit,best_ce_cost
500000000.0,0.04,0.52,1.0,1343.9523716395674,490055498.24982035,0.0,0.0,0.72,701.0304262318132,15820327.858294081
714285714.2857143,0.08,0.76,1.0,1518.764802655221,713560702.238152,0.0,0.0,0.8,778.9226958131258,17578142.0647712
928571428.5714285,0.08,1.0,1.0,1686.3247205330838,923198659.3928874,0.0,0.0,0.88,856.8149653944383,19335956.271248322
1142857142.857143,0.68,1.0,1.0,1795.1124175999469,1131207361.8968353,0.0,0.0,0.96,934.7072349757509,21093770.477725442
1357142857.142857,1.0,1.0,1.0,1853.1325227022737,1242145336.5656075,0.0,0.0,0.96,934.7072349757509,21093770.477725442
1571428571.4285715,1.0,1.0,1.0,1853.1325227022737,1242145336.5656075,0.0,0.0,0.96,934.7072349757509,21093770.477725442
1785714285.7142859,1.0,1.0,1.0,1853.1325227022737,1242145336.5656075,0.0,0.0,0.96,934.7072349757509,21093770.477725442
2000000000.0,1.0,1.0,1.0,1853.1325227022737,1242145336.5656075,0.0,0.0,0.96,934.7072349757509,21093770.477725442
