muni_id,muni_name,gvi,thermal_vuln,foreign_vuln,unemp_vuln,svi
1,Municipio Roma I,16.389982223234263,0.7192774572699508,0.6011050132236397,0.5014296691932643,0.607270715948838
2,Municipio Roma II,19.83392352950492,0.7191167231891661,0.4755589351013427,0.4009681864451057,0.5318812811859656
3,Municipio Roma III,20.958814144807448,0.6458925623610665,0.3223662524640871,0.44160945056776324,0.4701468172841879
4,Municipio Roma IV,18.18283527741588,0.6582021432516023,0.3377345145178149,0.477749519162721,0.4913293607271589
5,Municipio Roma V,16.397140843977763,0.6916021278933855,0.4817087800620333,0.5006106545944486,0.5579738574339916
6,Municipio Roma VI,18.434601287370334,0.6557974917635161,0.4349144635466098,0.6189103756921727,0.5699378074647191
7,Municipio Roma VII,19.070501388044946,0.6809527175549371,0.34936656281984974,0.4477055265687136,0.4926737811639815
8,Municipio Roma VIII,21.181941870180676,0.673936306344635,0.38129752368072956,0.41219034039734515,0.48922288420553395
9,Municipio Roma IX,20.960514548603815,0.6079474864900799,0.308777340923149,0.4535163485711777,0.4568813964609191
10,Municipio Roma X,20.777520196622262,0.5975616103813088,0.3111684622788362,0.5671971762580187,0.492105445820624
11,Municipio Roma XI,23.968745397969094,0.6369555703448675,0.3658229537619142,0.49818571271575685,0.5007211778087369
12,Municipio Roma XII,21.43709321218243,0.6612523108961155,0.37640354138311233,0.48767818160389775,0.5090577488211504
13,Municipio Roma XIII,19.082625626086248,0.6483835966062321,0.45376026942235725,0.555922806402405,0.5527659537236297
14,Municipio Roma XIV,21.225372074494683,0.6265366213763751,0.38491661941198063,0.49147086718738703,0.501064876897707
15,Municipio Roma XV,24.31973754988904,0.6362296605481259,0.5364063085642762,0.48867210538683065,0.5538138143283516
