scenario,pv_capex,pv_om,pv_total,eac,cum_avoided_25y,cost_per_death
base_om,160926926.74548197,185754244.09443107,346681170.839913,19909161.57068835,181.31282844477167,1912060.9049762464
5x_om,160926926.74548197,804634633.7274097,965561560.4728917,55450144.77517619,181.31282844477167,5325390.204074855
