Policy,PV_Cost_EUR,Avoided_Deaths_25y,Cost_per_Death_EUR,EAC_EUR_yr
Trees (base O&M),346681170.839913,181.31282844477164,1912060.9049762466,19909161.57068835
Trees (5x O&M),965561560.4728917,181.31282844477164,5325390.204074855,55450144.77517619
AC (NET),873491488.1447303,698.1663244910949,1251122.3436355698,50162756.534951374
AC (NET + trees),871493233.7704384,698.6403143174223,1247413.319716448,50048001.04044117
AC (GROSS),873491488.1447303,818.2127613148144,1067560.333257436,50162756.534951374
EWS (central),21972677.580964003,973.6533697664072,22567.24853346479,1261844.0945039347
