year,t,n_warning_days,cost_capex,cost_opex_variable,cost_opex_fixed,cost_total,discount_factor,cost_pv
2020,0,22,0.0,746605.71216,0.0,746605.71216,1.0,746605.71216
2030,10,45,0.0,1476909.7686,0.0,1476909.7686,1.3439163793441222,1098959.5716667902
2040,20,53,0.0,1698710.21754,0.0,1698710.21754,1.8061112346694148,940534.6608404919
2050,30,59,0.0,1854077.32342,0.0,1854077.32342,2.427262471189662,763855.3083677309
