year,deaths_overall,deaths_on_warning_days,frac_deaths_on_warning_days,n_warning_days
2020,662.4622952891397,289.30295676575474,0.4367085626201337,22
2030,822.3282954268356,587.7235683798667,0.7147067316646383,45
2040,885.5283070135238,722.4180169451586,0.8158045442742982,53
2050,1023.7845588560061,881.1828373522733,0.8607112011309505,59
