policy,total_pv,public_pv,private_pv,public_share
Trees,346681170.839913,346681170.839913,0.0,1.0
AC,873491488.1447303,50702246.236304164,822789241.9084263,0.05804549549073937
EWS,21972677.580964003,21972677.580964003,0.0,1.0
