discount_rate,trees_pv,ac_pv,ews_pv,trees_per_death,ac_per_death,ews_per_death
0.01,463652976.0913962,1104742197.5416105,27789788.963170096,2557198.9586640093,1582348.1580078723,28541.768380914913
0.03,346681170.839913,873491488.1447303,21972677.580964003,1912060.9049762466,1251122.3436355698,22567.24853346479
0.05,265414977.89160317,706991109.8836044,17784360.718929403,1463851.0698234972,1012639.9470769978,18265.59766664816
0.07,207872067.1905144,584575855.7305464,14705005.113289854,1146482.9542043835,837301.7076649371,15102.91605812219
