region_id,region_name,GVI_baseline,SVI,population,ΔGVI_uniform,ΔGVI_equity,GVI_after_uniform,GVI_after_equity,Δallocation
1,Municipio Roma I,16.389982223234263,0.60781604,169068.578125,4.910017776765738,2.249412,21.3,18.6393942830182,-2.6606057169818023
2,Municipio Roma II,19.83392352950492,0.5321603,165450.421875,1.4660764704950822,1.9694245,21.3,21.803348015665197,0.5033480156651962
3,Municipio Roma III,20.958814144807448,0.47248912,144651.84375,0.3411858551925526,1.7485927,21.3,22.7074068791443,1.4074068791443004
4,Municipio Roma IV,18.18283527741588,0.4945159,173737.53125,3.1171647225841213,1.8301096,21.3,20.01294487366832,-1.2870551263316798
5,Municipio Roma V,16.397140843977763,0.5597396,177127.28125,4.902859156022238,2.07149,21.3,18.468630893339945,-2.8313691066600555
6,Municipio Roma VI,18.434601287370338,0.57553816,125796.171875,2.8653987126296627,2.1299577,21.3,20.564558963304176,-0.7354410366958248
7,Municipio Roma VII,19.070501388044942,0.4939251,261672.25,2.2294986119550586,1.8279232,21.3,20.898424566717733,-0.4015754332822681
8,Municipio Roma VIII,21.181941870180676,0.49088696,112030.3203125,0.11805812981932462,1.8166795,21.3,22.998621347872326,1.6986213478723258
9,Municipio Roma IX,20.960514548603815,0.46108174,212798.546875,0.339485451396186,1.7063762,21.3,22.666890743557733,1.3668907435577324
10,Municipio Roma X,20.777520196622266,0.49474534,220952.8125,0.5224798033777347,1.8309587,21.3,22.608478920644178,1.308478920644177
11,Municipio Roma XI,23.968745397969098,0.50514466,112160.4453125,0.0,0.0,23.968745397969098,23.968745397969098,0.0
12,Municipio Roma XII,21.43709321218243,0.5113223,137778.8125,0.0,0.0,21.43709321218243,21.43709321218243,0.0
13,Municipio Roma XIII,19.082625626086248,0.55578804,128798.03125,2.217374373913753,2.0568662,21.3,21.139491795062078,-0.16050820493792273
14,Municipio Roma XIV,21.225372074494683,0.50433236,166095.234375,0.07462792550531816,1.8664385,21.3,23.091810582528435,1.7918105825284343
15,Municipio Roma XV,24.31973754988904,0.5571251,100415.8125,0.0,0.0,24.31973754988904,24.31973754988904,0.0
