year,policy,avoided_deaths
2020,income-targeted,19.62607332652945
2030,income-targeted,21.597384414491216
2040,income-targeted,21.9571448299713
2050,income-targeted,25.342232140515492
2020,uniform,18.71304947551309
2030,uniform,20.64982063642077
2040,uniform,21.05315681935859
2050,uniform,24.358239250444385
