zone_id,pop_zone,users_zone,ac_share_cap,kwh_cap,kwh_per_user_cap,year,kwh_pc_overall,kwh_GWh
1,2781.760540008545,2478.4754371643066,0.8909736842973167,1747549.201171875,705.0904,2020,628.2169784342785,1.747549201171875
2,18815.293548583984,11871.263381958008,0.6309369211436738,6227250.62109375,524.5651,2020,330.96749753141137,6.22725062109375
3,20687.452270507812,7787.548564910889,0.37643826137126013,5969799.078125,766.5826,2020,288.5710139684813,5.969799078125
4,15206.04508972168,6092.415648460388,0.40065747618876085,4832823.404296875,793.25244,2020,317.82250912589734,4.832823404296875
5,1857.5711479187012,757.926495552063,0.40802016999525154,302825.9025878906,399.54523,2020,163.02250545137352,0.3028259025878906
6,4283.282392919064,3323.009489327669,0.775809107244744,1629001.9143829346,490.21884,2020,380.3162539728713,1.6290019143829346
7,7246.397098064423,6585.342590808868,0.9087747333868679,4484005.421142578,680.9069,2020,618.7910157918749,4.484005421142578
8,12114.768096923828,11610.112243652344,0.9583437463074819,7244583.2734375,623.9891,2020,597.9960338883448,7.2445832734375
9,17841.966873168945,12871.615364074707,0.7214235658867444,8533581.109375,662.9767,2020,478.2870167866944,8.533581109375
10,23011.953155517578,18612.58716583252,0.8088225732099484,10249281.55078125,550.664,2020,445.3894670093998,10.24928155078125
11,17484.83045578003,11491.268814086914,0.6572136254422873,9010213.564453125,784.0921,2020,515.3160385078016,9.010213564453124
12,3131.749545097351,2220.2028279304504,0.7089337113199564,1704931.4125976562,767.917,2020,544.4022224787002,1.7049314125976562
13,11434.818027496338,5502.623669624329,0.48121654899908645,3709822.0341796875,674.19147,2020,324.43210073470283,3.7098220341796875
14,535.2154922485352,523.1271514892578,0.9774140679140432,425757.84375,813.87067,2020,795.4886394661631,0.42575784375
15,15131.626235961914,12892.541542053223,0.8520261696269453,9364157.6015625,726.32367,2020,618.8467422825702,9.3641576015625
16,17440.414794921875,14514.374565124512,0.8322264542326517,8008052.1484375,551.7325,2020,459.1663812244422,8.0080521484375
17,17068.872009277344,11534.360733032227,0.6757541287299491,8217065.3359375,712.39886,2020,481.4064650242457,8.2170653359375
18,11840.486408233643,10465.802963256836,0.8838997489139568,5660905.19921875,540.89545,2020,478.0973520887003,5.66090519921875
19,23074.16539001465,12485.197700500488,0.5410898938040664,9757526.421875,781.5276,2020,422.87667861207115,9.757526421875
20,8801.304342269897,3420.7336903214455,0.3886621297587378,2252343.0341186523,658.4386,2020,255.9101408755242,2.2523430341186526
21,15963.216693878174,15099.323471069336,0.9458822592353747,9694639.611328125,642.05786,2020,607.3111577221136,9.694639611328125
22,3376.458939552307,3294.573881149292,0.9757482439831262,1897561.072265625,575.9656,2020,561.9973783887409,1.897561072265625
23,11196.580267906189,10855.067291259766,0.9694984568078046,8957809.538085938,825.2192,2020,800.0487044926164,8.957809538085938
24,15569.62908744812,6780.411478996277,0.4354895958608603,4368541.5419921875,644.2886,2020,280.5809642256671,4.368541541992188
25,4546.198925018311,2621.3058490753174,0.5765928619291026,1590730.3706054688,606.84656,2020,349.90338012960177,1.5907303706054687
26,17496.890747070312,17146.95336151123,0.980000024540493,10624619.52734375,619.6214,2020,607.2290031943385,10.62461952734375
27,18081.158721923828,8153.148872375488,0.4509196007714707,6013624.078125,737.583,2020,332.59063595483735,6.013624078125
28,12985.7236328125,12726.009376525879,0.9800000166621157,9077061.25,713.2685,2020,699.003113470239,9.07706125
29,16472.627182006836,12185.907211303711,0.7397670739865018,8782574.6328125,720.7157,2020,533.1617437688244,8.7825746328125
30,1162.7292175292969,826.9765396118164,0.7112374292692781,597851.810546875,722.9369,2020,514.1797432572139,0.597851810546875
31,1973.9143552780151,1934.4361035823822,0.9800000179389381,1825182.9807128906,943.522,2020,924.6515563517564,1.8251829807128905
32,15743.253730773926,11916.20883178711,0.7569088979677722,7279142.31640625,610.8606,2020,462.36581337550564,7.27914231640625
33,28710.98889541626,26573.68641281128,0.9255580331840746,15861957.462890625,596.90466,2020,552.4699104120027,15.861957462890626
34,8777.803405761719,6166.777214050293,0.7025421884024473,3435575.6953125,557.1104,2020,391.39355673623317,3.4355756953125
35,23602.331802368164,14359.832740783691,0.6084073752129391,10724100.64453125,746.8124,2020,454.3661505281964,10.72410064453125
36,23708.79035949707,11813.752197265625,0.49828574204475895,9662215.5390625,817.87866,2020,407.53726329154915,9.6622155390625
37,2138.5655517578125,841.034782409668,0.39327051804344837,546541.6640625,649.8443,2020,255.56460666509162,0.5465416640625
38,13648.642757415771,12268.161014556885,0.8988557494400808,6810486.96484375,555.13513,2020,498.98638904175147,6.81048696484375
39,20637.377628326416,11629.57904624939,0.5635201940718904,6446160.60546875,554.2901,2020,312.3536682597158,6.44616060546875
40,3313.4395666122437,2792.398639678955,0.8427492288727584,2099397.8500976562,751.826,2020,633.6007667839076,2.0993978500976564
41,1155.977424621582,1114.5323371887207,0.9641471480756394,837853.0556640625,751.75305,2020,724.800534870601,0.8378530556640625
42,22222.32325744629,9301.57095336914,0.4185687898429952,6865142.16796875,738.0627,2020,308.92999298209594,6.86514216796875
43,19419.513641357422,10091.224922180176,0.5196435455875197,5826354.8984375,577.36847,2020,300.02578880395885,5.8263548984375
44,12015.877029418945,8307.488662719727,0.6913759721724994,5781093.3828125,695.8894,2020,481.12121725766843,5.7810933828125
45,7860.561820983887,6047.953231811523,0.7694047028122624,4118556.34375,680.98346,2020,523.9519054166653,4.11855634375
46,6422.966400146484,4139.041458129883,0.6444127526551418,2870061.203125,693.41205,2020,446.8435648456054,2.870061203125
47,17959.24690246582,14142.744682312012,0.7874909654686133,11077448.546875,783.26013,2020,616.8103042981194,11.077448546875
48,17303.51390838623,8089.356651306152,0.4674979136685993,5626863.1787109375,695.58844,2020,325.18615632076046,5.626863178710938
49,16209.904106140137,9522.350154876709,0.5874402521153561,7211662.076171875,757.3406,2020,444.89233427606615,7.211662076171875
50,8047.666427612305,6949.786895751953,0.8635779027702462,4684757.6796875,674.08655,2020,582.1262252637179,4.6847576796875
51,2568.2445526123047,2111.1004581451416,0.8220013378390402,1485547.171875,703.6838,2020,578.4290169578934,1.485547171875
52,10760.400461137295,9392.320725381374,0.8728597749965781,7038332.3779296875,749.371,2020,654.0957656129638,7.038332377929687
53,1122.2729568481445,1099.827537536621,0.980000035486411,522610.9140625,475.17535,2020,465.67184112698425,0.5226109140625
1,2607.001983642578,2322.7701416015625,0.8909736763437829,1906133.44140625,820.6294,2030,731.1591833708334,1.90613344140625
2,17578.898330688477,11091.175964355469,0.630936919692685,6771883.26953125,610.56494,2030,385.2279671991271,6.77188326953125
3,19370.833297729492,7291.92276763916,0.3764382592923282,6505471.0234375,892.1475,2030,335.8384703150599,6.5054710234375
4,14205.741724014282,5691.636629104614,0.40065747636979154,5254269.8486328125,923.15625,2030,369.8694479113796,5.254269848632813
5,1742.7379207611084,711.0722141265869,0.4080201650837088,330755.54443359375,465.15042,2030,189.7907542455623,0.33075554443359373
6,4026.242168068886,3123.5953309834003,0.7758091045183148,1782256.3772277832,570.5785,2030,442.6600047464632,1.7822563772277833
7,6803.698175430298,6183.029004573822,0.9087747347320824,4900045.9296875,792.49927,2030,720.2033075750892,4.9000459296875
8,11288.762176513672,10818.514541625977,0.9583437379993665,7856472.71875,726.20624,2030,695.9551982674799,7.85647271875
9,16662.553192138672,12020.758575439453,0.7214235679746127,9275235.015625,771.6015,2030,556.6514872403241,9.275235015625
10,21485.515869140625,17377.970153808594,0.8088225695696863,11137756.2265625,640.9124,2030,518.3843987920959,11.1377562265625
11,16376.980857849121,10763.174983978271,0.6572136266996809,9821593.48828125,912.51825,2030,599.7194216401602,9.82159348828125
12,2924.671802520752,2073.3984270095825,0.7089337084668907,1853103.583984375,893.75183,2030,633.6107806650987,1.853103583984375
13,10705.347694396973,5151.590479850769,0.48121654960791593,4042192.0263671875,784.64935,2030,377.5862439743843,4.0421920263671876
14,501.1990661621094,489.87902069091797,0.977414073098991,464036.1796875,947.2465,2030,925.852043661651,0.4640361796875
15,14117.269340515137,12028.28279876709,0.8520261609125168,10168130.359375,845.3518,2030,720.2618377616054,10.168130359375
16,16212.091354370117,13492.131355285645,0.8322264574242433,8663446.16796875,642.111,2030,534.3817758363075,8.66344616796875
17,15983.626815795898,10801.00188446045,0.6757541332100112,8955775.140625,829.16156,2030,560.3093242751646,8.955775140625
18,11059.959075927734,9775.895084381104,0.8838997520034747,6153373.357421875,629.4435,2030,556.3649300307846,6.153373357421875
19,21656.971618652344,11718.368431091309,0.5410898918572121,10658882.234375,909.5876,2030,492.1686384441166,10.658882234375
20,8262.822462320328,3211.446169644594,0.38866212898670593,2461004.549621582,766.3229,2030,297.8406665330304,2.461004549621582
