year,total,<15,15-64,65+
2020,1118.3048876829607,0.0,182.748957628072,935.5559300548887
2030,1254.7784406974877,0.0,158.99562879091818,1095.7828119065696
2040,1317.2488744376485,0.0,119.25555474103663,1197.993319696612
2050,1517.9016195305367,0.0,84.39859032860137,1433.5030292019353
