scenario,target_gvi,total_dGVI,n_treated,dLST_popw_C,avoided_deaths_anchor,avoided_deaths_25y_raw,avoided_deaths_25y,capex_eur,cost_per_death
Q3 (baseline),13.0,9.56098583340175,5,-0.09809721261262894,32.004761952081935,196.65980624885526,82.76127331556644,95609858.3340175,1155248.7595189572
Q3 + 5,18.0,43.026344309123914,7,-0.4543594717979431,136.31967493857246,836.6146493461963,352.7936222606293,430263443.09123915,1219589.6295806004
Q3 + 10,23.0,78.02634430912391,7,-0.8292552828788757,237.75855334614903,1457.829485499849,615.9018793650963,780263443.0912391,1266863.228109606
Max observed,35.0,162.0263443091239,7,-1.729005217552185,446.7829616805327,2731.7621932953766,1159.440364818326,1620263443.0912392,1397453.0232480909
