year,<15,15-64,65+
2020,1.0,1.0,1.0
2030,1.0,0.8081186902729477,0.8718686695003833
2040,1.0,0.6412644684293569,0.7750886393115917
2050,1.0,0.450533162781097,0.7346502287074298
