year,<15,15-64,65+,overall
2020,0.0,1.007148450365861,6.191428578127102,7.198577028492991
2030,0.0,0.7917504371768871,6.356153188547751,7.147903625724666
2040,0.0,0.5812314382766459,6.762123841974926,7.3433552802516715
2050,0.0,0.3846510481568828,7.436509042212947,7.821160090369858
