zone_id,ac_base,ac_policy_income,ac_policy_uniform,pop_zone,zone_code,ac_base_pct,ac_policy_income_pct,ac_policy_uniform_pct
1,0.9053735733032227,0.9053735733032227,0.9800000190734863,2781.760540008545,Α ΝΕΚΡΟΤΑΦΕΙΟ,90.53735733032227,90.53735733032227,98.00000190734863
2,0.6408842206001282,0.699999988079071,0.7433019280433655,18815.293548583984,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,64.08842206001282,69.9999988079071,74.33019280433655
3,0.382027804851532,0.699999988079071,0.4844455122947693,20687.452270507812,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ-ΑΓΙΟΣ ΠΑΥΛΟΣ,38.2027804851532,69.9999988079071,48.44455122947693
4,0.40666171908378607,0.6999999880790709,0.5090794563293457,15206.04508972168,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,40.66617190837861,69.99999880790709,50.90794563293457
5,0.4141504764556885,0.699999988079071,0.5165681838989258,1857.5711479187012,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ ΙΙ,41.41504764556885,69.9999988079071,51.65681838989258
6,0.7882370352745056,0.7882370352745056,0.8906547427177428,4283.282392919064,ΑΚΡΟΠΟΛΙΣ,78.82370352745056,78.82370352745056,89.06547427177428
7,0.923479437828064,0.923479437828064,0.9800000190734863,7246.397098064423,ΑΛΣΟΣ ΓΟΥΔΗ-ΣΤΡΑΤΙΩΤΙΚΑ ΝΟΣΟΚΟΜΕΙΑ,92.3479437828064,92.3479437828064,98.00000190734863
8,0.9738971590995787,0.9738971590995787,0.9800000190734863,12114.768096923828,ΑΜΠΕΛΟΚΗΠΟΙ,97.38971590995787,97.38971590995787,98.00000190734863
9,0.7329202890396118,0.7329202890396118,0.8353379964828491,17841.966873168945,ΑΝΩ ΚΥΨΕΛΗ,73.29202890396118,73.29202890396118,83.53379964828491
10,0.82181578874588,0.82181578874588,0.9242334961891173,23011.953155517578,ΑΝΩ ΠΑΤΗΣΙΑ,82.181578874588,82.181578874588,92.42334961891173
11,0.6676108241081239,0.699999988079071,0.7700285315513611,17484.83045578003,ΑΝΩ ΠΕΤΡΑΛΩΝΑ,66.76108241081239,69.9999988079071,77.00285315513611
12,0.7202165126800536,0.7202165126800536,0.822634220123291,3131.749545097351,ΑΤΤΙΚΟ ΑΛΣΟΣ,72.02165126800536,72.02165126800536,82.2634220123291
13,0.4886002242565155,0.6999999880790709,0.5910179018974303,11434.818027496338,ΒΟΤΑΝΙΚΟΣ,48.86002242565155,69.99999880790709,59.10179018974303
14,0.9800000190734863,0.9800000190734863,0.9800000190734863,535.2154922485352,ΒΟΥΛΗ,98.00000190734863,98.00000190734863,98.00000190734863
15,0.8657591342926025,0.8657591342926025,0.9681768417358398,15131.626235961914,ΓΗΡΟΚΟΜΕΙΟ,86.57591342926025,86.57591342926025,96.81768417358398
16,0.8456203937530518,0.8456203937530518,0.9480381011962891,17440.414794921875,ΓΚΥΖΗ,84.56203937530518,84.56203937530518,94.8038101196289
17,0.6864688396453857,0.699999988079071,0.788886547088623,17068.872009277344,ΓΟΥΒΑ,68.64688396453857,69.9999988079071,78.8886547088623
18,0.8981784582138062,0.8981784582138062,0.9800000190734863,11840.486408233643,ΓΟΥΔΗ,89.81784582138062,89.81784582138062,98.00000190734863
19,0.5494987368583679,0.699999988079071,0.6519164443016052,23074.16539001465,ΔΟΥΡΓΟΥΤΙ,54.94987368583679,69.9999988079071,65.19164443016052
20,0.39446100592613215,0.699999988079071,0.4968787133693695,8801.304342269897,ΕΛΑΙΩΝΑΣ,39.44610059261321,69.9999988079071,49.68787133693695
21,0.9612222909927367,0.9612222909927367,0.9800000190734863,15963.216693878174,ΕΛΛΗΝΟΡΩΣΩΝ-ΕΡΥΘΡΟΣ,96.12222909927367,96.12222909927367,98.00000190734863
22,0.9800000190734863,0.9800000190734863,0.9800000190734863,3376.458939552307,ΖΑΠΠΕΙΟ,98.00000190734863,98.00000190734863,98.00000190734863
23,0.9800000190734863,0.9800000190734863,0.9800000190734863,11196.580267906189,ΙΛΙΣΙΑ,98.00000190734863,98.00000190734863,98.00000190734863
24,0.44209027290344244,0.6999999880790709,0.5445079803466797,15569.62908744812,ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ,44.209027290344245,69.99999880790709,54.45079803466797
25,0.5856096744537354,0.699999988079071,0.6880273818969727,4546.198925018311,ΚΟΛΟΚΥΝΘΟΥ,58.560967445373535,69.9999988079071,68.80273818969727
26,0.9800000190734863,0.9800000190734863,0.9800000190734863,17496.890747070312,ΚΟΛΩΝΑΚΙ,98.00000190734863,98.00000190734863,98.00000190734863
27,0.4577844738960266,0.6999999880790709,0.560202181339264,18081.158721923828,ΚΟΛΩΝΟΣ,45.77844738960266,69.99999880790709,56.020218133926406
28,0.9800000190734863,0.9800000190734863,0.9800000190734863,12985.7236328125,ΚΟΥΝΤΟΥΡΙΩΤΙΚΑ,98.00000190734863,98.00000190734863,98.00000190734863
29,0.7515777945518494,0.7515777945518494,0.8539955019950867,16472.627182006836,ΚΥΨΕΛΗ,75.15777945518494,75.15777945518494,85.39955019950867
30,0.7225596904754639,0.7225596904754639,0.8249773979187012,1162.7292175292969,ΛΟΦΟΣ ΕΛΙΚΩΝΟΣ,72.25596904754639,72.25596904754639,82.49773979187012
31,0.9800000190734863,0.9800000190734863,0.9800000190734863,1973.9143552780151,ΛΥΚΑΒΗΤΤΟΣ,98.00000190734863,98.00000190734863,98.00000190734863
32,0.7690131664276123,0.7690131664276123,0.8714308738708496,15743.253730773926,ΜΑΚΡΥΓΙΑΝΝΗ-ΒΕΪΚΟΥ-ΚΟΥΚΑΚΙ-ΦΙΛΟΠΑΠΠΟΥ,76.90131664276123,76.90131664276123,87.14308738708496
33,0.9405500888824463,0.9405500888824463,0.9800000190734862,28710.98889541626,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,94.05500888824463,94.05500888824463,98.00000190734862
34,0.7137156128883362,0.7137156128883362,0.8161332607269287,8777.803405761719,ΝΕΑ ΚΥΨΕΛΗ,71.37156128883362,71.37156128883362,81.61332607269287
35,0.6179689168930054,0.699999988079071,0.7203866243362428,23602.331802368164,ΝΕΟΣ ΚΟΣΜΟΣ,61.79689168930054,69.9999988079071,72.03866243362428
36,0.5059616565704346,0.699999988079071,0.6083793640136719,23708.79035949707,ΝΙΡΒΑΝΑ,50.59616565704346,69.9999988079071,60.83793640136719
37,0.39914828538894653,0.699999988079071,0.5015659928321838,2138.5655517578125,ΟΣΕ,39.91482853889465,69.9999988079071,50.156599283218384
38,0.913390576839447,0.913390576839447,0.9800000190734863,13648.642757415771,ΠΑΓΚΡΑΤΙ,91.3390576839447,91.3390576839447,98.00000190734863
39,0.572313129901886,0.699999988079071,0.6747308373451234,20637.377628326416,ΠΑΤΗΣΙΑ,57.2313129901886,69.9999988079071,67.47308373451234
40,0.8563233613967896,0.8563233613967896,0.958741068840027,3313.4395666122437,ΠΕΔΙΟ ΑΡΕΩΣ-ΕΥΕΛΠΙΔΩΝ,85.63233613967896,85.63233613967896,95.8741068840027
41,0.9797999858856201,0.9797999858856201,0.9800000190734863,1155.977424621582,ΠΕΝΤΑΓΩΝΟ,97.97999858856201,97.97999858856201,98.00000190734863
42,0.4248797297477723,0.699999988079071,0.5272974371910095,22222.32325744629,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,42.48797297477723,69.9999988079071,52.72974371910095
43,0.5276851654052734,0.699999988079071,0.6301028728485107,19419.513641357422,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,52.768516540527344,69.9999988079071,63.010287284851074
44,0.7023581266403198,0.7023581266403198,0.8047758340835571,12015.877029418945,ΠΟΛΥΓΩΝΟ,70.23581266403198,70.23581266403198,80.47758340835571
45,0.7817229628562928,0.7817229628562928,0.8841406702995301,7860.561820983887,ΠΡΟΜΠΟΝΑ,78.17229628562929,78.17229628562929,88.41406702995302
46,0.6545907855033875,0.699999988079071,0.7570084929466248,6422.966400146484,ΠΡΟΦΗΤΗΣ ΗΛΙΑΣ,65.45907855033875,69.9999988079071,75.70084929466248
47,0.800118863582611,0.800118863582611,0.9025365710258483,17959.24690246582,ΡΙΖΟΥΠΟΛΗ,80.0118863582611,80.0118863582611,90.25365710258482
48,0.47464668750762945,0.699999988079071,0.5770643949508667,17303.51390838623,ΡΟΥΦ,47.46466875076295,69.9999988079071,57.70643949508667
49,0.5966427326202393,0.699999988079071,0.6990604400634766,16209.904106140137,ΣΕΠΟΛΙΑ,59.664273262023926,69.9999988079071,69.90604400634766
50,0.8775086402893066,0.8775086402893066,0.979926347732544,8047.666427612305,ΣΤΑΔΙΟ,87.75086402893066,87.75086402893066,97.9926347732544
51,0.835220217704773,0.835220217704773,0.9376379251480103,2568.2445526123047,ΣΧΟΛΗ ΕΥΕΛΠΙΔΩΝ,83.5220217704773,83.5220217704773,93.76379251480103
52,0.8869494795799255,0.8869494795799255,0.9800000190734863,10760.400461137295,ΤΡΙΓΩΝΟ ΠΕΙΡΑΙΩΣ-ΠΑΝΕΠΙΣΤΗΜΙΟΥ-ΕΡΜΟΥ-ΜΟΝΑΣΤΗΡΑΚΙ-ΠΛΑΚΑ,88.69494795799255,88.69494795799255,98.00000190734863
53,0.9800000190734863,0.9800000190734863,0.9800000190734863,1122.2729568481445,ΩΔΕΙΟ,98.00000190734863,98.00000190734863,98.00000190734863
