year,deaths_T,deaths_T_plus_dT,marginal_per_C,<15,15-64,65+
2020,1255.6407575270127,1958.1323196066883,702.4915620796755,0.0,198.85676240640217,1056.7839951206106
2030,1406.712780570445,2130.6957801553044,723.9829995848595,0.0,172.72082625656142,1233.9919543138835
2040,1481.2798073937888,2226.502933106121,745.2231257123321,0.0,129.72013847266416,1351.5596689211247
2050,1708.1021860224719,2510.459594326853,802.3574083043814,0.0,91.7816547613412,1616.3205312611306
