"CNTR_CODE","agegroup","agepop","death","excess_total_est","excess_cold_est","excess_heat_est","excess_total_low","excess_total_hi","excess_cold_low","excess_cold_hi","excess_heat_low","excess_heat_hi","rawrate_total_est","rawrate_cold_est","rawrate_heat_est","rawrate_total_low","rawrate_total_hi","rawrate_cold_low","rawrate_cold_hi","rawrate_heat_low","rawrate_heat_hi","af_total_est","af_cold_est","af_heat_est","af_total_low","af_total_hi","af_cold_low","af_cold_hi","af_heat_low","af_heat_hi","cntr_name","region"
"AT","20-44",871592.076601668,544.59941498341,11.8800994479155,5.15085540719004,6.72924404072549,4.34325177163598,19.3137764108542,-0.608884455917303,11.118864365395,0.462831030571128,11.8958522646298,1.3630343559611,0.590970884828736,0.772063471132364,0.498312443198232,2.21591922750818,-0.0698588792008458,1.2756958976437,0.0531017941759754,1.36484171712662,2.1814381582245,0.945806268878739,1.23563188934576,0.797513117374224,3.54641886852606,-0.111804096582779,2.04165925623217,0.0849855908466641,2.18433070938796,"Austria","Western"
"AT","45-64",656253.987526956,2964.24759859361,74.8856128169446,56.9264248746505,17.9591879422941,27.5948026630208,124.034113037141,10.4593512287257,104.731279861601,2.05375160965414,34.0385129194629,11.4110716643636,8.67445013007441,2.73662153428917,4.20489676062919,18.9003214295968,1.59379621724525,15.9589551990798,0.312950724671944,5.18678950016509,2.52629412106041,1.92043420737388,0.605859913686523,0.930920975566051,4.18433713485975,0.352850120674406,3.53314884732609,0.0692840777075622,1.14830194804282,"Austria","Western"
"AT","65-74",225775.09425522,4004.51579850011,159.321871841632,134.272316660699,25.0495551809337,58.2004124152069,258.632755413534,32.630769642097,235.008980028907,15.491427063538,33.8702757088721,70.5666284260442,59.4717132567841,11.0949151692601,25.7780481089806,114.553270929508,14.4527764453995,104.089860223133,6.86144196490789,15.0017767994306,3.978555207631,3.35302252299742,0.625532684633582,1.45336952939494,6.45852753310162,0.814849317221294,5.86859914791519,0.38684894361861,0.845802024843009,"Austria","Western"
"AT","75-84",139153.318367151,5790.06714924841,304.073312615265,265.362798578077,38.710514037188,169.97936223828,445.454626284937,125.430906209044,406.705231745463,24.5644364248074,50.9032693048495,218.516752732392,190.698146254714,27.8186064776779,122.152575470601,320.117861012571,90.1386382163732,292.271313769453,17.6527852249955,36.5807081729399,5.25163706701978,4.58306944872864,0.668567618291144,2.93570623374108,7.69342763741108,2.16631177110487,7.02418851564192,0.424251321990212,0.879148168626285,"Austria","Western"
"AT","85+",56385.7126448581,8525.00745372471,566.004480775306,504.918118771917,61.0863620033891,363.418340063594,756.831435947358,298.369713906261,696.579170187876,42.1309418465171,78.0780569777441,1003.80833056106,895.471734040346,108.336596520714,644.522030523161,1342.2397278442,529.158362838338,1235.38240010415,74.7191795054117,138.471349062331,6.63934294307286,5.92278800356134,0.716554939511514,4.26296800367971,8.87778034278066,3.49993493291198,8.17100951487767,0.494204164338994,0.915870835322621,"Austria","Western"
"BE","20-44",1078612.88211901,751.119836388023,20.889741652314,7.2753424608313,13.6143991914827,12.3174015983202,27.9528141249711,2.90002496220875,11.3560530080769,5.43474377494281,21.0749320738351,1.93672280376206,0.674509138676186,1.26221366508587,1.14196685414343,2.59155203765561,0.26886615302716,1.0528386223023,0.503864163411983,1.9538921167372,2.78114631518298,0.968599430926613,1.81254688425637,1.63987169578053,3.72148527715501,0.386093512874637,1.51188298563459,0.723552156614229,2.80580155826799,"Belgium","Western"
"BE","45-64",822731.379583945,3992.73218168192,86.7468669452836,62.8628249186818,23.8840420266018,45.1057522422922,131.228940289313,13.3601363650342,112.195857049326,11.0660467479477,35.815110875845,10.5437654498059,7.64074720845965,2.90301824134628,5.48243975635185,15.9503993096356,1.62387587207266,13.6369974250968,1.34503764199972,4.35319616640327,2.17261922408083,1.57443129311521,0.598187930965626,1.12969641312861,3.28669528327926,0.334611382810212,2.81000207236699,0.277154746284189,0.897007593951819,"Belgium","Western"
"BE","65-74",284580.631642254,4893.24629156782,164.10377803726,144.209747206997,19.8940308302633,80.6628842436069,253.9419194899,59.5661420109564,234.263373063048,14.3792762034077,25.2620929911967,57.6651253777365,50.6744771683137,6.99064820942277,28.3444743860883,89.2337324660694,20.9312002954006,82.3188042387721,5.05279509727277,8.87695443130284,3.35367909684106,2.94711810144328,0.406560995397783,1.64845338732709,5.18964107585386,1.2173133838287,4.78748379101084,0.29385964545023,0.516264489582898,"Belgium","Western"
"BE","75-84",184055.143210178,8326.12600081498,385.147647852056,348.665306177837,36.4823416742191,240.573115113658,527.061500314556,203.696641347149,490.087053420459,26.5640461198429,45.5477018873706,209.25666141926,189.435242121806,19.8214192974542,130.707086429495,286.36064775038,110.671529083293,266.27186009185,14.4326562444977,24.7467694153802,4.62577251190238,4.18760544992604,0.43816706197634,2.88937634489449,6.33021287766923,2.44647560374669,5.88613544129032,0.319044488604217,0.5470455513514,"Belgium","Western"
"BE","85+",85409.7161781544,12878.2130899959,775.224007028256,713.821650451446,61.4023565768107,540.079867264626,1016.14199253311,475.409968766206,953.63813877937,45.9131102388502,75.2034909336312,907.653182468411,835.761646792619,71.8915356757921,632.340079597131,1189.72645970811,556.622817683362,1116.5452614199,53.7563081735115,88.0502761263903,6.01965506868706,5.54286254982037,0.476792518866687,4.19374849204952,7.8903958602958,3.69158333880589,7.40505015808584,0.356517708769058,0.583959050903198,"Belgium","Western"
