"region","excess_total_est","excess_cold_est","excess_heat_est","rawrate_total_est","rawrate_cold_est","rawrate_heat_est","excess_total_low","excess_total_hi","excess_cold_low","excess_cold_hi","excess_heat_low","excess_heat_hi","rawrate_total_low","rawrate_total_hi","rawrate_cold_low","rawrate_cold_hi","rawrate_heat_low","rawrate_heat_hi","stdrate_total_est","stdrate_cold_est","stdrate_heat_est","stdrate_total_low","stdrate_cold_low","stdrate_heat_low","stdrate_total_hi","stdrate_cold_hi","stdrate_heat_hi","pop","death","af_total_est","af_cold_est","af_heat_est","af_total_low","af_total_hi","af_cold_low","af_cold_hi","af_heat_low","af_heat_hi"
"Eastern",34632.4215888649,31944.072408426,2688.34918043883,137.369881271687,126.706514669207,10.6633666024803,27253.4107072881,41646.2654150251,24731.3082054588,38883.9892248435,1578.92479515432,3819.90400476175,108.100953423147,165.190369977206,98.097006100483,154.233771077207,6.26282257192807,15.1516912629661,156.765732589969,144.72138949442,12.0443430955492,124.073146936081,112.50436714433,7.07445001874831,188.396416204724,176.296484933329,17.0459572850556,25211073.3941523,378594.027637513,9.14764076046754,8.43755317741332,0.710087583054216,7.19858442494556,11.0002436316559,6.53240843755147,10.2706293248961,0.417049578147617,1.00897101536402
"Northern",39738.008410533,38828.0727070037,909.935703529286,110.383782450974,107.856173525406,2.52760892556778,34762.4676331609,44607.3598101039,33924.5736203185,43674.7513034082,596.857450356377,1216.1800411114,96.5627825389648,123.909810731372,94.2352901927189,121.319221554091,1.65794375686221,3.37829092219111,124.21435634939,121.369515452764,2.84484089662576,108.852027574251,106.152416761568,1.88599341245047,139.271558933617,136.548926731637,3.78908703259612,35999861.1464345,412809.243440434,9.62623997450942,9.40581474954457,0.220425224964854,8.42095185259022,10.8058045014538,8.21797819680208,10.5798869568458,0.144584323108186,0.294610661082954
"Southern",37951.1013741809,31663.5234713047,6287.57790287616,86.650600178072,72.294695363113,14.3559048149591,30254.5262623843,45840.224284351,23635.4784704268,39579.9190338694,4770.33131733185,7648.70258767962,69.0776489696915,104.663179794797,53.9649264659208,90.3695443636727,10.891701603587,17.46364784704,78.7652596849668,65.558165752279,13.2070939326879,62.8332036972281,49.0012757119162,10.0443153853079,95.0461188223385,82.2055280273014,16.0624686121755,43797851.7127281,535629.816269557,7.08532277730446,5.91145647787651,1.17386629942795,5.64840218811843,8.5581912903224,4.41265175173373,7.38941668884816,0.890602272770263,1.42798297543436
"Western",31495.2122302827,27791.9154338009,3703.29679648177,58.9082450699134,51.981645761463,6.92659930845035,24849.8295912449,38956.5807498237,20899.1824263917,35443.6106058657,2980.11014648096,4293.18450737487,46.4788057563599,72.8638940140232,39.0895654594439,66.2932792599309,5.57396018038073,8.02991779327103,57.5640043969891,50.7384947395878,6.82550965740132,45.2944852051115,37.9559152158191,5.49740952179533,71.1570274929671,64.6288787584164,7.91975906194448,53464862.5042277,638190.633915141,4.93507904324251,4.35479838732581,0.580280655916706,3.89379415344868,6.10422320221699,3.27475542819869,5.55376539897303,0.466962375834118,0.672711926378055
"Total",143816.743603861,130227.584020535,13589.159583326,90.7512035795266,82.1761756869608,8.5750278925658,129089.706271461,157409.35033859,115893.128002656,143929.222307717,11529.6548562787,15475.4134074419,81.4581523701537,99.3284066926602,73.1308510350304,90.8221798615378,7.27543976343884,9.76529128266528,92.1171983462711,83.415258051649,8.7019402946221,82.7130902661531,74.237873950728,7.38343067293284,100.823970500785,92.2256980951903,9.91398974940131,158473648.757543,1965223.72126264,7.31808506318354,6.62660350633591,0.691481556847639,6.5687028339207,8.00974202761277,5.89719769554762,7.32380851861707,0.58668408749264,0.787463190068714
