"URAU_CODE","LABEL","CNTR_CODE","cntr_name","region","lon","lat","pop","inmcc","pls1","pls2","pls3","pls4","pls5","death","excess_total_est","excess_total_low","excess_total_hi","excess_cold_est","excess_cold_low","excess_cold_hi","excess_heat_est","excess_heat_low","excess_heat_hi","rawrate_total_est","af_total_est","rawrate_total_low","af_total_low","rawrate_total_hi","af_total_hi","rawrate_cold_est","af_cold_est","rawrate_cold_low","af_cold_low","rawrate_cold_hi","af_cold_hi","rawrate_heat_est","af_heat_est","rawrate_heat_low","af_heat_low","rawrate_heat_hi","af_heat_hi","stdrate_total_est","stdrate_total_low","stdrate_total_hi","stdrate_cold_est","stdrate_cold_low","stdrate_cold_hi","stdrate_heat_est","stdrate_heat_low","stdrate_heat_hi","age","mmp","mmp_low","mmp_hi","mmt","mmt_low","mmt_hi","rr_cold","rr_cold_low","rr_cold_hi","rr_heat","rr_heat_low","rr_heat_hi"
"AT001C","Vienna","AT","Austria","Western",16.3725042,48.2083537,1315748.08133086,FALSE,0.00586277094161725,-3.10106830545235,-0.34607735070358,1.85788671523996,0.489075319945217,14745.5751459427,794.748053328813,391.992448784674,1181.22331088194,686.381596738176,274.697236665097,1067.75957576295,108.366456590637,53.9138506331265,160.886155804895,60.4027522141577,5.38973926390039,29.7923633214179,2.65837340968372,89.775795810939,8.01069676286553,52.1666424201745,4.65483095738747,20.8776467594956,1.86291300235027,81.1522806617301,7.24122026570624,8.23610979398319,0.734908306512913,4.09758155061062,0.365627315988152,12.2277325034866,1.09108091215528,69.7690052155706,40.6518059160009,95.8209331464943,60.3657768582321,29.720510649081,87.6822127456617,9.40322835733849,6.47194720671837,12.1285763717964,79.6,90,76,92,21.3,17.55,21.88,1.23206344052855,1.11914657577148,1.35637310996608,1.45436892098607,1.26585307087414,1.67095929772443
"AT002C","Graz","AT","Austria","Western",15.4382786,47.0708678,198832.512136508,FALSE,-1.22809105463172,-2.52690009879509,-1.41147605181808,-0.442683027635678,0.41369118542623,2175.2774074745,98.3008958425178,41.1821343876387,155.11277579518,86.6670523009492,28.3360204324567,145.076926789674,11.6338435415686,3.58328706336735,18.8607059736317,49.4390453483933,4.51900504757438,20.7119720739459,1.89319000170425,78.0117769113573,7.13071239843687,43.5879682702233,3.98418390239109,14.2512007357241,1.30263939372013,72.9643885855407,6.66935289683852,5.8510770781699,0.534821145183295,1.80216355205895,0.164727820509456,9.48572533282832,0.867048308819104,52.6530102679312,28.2148567697892,76.0719831169514,46.4419150033778,21.3683044968867,70.9081019355861,6.21109526455339,3.55996979479043,8.48756993400911,80.7238095238095,90,71.95,92,19.5,15.23875,20.09,1.12950358369062,1.0169314341069,1.25453723110682,1.34132661553469,1.17837515234398,1.52681180179582
"AT003C","Linz","AT","Austria","Western",14.286198,48.3059078,148206.287450588,FALSE,-0.832735593979361,-2.00465009779155,-1.16005901577946,-0.113842357508985,0.233591825930226,1713.91261492815,85.4862604048081,39.6686104840671,129.200174158169,73.2709488613651,27.5048350287304,117.030917323529,12.2153115434431,5.21712765370192,18.6835189247104,57.6805895858561,4.98778407138288,26.7658080952149,2.31450601031547,87.1759062187182,7.5383174750473,49.4384888264564,4.27506911514486,18.5584805488771,1.60479798031497,78.964880192783,6.82828962831544,8.24210075939972,0.712714956238021,3.52017970589898,0.304398696191441,12.6064280038993,1.09010919004722,59.5018432595232,36.5721245974145,82.5565890928313,51.01400767417,27.5600606756885,74.7156353217946,8.48783558535318,5.76833576655266,11.2173901229782,80.8285714285714,90,77,92.025,20.04,16.6,20.66307,1.17447492570584,1.07612664330196,1.28181135528738,1.34032235274625,1.17847355453604,1.52439908588235
"AT004C","Salzburg","AT","Austria","Western",13.0464806,47.7981346,115307.315314286,FALSE,-0.988058869025328,-2.53480977856709,-1.51373380181941,-0.749875216031326,0.210817928342176,1225.20013216728,58.1741021261009,20.9747341769054,94.9407963339174,51.1616451947666,13.7508888835303,88.7866540859396,7.01245693133426,3.023186227141,10.5018820187858,50.4513542506297,4.74813057873213,18.190289245514,1.71194351242869,82.3371839636916,7.74900310906554,44.3698173488114,4.17577862191918,11.9254262802411,1.12233818153497,77.0000184671194,7.24670621189727,6.08153690181829,0.57235195681295,2.62185119729906,0.24675040001777,9.10773266220056,0.857156454938414,53.5509486163244,25.9900945907953,80.7977559928633,47.1510932405749,19.9151079890453,74.6797656623508,6.39985537574945,4.14389797481658,8.44287993920424,81.3333333333333,91,76,93,18.8896,15.02,19.44,1.15365734158506,1.03563152948749,1.28513397274777,1.34022171575232,1.16925306141265,1.53618947570168
"AT005C","Innsbruck","AT","Austria","Western",11.3927685,47.2654296,93503.3143627569,FALSE,-1.68613750447089,-3.0870514382749,-1.84626262533196,-2.66234912110223,-0.038478297334772,955.445647980437,36.998862127782,5.02884055200798,70.4848234062227,32.3603095378552,0.386933050178242,66.0924055980928,4.63855258992678,1.44201072715073,7.49033101366364,39.5695728861981,3.87241934755661,5.37824844635776,0.526334550022562,75.3821657409583,7.37716724705473,34.6087299240642,3.38693358499842,0.4138174703381,0.0404976516451896,70.6845592036232,6.91744273866284,4.96084296213392,0.485485762558181,1.542202794605,0.150925458732139,8.01076524903068,0.783962021230224,43.7168098365092,12.1410843442214,78.5602602651165,38.3312164915525,6.86338052081188,73.1181935783765,5.38559334495669,2.87166820201372,7.58344435147966,81.7095238095238,91,60,94,15.1,7.28599999999999,16.12,1.06248304776327,0.951849150673199,1.18597597737617,1.29630581459185,1.11976912211814,1.50067431915428
"AT006C","Klagenfurt","AT","Austria","Western",14.3079604,46.6228162,77562.6788008565,FALSE,-1.94896119235624,-1.96090318326274,-1.1420592663015,-1.4401073513999,0.467382879505872,1013.02646655715,42.4572036670428,16.714228219399,67.6055538110054,36.7889616594219,10.918616245375,62.1582367744144,5.66824200762095,1.75866926952411,9.32594320251622,54.7392177828881,4.19112481940744,21.5493178907771,1.64993006315063,87.1624792441527,6.67362167158064,47.4312674964181,3.63158938822716,14.0771520713057,1.07782141985715,80.1393630743553,6.13589465097237,7.30795028646994,0.559535431180287,2.26741687718074,0.17360546121772,12.0237507867163,0.920602127426266,50.5193052682879,25.7531303841948,73.7106316511973,43.6824195225326,18.1269505473124,68.7818866668001,6.83688574575522,3.90463394355595,9.29324616647046,80.8190476190476,90,67,93,19.244,13.77,20.22,1.11490288495231,1.00601712073598,1.23557384586619,1.33357258741471,1.17017544219036,1.51978565075258
"BE001C","Brussels","BE","Belgium","Western",4.351697,50.8465573,808139.152518311,FALSE,2.69897039731654,-2.64782915229836,0.346347637769787,2.13736767833857,0.880702367090523,8425.04185766818,452.291199689764,250.009635962539,651.431179412489,405.91811371131,198.795483450986,606.900158957125,46.3730859784542,28.3865244642714,63.1367319499897,55.9669950750859,5.36841486761403,30.9364587996341,2.96745868075408,80.6087883977047,7.73208240882007,50.2287399943925,4.8179952167461,24.5991649868098,2.35957858500192,75.0984724680041,7.20352692853087,5.73825508069336,0.55041965086793,3.51257878990441,0.336930367158176,7.81260649892336,0.749393688679717,67.5549404441054,43.3814704036052,90.428165419717,60.7400877089723,36.7151512876673,84.2892247983141,6.81485273513313,5.18362329667848,8.30648284382617,79.8714285714286,92,90,93,19.3052,18.644,19.65,1.37389890480274,1.26248179354652,1.49514884909001,1.43337184474594,1.29449139014507,1.58715219039049
"BE002C","Antwerp","BE","Belgium","Western",4.3997081,51.2211097,369735.14782378,FALSE,2.15277097829443,-1.13017911217497,-0.0404937159974788,0.315774521767951,-0.836448056771439,4660.64658579406,225.080302428578,77.4181555935067,365.768408753675,204.053092258947,56.3993578308682,346.312507970643,21.0272101696309,9.52554904380093,31.4391422444406,60.8760902914898,4.82937932077142,20.9388141888001,1.6611033290849,98.9271403886126,7.84801855323165,55.1889895943029,4.37821423492854,15.2539887437882,1.21011874195261,93.6650221135318,7.43056787498596,5.6871006971868,0.451165085842877,2.57631688517233,0.204382565132387,8.50315216973227,0.674566107206435,55.9315117475353,24.2835391439111,87.5546070125693,50.6004947754584,18.5184038186802,83.3766851000949,5.33101697207694,3.27923542053184,7.20709365241587,80.9380952380952,92,63,93,19.41,13.7,19.8008,1.29747271928769,1.17991905688285,1.42673808637615,1.41155540716623,1.22763675085574,1.62302787539663
"BE003C","Ghent","BE","Belgium","Western",3.7250121,51.0538286,188371.369452497,FALSE,1.5524856851521,-0.761151227748918,-0.295980046351018,-0.55210016980507,-0.652054745500337,2252.02420879948,100.67953278509,32.3413050987115,165.694962508187,92.0093480496933,22.3848171994136,157.121730595669,8.67018473539686,3.22570796635306,13.8807838224854,53.4473646805861,4.47062391210976,17.1689069271577,1.43609935329924,87.9618611839904,7.35760130200895,48.8446563387628,4.085628728598,11.8833436654813,0.993986526074985,83.4106218223845,6.97691125973412,4.6027083418233,0.384995183511762,1.71241944873502,0.143235936529858,7.36883947004792,0.616369209897838,49.7685505554317,19.8659947956358,77.9656123908432,45.401042692737,15.3748773319087,73.4866520576189,4.36750786269462,2.44443986615546,6.21804946821855,80.5285714285714,92,61,93,19.25,13.29,19.5608,1.28150659279564,1.16133767373058,1.41410993936262,1.31578315103041,1.16007897779247,1.49238572000503
"BE004C","Charleroi","BE","Belgium","Western",4.4436244,50.4120332,151383.12774262,FALSE,0.0351945309234305,-0.549927134681758,-0.308290409144782,0.270654843919993,-0.0286373878575753,2286.85489753845,98.9749432746383,52.9011985031327,145.760991927137,86.6345531607195,40.3921880726412,133.370505099866,12.3403901139188,4.82201566866337,19.475540781015,65.3804322519444,4.32799402275911,34.9452407887058,2.3132730703673,96.2861542766893,6.3738627266659,57.2286716839504,3.78837123658226,26.682093754408,1.76627682482692,88.1013010423599,5.83204930244699,8.15176056799393,0.539622786176852,3.18530587957048,0.210857963653651,12.8650669803356,0.85162993078303,65.276158353387,42.359037522757,88.117183392272,57.124961881699,33.1581901452181,80.8118884867833,8.15119647168806,5.26791495229114,11.0239739162638,77.7523809523809,91,67,92,18.6,13.68,18.9552,1.24955466178703,1.15150443402864,1.35595383452503,1.29782983240053,1.17788269623801,1.42999152568281
