"CNTR_CODE","death","pop","excess_total_est","excess_cold_est","excess_heat_est","rawrate_total_est","rawrate_cold_est","rawrate_heat_est","excess_total_low","excess_total_hi","excess_cold_low","excess_cold_hi","excess_heat_low","excess_heat_hi","rawrate_total_low","rawrate_total_hi","rawrate_cold_low","rawrate_cold_hi","rawrate_heat_low","rawrate_heat_hi","stdrate_total_est","stdrate_cold_est","stdrate_heat_est","stdrate_total_low","stdrate_cold_low","stdrate_heat_low","stdrate_total_hi","stdrate_cold_hi","stdrate_heat_hi","cntr_name","region","af_total_est","af_cold_est","af_heat_est","af_total_low","af_total_hi","af_cold_low","af_cold_hi","af_heat_low","af_heat_hi"
"AT",21828.4374150502,1949160.18939585,1116.16537749706,966.630514292534,149.53486320453,57.2639120976005,49.592153561896,7.6717585357045,689.872513854344,1504.65206266891,529.0247635849,1376.67918903151,107.586865938985,187.294350134332,35.3933205494091,77.1948899251469,27.1411639978586,70.6293508620353,5.51965233664718,9.60897678668395,63.9174692141532,55.4363026389381,8.48116657521512,39.2111606054259,30.2534178282426,6.15962648017747,86.2596947861365,78.8745774875914,10.5906991203907,"Austria","Western",5.11335445718845,4.42830833885554,0.68504611833291,3.16043013403558,6.89308187324251,2.42355764421391,6.30681510936883,0.492874793982303,0.858029123079588
"BE",30841.4374004486,2455389.75273354,1432.11204151517,1276.83487121579,155.277170299378,58.3252430666385,52.0013113923896,6.32393167424888,979.439743776625,1910.3949886313,817.814362519129,1769.87315122245,118.902911888118,187.715111613469,39.8893797893484,77.8041443931453,33.3069062298021,72.0811492046051,4.84252700638445,7.64502301129541,58.3074948713959,51.9390643193852,6.36843055201068,39.5704221063445,32.8710300980441,4.87503846755094,77.8893053584354,72.2524880136106,7.68667405371502,"Belgium","Western",4.64346723831471,4.13999793406912,0.503469304245589,3.17572664029718,6.19424757616358,2.65167395378023,5.7386208309367,0.385529735025867,0.608645794215604
"BG",46503.7980840159,2596876.56605131,4422.26818032835,4044.58647127168,377.681709056678,170.291812793114,155.748121575978,14.5436912171364,3462.22804227943,5290.72520691508,3092.10409573968,4910.79065937309,200.278619156206,562.724092793101,133.322780433263,203.734181134374,119.070122013592,189.103738066389,7.71228874619716,21.669266077161,191.25621629619,175.137084644848,16.1191316513416,150.305270755277,135.271787621561,8.67380421559175,228.631906420692,212.279971357852,23.9341971198165,"Bulgaria","Eastern",9.50947742448666,8.6973250313115,0.812152393175157,7.44504359842698,11.3769744083195,6.64914313053171,10.5599775968858,0.430671530945437,1.21006050253456
"CH",19859.9193328988,1977029.38747782,952.020084678385,812.406184245219,139.613900433166,48.1540684578755,41.0922664777199,7.06180198015554,459.515479836414,1398.09775278149,316.008582648667,1264.54592919636,101.045706600294,172.018562211047,23.2427237929244,70.7170951345899,15.9840103870086,63.9619186849615,5.11098657613797,8.70086015415776,48.9452046716085,41.7562972975743,7.18890737403422,23.3688563615367,15.9109862300507,5.20656720653868,72.0810413369173,65.3277024497053,8.84489749984508,"Switzerland","Western",4.79367548639195,4.09068219577023,0.702993290621726,2.31378321398923,7.03979572799917,1.59118764458013,6.36732661396858,0.508792130051141,0.866159420527408
"CY",4057.93117976996,457112.667047402,370.597632002813,321.195623119581,49.4020088832317,81.0735861678457,70.2661829947219,10.8074031731238,284.224652440398,461.121026185672,234.074768122123,406.793397823765,31.0105403431306,66.0102490246231,62.1782490247474,100.87688647181,51.2072372953624,88.9919328753979,6.78400372132214,14.4406956497178,112.590595965241,97.9810525854283,14.6095433798127,86.5107441276689,71.784026978679,9.09923408749522,139.311825671382,123.553753141301,19.5351137635601,"Cyprus","Southern",9.13267415303532,7.91525555487091,1.2174185981644,7.00417626245968,11.3634511221999,5.76832769587265,10.0246499953414,0.764195817260965,1.62669710501017
"CZ",33016.4662177169,2522881.41474683,2626.12577980489,2462.33805601062,163.787723794265,104.092319379523,97.6002297063067,6.49208967321602,1764.98658958693,3437.00139257458,1604.10431768423,3275.76923670756,89.7035834619789,229.870539012104,69.9591577816607,136.233172613049,63.5822321377399,129.842378542246,3.55560047086005,9.11142860970225,122.136132288532,114.595374110649,7.54075817788355,82.9425532910553,75.9829567544679,4.19155456771484,159.443441549761,151.401315847658,10.5186408050758,"Czechia","Eastern",7.95398805701285,7.457909152886,0.49607890412686,5.34577679497336,10.4099614111042,4.85849789952217,9.92162278999366,0.271693472191894,0.696229988685927
"DE",309086.452215247,23406685.444911,14123.0078185272,12108.4929228855,2014.51489564174,60.3374956773207,51.7309165852788,8.60657909204198,10604.5519930393,18008.7869242449,8340.02993237887,16199.3748258428,1599.98429384922,2361.10399387812,45.3056543097386,76.9386462967154,35.6309736891523,69.2083245360345,6.8355867712021,10.0873060367095,57.6973742883196,49.3809804570248,8.3163938312948,43.4070010463118,34.0254710339296,6.54696278927417,73.5091852513085,66.0657164906217,9.76700291831173,"Germany","Western",4.56927429762985,3.91751008046551,0.651764217164343,3.43093394001439,5.82645625363858,2.69828388549716,5.24104978064893,0.517649441566271,0.763897601126125
"DK",10730.4083088884,917662.936828644,912.498817250544,884.361711648703,28.1371056018412,99.4372531164932,96.371083123938,3.06616999255526,738.515629231146,1081.09964937829,714.670504519276,1053.98517163599,14.8134933543319,40.224299285761,80.4778747830207,117.81010281558,77.879412563954,114.855371110276,1.61426301094015,4.38334138510294,111.407482723549,107.944498834413,3.4629838891363,90.1151288570043,87.16197934745,1.85280717432061,132.099003507132,128.168630555166,4.91733115069786,"Denmark","Northern",8.5038592286809,8.24164082289541,0.262218405785494,6.88245598836541,10.0751026266427,6.66023588242482,9.82241440675602,0.138051534740401,0.374862709114638
"EE",6084.67627631877,440155.478799737,536.974279782394,516.08410177722,20.8901780051734,121.996500247293,117.250409601747,4.74609064554619,351.124546833517,706.016309588113,337.919871934235,682.923463754967,5.50809348572269,35.8681781147064,79.7728447663541,160.401572533722,76.7728423728157,155.155052395857,1.25139723370995,8.14897913176397,128.65026963812,123.641927481313,5.00834215680747,84.5053514877083,81.0498208041348,1.35847268719736,169.124719310054,163.333589506163,8.5772272403471,"Estonia","Northern",8.82502626922435,8.48170187435923,0.343324394865127,5.77063644618325,11.6031860616133,5.55362120495055,11.2236614199652,0.0905240186262643,0.589483753709353
"EL",45387.286762172,3401063.66057201,3638.59802479536,3131.88254583927,506.715478956082,106.984119908635,92.085384409198,14.8987354994367,2772.76258149697,4423.08963064184,2315.11873653868,3912.89202907515,336.735786119382,663.474963991026,81.5263358237357,130.050186414268,68.0704322996797,115.049067573674,9.90089629968139,19.5078666619089,100.138541113574,86.0769135945918,14.0616275189826,76.1920173242097,63.633695059762,9.33787483838203,121.758134957967,107.677594297613,18.4485053693954,"Greece","Southern",8.01677801068281,6.90035199118697,1.11642601949585,6.10911728657887,9.74521709971053,5.10080884250655,8.6211190582477,0.741916536857265,1.46180794517992
