"agegroup","region","agepop","death","excess_total_est","excess_cold_est","excess_heat_est","excess_total_low","excess_total_hi","excess_cold_low","excess_cold_hi","excess_heat_low","excess_heat_hi","rawrate_total_est","rawrate_cold_est","rawrate_heat_est","rawrate_total_low","rawrate_total_hi","rawrate_cold_low","rawrate_cold_hi","rawrate_heat_low","rawrate_heat_hi","af_total_est","af_cold_est","af_heat_est","af_total_low","af_total_hi","af_cold_low","af_cold_hi","af_heat_low","af_heat_hi"
"20-44","Northern",16333398.0153795,12911.4201481946,724.869109255535,709.243810435204,15.6252988203304,417.467872426656,1020.46528423735,392.559824612563,1008.5035211045,-2.53055599877183,30.982203214483,4.43795656343524,4.34229184746115,0.0956647159740898,2.55591562780488,6.2477218964265,2.40341797979165,6.17448690195942,-0.0154931386377107,0.189686207274875,5.61417025343175,5.49315104221419,0.121019211217561,3.23332265262106,7.90358668933909,3.04040779485791,7.81094186022227,-0.0195993621904224,0.239959685757846
"45-64","Northern",11816348.0560586,55241.6909528106,4168.47794385852,4072.46979232059,96.0081515379276,3251.42264835577,4988.29194001071,3178.57544668246,4898.25444674937,35.5397667214297,152.826799549604,35.2772102182721,34.4647074798418,0.812502738430262,27.5163073475028,42.2151744036775,26.8998122905892,41.4532004601698,0.300767771504557,1.29335052441388,7.54589128602052,7.37209473873536,0.173796547285168,5.88581303771684,9.02994070958452,5.75394306701747,8.86695240906661,0.0643350449785996,0.276651197517024
"65-74","Northern",4290450.64524697,71812.8824742887,6296.63431647025,6155.05252516231,141.581791307938,5388.30642988569,7132.19132541383,5250.98334241249,6994.20288442287,81.9776808679971,199.079464572232,146.759276288279,143.459348075265,3.29992821301382,125.588355989013,166.234083902468,122.387687834834,163.017907971303,1.91070094137578,4.64005954229482,8.76811248834727,8.57095873761372,0.197153750733553,7.50325880849425,9.93163215244478,7.3120353361286,9.73948217010648,0.114154561192204,0.277219710047858
"75-84","Northern",2542283.91270403,118661.77060814,11631.6031483027,11364.6744689466,266.928679356127,10223.6613642593,13067.3204077664,9944.29368256024,12781.2570434408,178.517361877325,356.286653251982,457.525734642718,447.026172496167,10.4995621465509,402.144753116312,513.999256435041,391.155906422083,502.747037007616,7.0219286282408,14.0144321203302,9.80231719844644,9.57736801895238,0.224949179494054,8.61580044850437,11.0122412136584,8.38036853115868,10.771166634323,0.150442186192255,0.300253949882947
"85+","Northern",1017380.51704542,154181.479257,16916.4238926459,16526.6321101389,389.791782506963,14913.9851087867,19144.4325486511,14524.9497090219,18692.2587917336,271.467956734334,500.881950671059,1662.74305525066,1624.42978150732,38.3132737433345,1465.92006224952,1881.73768102505,1427.68113460674,1837.2927806813,26.68303080176,49.2325086119866,10.9717613128153,10.7189476905921,0.252813622223219,9.67300688815355,12.4168172733249,9.42068384543824,12.1235435551737,0.176070406148999,0.32486518684657
"20-44","Western",22326732.3634191,13791.8822868803,351.966341310565,139.434007575988,212.532333734577,228.46139854813,464.318822846815,35.2764850035012,242.388881265412,91.7970409669876,315.758437770634,1.57643463262559,0.624515962776715,0.951918669848872,1.02326392787531,2.07965417997114,0.158001110190667,1.08564422827296,0.411153049504866,1.41426175864401,2.55198191218162,1.01098606176929,1.54099585041232,1.65649179565183,3.36660952572445,0.25577716130204,1.7574749858182,0.66558747426601,2.28945136858515
"45-64","Western",18312498.7989473,85331.4520808079,2388.1060904478,1759.80633452129,628.299755926503,1693.9476172928,3054.78139516367,943.832071388877,2564.69690875356,355.341785229023,859.438111514913,13.0408532263498,9.60986457305572,3.43098865329411,9.25022650316937,16.6814012041834,5.15403212718917,14.005171751334,1.94043308414824,4.6931777085731,2.79862352299629,2.06231851399268,0.736305009003609,1.98513862823833,3.57990086969436,1.10607759316586,3.00557045053542,0.416425335048228,1.00717624106647
"65-74","Western",6516834.85726677,101600.514358296,3728.66418846699,3213.73928748837,514.924900978619,2549.47790805028,4932.27092957943,1969.18649066079,4437.78421293367,407.895617841675,614.025042561056,57.215876574028,49.3144196205126,7.90145695351536,39.1214134451699,75.6850685586971,30.2169156314433,68.0972329379377,6.25910624982065,9.42213599100752,3.66992648808628,3.16311320645,0.506813281636281,2.50931594603893,4.85457279496215,1.93816586766129,4.36787573464812,0.40147003232998,0.604352297268584
"75-84","Western",4507462.49179851,183021.635400338,8832.48388060535,7877.94294362187,954.540936983485,6661.55336965882,11226.3465202077,5688.37918237187,10308.5494747667,790.600253486054,1102.34339104943,195.952465420985,174.775562923842,21.1769024971435,147.789435447988,249.061340846084,126.199146254064,228.699617434943,17.5398077061003,24.4559637058586,4.82592337309484,4.30437796405315,0.52154540904169,3.63976278273738,6.13389039806762,3.10803647335421,5.63242124474409,0.431970926145812,0.602302229809161
"85+","Western",1801333.99279593,254445.149788819,16193.991729452,14800.9928605934,1392.99886885858,12922.0474815535,19944.0221958466,11549.9562661774,18486.2934204547,1161.79357987426,1604.75106418058,898.999951936538,821.668436824427,77.3315151121111,717.359886241674,1107.18069361976,641.189047248819,1026.25573571514,64.4962891124363,89.0868140277399,6.36443325521923,5.81696796849054,0.547465286728682,5.07851986657179,7.83824027001477,4.53927153878289,7.26533535254956,0.456598831158113,0.630686442839435
"20-44","Eastern",11091607.0669865,12245.7249073881,608.289414406131,531.160782843816,77.1286315623147,317.895948663726,915.661369931701,239.566203671442,836.176853202778,21.4939515713141,132.438142124494,5.48423155213158,4.78885322601071,0.695378326120866,2.86609457713232,8.25544363771332,2.15988722125304,7.53882506072186,0.193785728627996,1.19403925260468,4.96736141801728,4.3375201293584,0.629841288658878,2.59597493058114,7.47739620852711,1.9563252113144,6.82831649025769,0.175522084105828,1.08150512220466
"45-64","Eastern",8405776.46760282,71322.6067984583,5190.72113463325,4711.37140521578,479.349729417469,3710.58945303935,6599.39508954596,3172.00342223856,6098.99498215545,231.333004648944,743.549768364328,61.7518340469688,56.0492111986816,5.70262284828722,44.1433277144656,78.5102377511591,37.7359954129634,72.5571873777744,2.7520718108617,8.84569999250023,7.27780624914771,6.60571958415522,0.672086664992494,5.20254323222459,9.25287981718667,4.44740253423705,8.55127883840511,0.324347377406772,1.04251625359885
"65-74","Eastern",3257316.2384722,81217.8299819011,6955.99715318745,6394.64604261474,561.351110572708,5337.25566995206,8418.11977020241,4752.022072891,7905.99294783701,315.491131092432,815.949331062782,213.549948605852,196.316402045571,17.2335465602813,163.8543905229,258.437288672678,145.887648757122,242.714933676357,9.68561564167957,25.0497425280848,8.56461832917421,7.87345099473816,0.691167334436049,6.57153197905119,10.3648666457579,5.85095917232701,9.73430704760127,0.388450579340444,1.00464310760902
"75-84","Eastern",1828039.18529558,110347.576232111,10763.5319082953,9958.31515840831,805.216749887021,8647.28189805245,12771.9043282722,7848.92925471477,12002.792479865,481.992388520144,1137.24767517536,588.802034161808,544.753922044516,44.0481121172916,473.035915619841,698.666879299255,429.36329362358,656.593828863916,26.3666332974262,62.2113401246089,9.75420781844334,9.02449831563262,0.729709502810722,7.836404018393,11.5742499875185,7.11291495719389,10.8772597366503,0.436794721713048,1.03060503366491
"85+","Eastern",628334.435795169,103460.289717654,11113.8819783427,10348.5790193434,765.302958999313,9051.29856694146,13088.2703763177,8322.64174461678,12301.0447187489,478.832818122077,1039.58805533532,1768.78447928417,1646.98581357348,121.798665710691,1440.52244335246,2083.01019818439,1324.55604380243,1957.72251495044,76.2066808444304,165.451389596322,10.7421717150346,10.0024647597498,0.73970695528482,8.74857260852709,12.6505255417668,8.04428613850733,11.8896291053492,0.462817975310937,1.00481842663729
"20-44","Southern",17134859.2710829,9395.15989881004,422.412085707251,258.785598942099,163.626486765152,321.243929212989,520.108598950064,145.742931445083,371.128375776534,96.1326743256417,224.612097824767,2.46522063020454,1.51028727372643,0.954933356478108,1.87479759320303,3.03538296242566,0.850563924333136,2.16592602194788,0.561035680566556,1.31084880401572,4.49606063395209,2.75445656837491,1.74160406557718,3.41924919504219,5.53592067140804,1.55125546573766,3.9502081898951,1.02321488256754,2.39072139531352
"45-64","Southern",15525020.7379177,58552.9887436481,3088.16248799419,2321.50074358169,766.6617444125,2367.17841914867,3813.35731527405,1528.73550801839,3136.37514632756,521.252852590524,997.798864574035,19.8915192457797,14.9532859425543,4.93823330322539,15.2475056820192,24.562655210891,9.84691443461115,20.2020673548435,3.35750181201006,6.42703724148368,5.27413297639602,3.96478607393637,1.30934690245964,4.04279690915942,6.51266040742921,2.61085820010209,5.35647319397987,0.890224160670313,1.70409553121621
"65-74","Southern",5612135.65256225,76055.7676610135,4693.59551843221,3789.60217755879,903.993340873423,3633.46217533804,5773.04713619166,2699.68498693856,4888.24515799402,679.63038166252,1112.77133502494,83.632966289568,67.5251350317704,16.1078312577976,64.7429499263647,102.867205883663,48.1044143276544,87.1013364718344,12.1100134376159,19.8279479313173,6.17125520230357,4.98266245164909,1.18859275065448,4.77736572396805,7.59054482484823,3.5496124356686,6.42718535138757,0.893594795718434,1.46309920897077
"75-84","Southern",3885072.63357863,156488.534803408,11058.2455455412,9238.44865227469,1819.7968932665,8788.9015500209,13401.6805637383,6852.64091197847,11586.4923087208,1380.43340510963,2229.17360303555,284.634203488627,237.793460344265,46.8407431443627,226.222322693752,344.953153459931,176.383855806226,298.231034564937,35.5317270822315,57.3779131892884,7.06648928589774,5.90359457571807,1.16289471017966,5.61632298561817,8.56400156124819,4.37900509490184,7.40405188359427,0.882130698484603,1.42449643728596
"85+","Southern",1640763.41758659,235137.365162677,18688.6857365061,16055.1862989475,2633.49943755859,14746.7250363991,22413.2029065482,12169.1900044447,19857.723853039,1999.54212525617,3226.08717148409,1139.02379442342,978.519275043515,160.504519379901,898.772173875632,1366.02283219576,741.678530494326,1210.27343980206,121.866571610751,196.621105572269,7.94798637110547,6.82800297938181,1.11998339172366,6.27153622572777,9.53196140946886,5.17535356238494,8.44515878592954,0.850371919355653,1.37200107233156
"20-44","Total",66886596.7168681,48344.1872412731,2107.53695067948,1638.62419979711,468.912750882375,1612.87201166024,2586.22444829978,1047.43505115659,2215.40747420643,285.636981882782,633.036880240416,3.15091072670466,2.44985435084016,0.701056375864494,2.41135308242331,3.86658101210816,1.56598646450858,3.31218447783236,0.427046666900826,0.946433084224737,4.35944230515516,3.38949580767418,0.96994649748098,3.33622738057592,5.34960787610849,2.16662045827582,4.58257259171598,0.590840384713148,1.30943742436106
"45-64","Total",54059644.0605265,270448.738575725,14835.4676569338,12865.1482756394,1970.3193812944,12429.8969092539,17185.0644796699,10366.2859774914,15382.561087507,1468.66423907847,2425.38948608343,27.4427771672407,23.7980632303743,3.64471393686644,22.992931465359,31.7890818156868,19.1756460066312,28.454795355819,2.71674788948687,4.48650657663951,5.48550077736076,4.75696368317028,0.728537094190482,4.59602694940044,6.35427791979074,3.83299475977733,5.68779176731116,0.543047176634268,0.896801922189157
