policy,total_pv,public_pv,private_pv,public_share
Trees,143463521.39768267,143463521.39768267,0.0,1.0
AC,204800399.2753793,13099269.50840893,191701129.76697034,0.06396115219870911
EWS,25638081.626454305,25638081.626454305,0.0,1.0
