year,t,n_warning_days,cost_capex,cost_opex_variable,cost_opex_fixed,cost_total,discount_factor,cost_pv
2020,0,37,150000.0,1632050.25088,0.0,1782050.25088,1.0,1782050.25088
2030,10,45,0.0,1888238.4129,0.0,1888238.4129,1.3439163793441222,1405026.7129131397
2040,20,48,0.0,1957505.3366399999,0.0,1957505.3366399999,1.8061112346694148,1083823.2435879265
2050,30,52,0.0,2071893.0159200002,0.0,2071893.0159200002,2.427262471189662,853592.4896925191
