Policy,PV_Cost_EUR,Avoided_Deaths_25y,Cost_per_Death_EUR,EAC_EUR_yr
Trees (base O&M),143463521.39768267,82.76127331556644,1733461.9883222464,8238804.605645267
Trees (5x O&M),399568460.13897955,82.76127331556644,4827964.144720636,22946366.00016418
AC (NET),204800399.2753793,167.17756465233305,1225047.1509217622,11761250.918348359
AC (NET + trees),204349511.2453165,168.7404122372498,1211028.8729056802,11735357.378704825
AC (GROSS),204800399.2753793,535.8952197287391,382165.00490346923,11761250.918348359
EWS (central),25638081.626454305,2231.644576692986,11488.425125674217,1472340.445334649
