region_id,region_name,gvi_baseline,dGVI_points,gvi_policy,n_pixels,population
1,1η ΔΚ,12.63793101444539,0.3620689855546093,13.0,568,90681.4140625
2,2η ΔΚ,11.753526939905083,1.2464730600949174,13.0,535,109710.1015625
3,3η ΔΚ,11.530940564111422,1.4690594358885782,13.0,649,80479.328125
4,4η ΔΚ,9.301484775801223,3.6985152241987773,13.0,452,80377.609375
5,5η ΔΚ,13.292834806379082,0.0,13.292834806379082,410,89582.15625
6,6η ΔΚ,10.215130872335132,2.7848691276648676,13.0,425,96458.765625
7,7η ΔΚ,14.241806717898756,0.0,14.241806717898756,854,117744.75
