scenario,pv_capex,pv_om,pv_total,eac,cum_avoided_25y,cost_per_death
base_om,66594743.3564966,76868778.04118605,143463521.39768267,8238804.605645267,82.76127331556644,1733461.9883222464
5x_om,66594743.3564966,332973716.7824829,399568460.13897955,22946366.00016418,82.76127331556644,4827964.144720636
