region_id,region_name,GVI_baseline,SVI,population,ΔGVI_uniform,ΔGVI_equity,GVI_after_uniform,GVI_after_equity,Δallocation
1,1η ΔΚ,12.63793101444539,0.4812599,90681.4140625,0.3620689855546093,1.8307538,13.0,14.468684817698565,1.4686848176985645
2,2η ΔΚ,11.753526939905083,0.43505624,109710.1015625,1.2464730600949174,1.6549911,13.0,13.408518089807426,0.4085180898074263
3,3η ΔΚ,11.530940564111422,0.45411664,80479.328125,1.4690594358885782,1.7274984,13.0,13.258438976243685,0.25843897624368495
4,4η ΔΚ,9.301484775801223,0.5330511,80377.609375,3.6985152241987773,2.027772,13.0,11.329256725569289,-1.670743274430711
5,5η ΔΚ,13.292834806379082,0.47246617,89582.15625,0.0,0.0,13.292834806379082,13.292834806379082,0.0
6,6η ΔΚ,10.215130872335132,0.6098628,96458.765625,2.7848691276648676,2.3199701,13.0,12.535101003255543,-0.46489899674445745
7,7η ΔΚ,14.241806717898756,0.43553114,117744.75,0.0,0.0,14.241806717898756,14.241806717898756,0.0
