year,tree_cooling_C,ac_warming_C,net_dT_C,trees_on_top_deaths,ac_penalty_deaths,net_health_impact
2020,,0.067550491406632,,0.0,13.956977120719287,-13.956977120719287
2021,,0.0675556298090421,,0.1438701937643231,14.061593674531906,-13.917723480767583
2022,,0.067560835859387,,0.3114991684107041,14.166624872099431,-13.855125703688728
2023,,0.0675661109024136,,0.5028362505363746,14.272071464909049,-13.769235214372674
2024,,0.067571456318748,,0.7178307667385662,14.377934224498674,-13.660103457760108
2025,,0.067576873526102,,0.9564320436145104,14.484213943130513,-13.527781899516002
2026,,0.067582363980525,,1.2185894077614392,14.590911434491318,-13.37232202672988
2027,,0.0675879291777096,,1.5042521857765845,14.698027534421698,-13.193775348645113
2028,,0.06759357065435,,1.7895095765695828,14.805563101675132,-13.01605352510555
2029,,0.0675992899895563,,2.0743615801404345,14.91351901870867,-12.839157438568234
2030,,0.0676050888063288,,2.3588081964891394,15.021896192506333,-12.663087996017193
2031,,0.0673157911655359,,2.6519560527356254,14.998969920151325,-12.347013867415699
2032,,0.0670250854720917,,2.946667522218327,14.975283205489248,-12.028615683270921
2033,,0.0667329614278887,,3.242942604937245,14.950829949884238,-11.707887344946993
2034,,0.0664394086342146,,3.5407813008923785,14.92560399510333,-11.384822694210952
2035,,0.0661444165905194,,3.840183610083729,14.899599122586949,-11.05941551250322
2036,,0.0658479746931687,,4.141149532511295,14.87280905270913,-10.731659520197834
2037,,0.0655500722341745,,4.4436790681750775,14.84522744402618,-10.401548375851103
2038,,0.0652506983999104,,4.7477722170750765,14.816847892514955,-10.06907567543988
2039,,0.0649498422698061,,5.05342897921129,14.787663930799283,-9.734234951587993
2040,,0.0646474928150216,,5.360649354583721,14.75766902736504,-9.397019672781319
2041,,0.0646474909607319,,5.6911745361728885,14.907818957524228,-9.21664442135134
2042,,0.0646474890986428,,6.025522156243001,15.058533242058516,-9.033011085815515
2043,,0.0646474872287045,,6.363692214794059,15.20981188082432,-8.846119666030262
2044,,0.0646474853508677,,6.7056847118260645,15.361654873677324,-8.65597016185126
