discount_rate,trees_pv,ac_pv,ews_pv,trees_per_death,ac_per_death,ews_per_death
0.01,191868766.6117954,259019860.2088653,32425582.8719276,2318339.9544881955,1549369.741971837,14529.904632026215
0.03,143463521.39768267,204800399.2753793,25638081.626454305,1733461.9883222464,1225047.1509217622,11488.425125674217
0.05,109833964.35337545,165762418.47054482,20751084.6188922,1327117.8650741826,991535.0711997079,9298.561623841855
0.07,86021570.44501793,137060715.8572856,17158041.84641446,1039393.9943023843,819851.1333881477,7688.519052545769
