muni_id,ac_base_muni,ac_policy_muni,ac_policy_uniform,pop_muni,year,region_name
1,0.3291013538837433,0.699999988079071,0.5279681682586671,11615.449109459529,2020,ajuda
2,0.3377120196819306,0.6999999880790709,0.5365788340568542,13791.73306896328,2020,alcantara
3,0.49038389325141907,0.49038389325141907,0.6892507076263428,30061.549200296402,2020,alvalade
4,0.45783552527427673,0.45783552527427673,0.6567023396492004,19245.567606925964,2020,areeiro
5,0.29942795634269714,0.6999999880790709,0.4982947409152985,27841.104301452637,2020,arroios
6,0.47246718406677246,0.47246718406677246,0.6713339686393738,23954.10742855072,2020,avenidas novas
7,0.23294702172279358,0.699999988079071,0.43181380629539495,10428.564155340195,2020,beato
8,0.52911776304245,0.52911776304245,0.7279845476150513,18668.53017144068,2020,belem
9,0.42739421129226673,0.42739421129226673,0.6262609958648682,34144.23139543743,2020,benfica
10,0.4089435935020447,0.4089435935020447,0.607810378074646,18538.827553153038,2020,campo de ourique
11,0.34750136733055115,0.699999988079071,0.5463681817054749,14820.353997686354,2020,campolide
12,0.4452731311321259,0.4452731311321259,0.6441399455070496,17340.380880808458,2020,carnide
13,0.3945335745811463,0.699999988079071,0.5934003591537476,22482.06014585495,2020,estrela
14,0.5613294243812561,0.5613294243812561,0.7601962089538574,46162.940526783466,2020,lumiar
15,0.2458246797323227,0.6999999880790709,0.4446914792060852,35935.02676996589,2020,marvila
16,0.28775349259376537,0.6999999880790708,0.4866202771663665,8729.160654067993,2020,misericordia
17,0.3641346096992492,0.6999999880790709,0.5630013942718505,33267.37167264521,2020,olivais
18,0.5416003465652466,0.5416003465652466,0.7404671311378479,23259.445799694047,2020,parque das nacoes
19,0.27542418241500854,0.6999999880790709,0.4742909669876098,30850.198214054108,2020,penha de franca
20,0.3167884349822998,0.6999999880790712,0.5156552195549011,25182.789854943752,2020,santa clara
21,0.22722116112709045,0.699999988079071,0.4260879456996918,10856.962100028992,2020,santa maria maior
22,0.38118574023246765,0.699999988079071,0.5800524950027466,15551.313467025757,2020,santo antonio
23,0.5119266510009767,0.5119266510009767,0.7107934355735779,37020.3744805851,2020,sao domingos de benfica
24,0.2610813081264496,0.699999988079071,0.4599481225013733,16653.050077438354,2020,sao vicente
1,0.3554506301879883,0.699999988079071,0.5418698787689208,11575.879432190675,2030,ajuda
2,0.36487418413162226,0.699999988079071,0.5512934923171997,13744.673407559167,2030,alcantara
3,0.5319594144821167,0.5319594144821167,0.718378722667694,29959.72001194954,2030,alvalade
4,0.49633824825286865,0.49633824825286865,0.682757556438446,19179.84160375595,2030,areeiro
5,0.3229758143424987,0.6999999880790709,0.5093951225280762,27745.857391357422,2030,arroios
6,0.5123512744903564,0.5123512744903564,0.6987705230712892,23873.79137325287,2030,avenidas novas
7,0.25021860003471375,0.6999999880790709,0.43663787841796875,10392.968841910362,2030,beato
8,0.5743500590324402,0.5743500590324402,0.7607693672180176,18605.381362368003,2030,belem
9,0.46302303671836853,0.46302303671836853,0.6494423151016235,34029.264443112246,2030,benfica
10,0.44283056259155273,0.44283056259155273,0.6292498111724854,18476.882894158363,2030,campo de ourique
11,0.37558773159980774,0.699999988079071,0.5620070099830629,14770.354223259055,2030,campolide
12,0.4825899004936219,0.4825899004936219,0.6690091490745544,17281.294370811433,2030,carnide
13,0.4270601272583008,0.699999988079071,0.6134794354438781,22405.536817073822,2030,estrela
14,0.6096028089523315,0.6096028089523315,0.7960220575332643,46006.88791003823,2030,lumiar
15,0.2643119990825653,0.699999988079071,0.4507312774658203,35812.930323168635,2030,marvila
16,0.31019920110702515,0.699999988079071,0.4966184794902802,8699.700157165527,2030,misericordia
17,0.3937912583351136,0.699999988079071,0.5802105665206909,33154.77682391554,2030,olivais
18,0.5880111455917357,0.5880111455917357,0.7744303941726683,23181.196379335714,2030,parque das nacoes
19,0.29670590162277216,0.699999988079071,0.4831251800060272,30744.90934896469,2030,penha de franca
20,0.34197527170181274,0.699999988079071,0.5283945202827454,25096.971886873245,2030,santa clara
21,0.24395218491554266,0.6999999880790709,0.4303714632987976,10821.04267168045,2030,santa maria maior
22,0.4124521613121032,0.699999988079071,0.5988714098930359,15497.990589141846,2030,santo antonio
23,0.5555360317230225,0.5555360317230225,0.7419552803039552,36893.56324711125,2030,sao domingos de benfica
24,0.2810089886188507,0.699999988079071,0.4674282670021057,16596.416719436646,2030,sao vicente
1,0.36061808466911316,0.699999988079071,0.5445962548255919,11488.115857119672,2040,ajuda
2,0.3702010810375213,0.699999988079071,0.5541792511940002,13522.72236536059,2040,alcantara
3,0.5401130318641663,0.5401130318641663,0.7240911722183226,29512.61015343666,2040,alvalade
4,0.5038892030715942,0.5038892030715942,0.6878673434257508,18838.70854949951,2040,areeiro
5,0.3275938928127289,0.699999988079071,0.5115720629692078,26912.04518890381,2040,arroios
6,0.5201731324195862,0.5201731324195862,0.7041512727737427,23415.025053024292,2040,avenidas novas
7,0.25360581278800964,0.699999988079071,0.43758395314216614,10248.385461688042,2040,beato
8,0.5832207798957825,0.5832207798957825,0.767198920249939,18435.05439988221,2040,belem
9,0.470010370016098,0.470010370016098,0.6539885401725769,33934.20950522252,2040,benfica
10,0.4494762718677521,0.4494762718677521,0.6334544420242308,18203.27085161209,2040,campo de ourique
11,0.38109588623046875,0.699999988079071,0.5650740265846254,14507.008279552276,2040,campolide
12,0.4899082481861115,0.4899082481861115,0.6738864183425903,16966.573129579425,2040,carnide
13,0.43343907594680786,0.699999988079071,0.6174172163009644,21867.330711185932,2040,estrela
14,0.6190698742866517,0.6190698742866517,0.803048014640808,44853.255351901054,2040,lumiar
15,0.26793763041496277,0.699999988079071,0.45191577076911926,35178.487896323204,2040,marvila
16,0.31460112333297735,0.699999988079071,0.4985792636871339,8504.383781433105,2040,misericordia
17,0.39960736036300665,0.6999999880790709,0.5835855007171631,32790.993844136596,2040,olivais
18,0.5971129536628723,0.5971129536628723,0.7810910940170288,22302.902657940285,2040,parque das nacoes
19,0.300879567861557,0.699999988079071,0.4848577082157135,30086.505787849426,2040,penha de franca
20,0.34691476821899414,0.699999988079071,0.5308929085731506,24243.146552026272,2040,santa clara
21,0.24723337590694427,0.699999988079071,0.4312115013599396,10486.364924430847,2040,santa maria maior
22,0.4185839593410492,0.699999988079071,0.6025620698928832,15114.180824279785,2040,santo antonio
23,0.5640884637832643,0.5640884637832643,0.7480666041374207,36455.7754595654,2040,sao domingos de benfica
24,0.28491708636283875,0.699999988079071,0.46889522671699524,16244.947232246399,2040,sao vicente
1,0.40200814604759216,0.6999999880790712,0.5664334297180176,11366.682307871059,2050,ajuda
2,0.412868082523346,0.6999999880790709,0.5772933959960938,13295.717395531421,2050,alcantara
3,0.6054208874702454,0.6054208874702454,0.7698461413383484,29055.35541510582,2050,alvalade
4,0.5643702149391174,0.5643702149391174,0.7287955284118652,18501.989552497864,2050,areeiro
5,0.36458346247673035,0.6999999880790709,0.5290087461471558,26158.985733032227,2050,arroios
6,0.5828239321708679,0.5828239321708679,0.7472492456436158,22970.94867324829,2050,avenidas novas
7,0.28073641657829285,0.699999988079071,0.4451617002487183,10087.674451351166,2050,beato
8,0.6542727947235109,0.6542727947235109,0.8186980485916138,18230.881562227616,2050,belem
9,0.5259770154953003,0.5259770154953003,0.6904023289680481,33682.822350074865,2050,benfica
10,0.5027067065238954,0.5027067065238954,0.6671320199966431,17925.04962992668,2050,campo de ourique
11,0.42521461844444275,0.699999988079071,0.5896399021148682,14240.109473607794,2050,campolide
12,0.5485262870788574,0.5485262870788574,0.7129516005516053,16660.379787951708,2050,carnide
13,0.48453253507614136,0.699999988079071,0.6489578485488892,21386.399938046932,2050,estrela
14,0.694898784160614,0.694898784160614,0.8593240976333619,43828.437541246414,2050,lumiar
15,0.29697793722152716,0.699999988079071,0.4614032506942749,34551.361333832145,2050,marvila
16,0.34985938668251043,0.6999999880790709,0.5142846703529358,8314.306791305542,2050,misericordia
17,0.44619277119636536,0.699999988079071,0.6106180548667907,32357.133325196803,2050,olivais
18,0.6700161099433899,0.6700161099433899,0.8344413638114929,21597.10130795848,2050,parque das nacoes
19,0.3343094289302826,0.6999999880790712,0.498734712600708,29444.6859292984,2050,penha de franca
20,0.386478841304779,0.6999999880790712,0.5509041547775267,23557.01497286558,2050,santa clara
21,0.27351483702659607,0.699999988079071,0.4379401206970215,10180.410728931427,2050,santa maria maior
22,0.4676979780197144,0.699999988079071,0.6321232914924622,14758.036212921143,2050,santo antonio
23,0.6325910687446593,0.6325910687446593,0.7970163226127625,35949.386363340855,2050,sao domingos de benfica
24,0.31621992588043213,0.699999988079071,0.48064520955085754,15897.586004257202,2050,sao vicente
