year,policy,avoided_deaths
2020,income-targeted,5.293157749184033
2030,income-targeted,6.445321818137074
2040,income-targeted,7.89407059850674
2050,income-targeted,7.733085790003003
2020,uniform,6.293283421809512
2030,uniform,7.669446311303112
2040,uniform,9.367961052544103
2050,uniform,9.260537590582949
