muni_id,pop_muni,users_muni,kwh_muni,kwh_per_user_muni,ac_share_muni,kwh_pc_overall,year
1,11615.449109459529,3822.6600222520647,3470051.259028673,907.7583007812501,0.32910135339828755,298.7444761135143,2020
2,13791.73306896328,4657.634042622492,3155726.404917985,677.5385131835936,0.33771202062371447,228.81289748998893,2020
3,30061.549200296402,14741.6995190382,14500353.559936523,983.6283569335939,0.49038389275336647,482.35549882417746,2020
4,19245.567606925964,8811.304537057877,8941622.379638672,1014.7898559570312,0.4578355243670197,464.60684154728807,2020
5,27841.104301452637,8336.404949188232,4382907.609375,525.755126953125,0.29942795583554754,157.4257817476844,2020
6,23954.10742855072,11317.529695987701,7196956.321044922,635.9122924804688,0.4724671845839024,300.4476932614456,2020
7,10428.564155340195,2429.3029574751854,2131794.9810791016,877.5336303710936,0.23294702140094742,204.41883938427566,2020
8,18668.53017144068,9877.850929711247,7935205.514443278,803.3331909179688,0.5291177633696352,425.05786162976244,2020
9,34144.23139543743,14593.04683764813,12448577.46660825,853.0485839843749,0.42739421100567354,364.58801261145703,2020
10,18538.827553153038,7581.334722876549,5367550.684356689,707.9954833984374,0.40894359155884885,289.5302126829369,2020
11,14820.353997686354,5150.093266964199,5193189.883648351,1008.3681640625001,0.3475013665509065,350.40930091542174,2020
12,17340.380880808458,7721.205697922036,7622266.378608704,987.1860351562501,0.44527313159928994,439.5674138302625,2020
13,22482.06014585495,8869.927557468414,7694184.572280884,867.4461669921875,0.39453357476689144,342.2366332250682,2020
14,46162.940526783466,25912.6168128103,27256288.92262268,1051.85400390625,0.5613294239299152,590.4365842294804,2020
15,35935.02676996589,8833.716435052454,8269340.206748962,936.1111450195312,0.24582467940264846,230.11921654279632,2020
16,8729.160654067993,2511.84645652771,1783509.6655273438,710.039306640625,0.28775349155214947,204.31628379942651,2020
17,33267.37167264521,12113.801411354914,11137155.207416534,919.3773803710938,0.3641346100484319,334.7771298859264,2020
18,23259.445799694047,12597.323880043521,8686309.160311878,689.5360717773436,0.5416003454480083,373.45297197176285,2020
19,30850.198214054108,8496.890605807304,8534999.950805664,1004.4850463867188,0.27542418194047336,276.6594850245553,2020
20,25182.789854943752,7977.6165888905525,6759174.3751068115,847.2673950195314,0.3167884350718365,268.40451014524456,2020
21,10856.962100028992,2466.931532382965,2034282.351928711,824.6205444335939,0.2272211609153888,187.3712308458071,2020
22,15551.313467025757,5927.938934326172,4388317.4609375,740.277099609375,0.38118574015599926,282.1830754194669,2020
23,37020.3744805851,18951.71628593474,20225780.168410603,1067.226806640625,0.5119266499012252,546.3418577523513,2020
24,16653.050077438354,4347.800091981888,3607714.9782714844,829.7794189453125,0.26108130773426974,216.63989248187255,2020
1,11575.879432190675,4114.653638837568,3748230.0627224445,910.9467163085938,0.3554506301607956,323.79657067775037,2030
2,13744.673407559167,5015.076499812567,3409805.4453163594,679.9109497070312,0.3648741844280143,248.08195467497006,2030
3,29959.72001194954,15937.355114936829,15731562.981811523,987.08740234375,0.53195941445982,525.0904539674248,2030
4,19179.84160375595,9519.688993215561,9694591.633300781,1018.3727416992189,0.49633824876589905,505.4573355497528,2030
5,27745.857391357422,8961.240911483765,4727534.9091796875,527.5535888671875,0.32297581527522407,170.38705427255135,2030
6,23873.79137325287,12231.767466545105,7805004.533691406,638.0929565429686,0.5123512757277854,326.92773475585386,2030
7,10392.968841910362,2600.514105796814,2290042.2227478027,880.611328125,0.2502185992620378,220.34533708145548,2030
8,18605.381362368003,10686.001875305432,8614176.872142076,806.1178588867189,0.5743500585760296,462.9938351903637,2030
9,34029.264443112246,15756.333355342056,13488004.894790249,856.0370483398436,0.4630230365890628,396.3648675785677,2030
10,18476.882894158363,8182.128470361233,5813446.593048096,710.5054321289062,0.4428305638581542,314.63351401583384,2030
11,14770.354223259055,5547.563838176902,5613439.603551589,1011.8746948242186,0.37558773163619097,380.047730657132,2030
12,17281.294370811433,8339.778160079382,8262103.103270531,990.6862182617188,0.48258990218727427,478.09515456350556,2030
13,22405.536817073822,9568.511393427849,8329213.876251221,870.4816894531251,0.42706012676903593,371.7480167627165,2030
14,46006.88791003823,28045.92810752988,29602292.975875854,1055.493408203125,0.6096028090917782,643.4317625169542,2030
15,35812.930323168635,9465.787211865187,8892023.357471466,939.3854980468751,0.26431199922619675,248.29086246871302,2030
16,8699.700157165527,2698.6400332450867,1922818.2524414062,712.5137939453125,0.310199200488806,221.0212096629184,2030
17,33154.77682391554,13056.061263637617,12045414.346689224,922.5917358398438,0.3937912576814538,363.30856366979083,2030
18,23181.196379335714,13630.801842853543,9432333.165956736,691.9866943359375,0.5880111457493357,406.895874207983,2030
19,30744.90934896469,9122.196041345596,9195411.324707031,1008.0260620117188,0.2967059013837287,299.0872804449065,2030
20,25096.971886873245,8582.543778166175,7297199.613586426,850.2374267578124,0.3419752716324793,290.7601620816718,2030
21,10821.04267168045,2639.817004442215,2184463.157775879,827.5054931640626,0.24395218506538477,201.87178112630465,2030
22,15497.990589141846,6392.179732322693,4748504.294921875,742.8615112304688,0.41245216246299454,306.39483664732364,2030
23,36893.56324711125,20495.70369301266,21949663.76930455,1070.939697265625,0.555536030925868,594.9456175400245,2030
24,16596.416719436646,4663.742269277573,3883417.671875,832.6827392578125,0.28100898815198466,233.99133304040222,2030
