City,Country,Cluster,Pop (k),Warm-season T2M (°C),Hot days,Heat deaths/yr (2020),Heat deaths / 100k
Rome,Italy,Hot,NA,23.2,65,662,NA
Milan,Italy,Hot,1370,22.7,48,451,32.9
