year,activity_share,activity_days_equiv,pen_base,pen_current,pen_policy,dT_night_base,dT_night_current,dT_night_policy,dT_night_incremental,dT_dm_base,dT_dm_current,dT_dm_policy,dT_dm_incremental,marginal_perC,marginal_current_full_perC,marginal_policy_full_perC,marginal_current_active_perC,marginal_policy_active_perC,penalty_base,penalty_current,penalty_policy,penalty_incremental
2020,0.18714232704981631,68.49409170023277,0.39906251451505026,0.39906251451505026,0.5979292985712585,0.4418280747671268,0.4418280747671268,0.6984635145718033,0.2566354398046765,0.2209140373835634,0.2209140373835634,0.34923175728590167,0.12831771990233826,29.341953038009283,156.78950615057067,150.65002208293723,29.341953038009283,28.192995702707087,6.482049310345545,6.482049310345545,9.84588943241027,3.363840122064726
2021,0.18944165059281265,69.31463056072145,0.40234791721564717,0.40234791721564717,0.5999736164178359,0.44603884690831125,0.44603884690831125,0.7011202244244624,0.2550813775161512,0.22301942345415562,0.22301942345415562,0.3505601122122312,0.1275406887580756,30.25637002535934,159.7133995120884,153.48590338713777,30.25637002535934,29.076622880388353,6.747758198871236,6.747758198871236,10.19310417970167,3.4453459808304343
2022,0.19174097413580898,70.13516942121014,0.4056355500874145,0.4056355500874145,0.6020193219721436,0.45025345281176016,0.45025345281176016,0.7037791153603101,0.25352566254854997,0.22512672640588008,0.22512672640588008,0.35188955768015506,0.12676283127427498,31.1842329663961,162.6372928736061,156.3217846913383,31.1842329663961,29.973291275365398,7.020404283203081,7.020404283203081,10.54728820910678,3.5268839259036993
2023,0.19404029767880535,70.95570828169882,0.4089254154019237,0.4089254154019237,0.6040664166476502,0.45447189737628924,0.45447189737628924,0.7064401899857362,0.251968292609447,0.22723594868814462,0.22723594868814462,0.3532200949928681,0.1259841463047235,32.12554186111956,165.5611862351238,159.15766599553885,32.12554186111956,30.883000887638232,7.300077981932206,7.300077981932206,10.908496507196407,3.6084185252642014
2024,0.19633962122180168,71.7762471421875,0.4122175154338327,0.4122175154338327,0.6061149018597451,0.4586941855087207,0.4586941855087207,0.7091034509111959,0.25040926540247516,0.22934709275436035,0.22934709275436035,0.35455172545559793,0.12520463270123758,33.080296709529705,168.48507959664153,161.9935472997394,33.080296709529705,31.805751717206846,7.586869877782271,7.586869877782271,11.276784150748034,3.689914272965763
2025,0.19863894476479801,72.59678600267618,0.41551185246089095,0.41551185246089095,0.6081647790257413,0.4629203221238987,0.4629203221238987,0.7117689007512152,0.24884857862731652,0.23146016106194936,0.23146016106194936,0.3558844503756076,0.12442428931365826,34.04849751162655,171.40897295815924,164.82942860393993,34.04849751162655,32.74154376407124,7.880870717958463,7.880870717958463,11.652206306925395,3.7713355889669318
2026,0.20093826830779435,73.41732486316486,0.4188084287639438,0.4188084287639438,0.6102160495648782,0.46715031214470504,0.46715031214470504,0.7144365421243998,0.24728622997969474,0.23357515607235252,0.23357515607235252,0.3572182710621999,0.12364311498984737,35.030144267410094,174.33286631967695,167.6653099081405,35.030144267410094,33.690377028231424,8.182171414497338,8.182171414497338,12.034818233458486,3.852646818961148
2027,0.20323759185079068,74.23786372365355,0.42210724662693877,0.42210724662693877,0.6122687148983254,0.4713841605020751,0.4713841605020751,0.7171063776534428,0.24572221715136766,0.23569208025103755,0.23569208025103755,0.3585531888267214,0.12286110857568383,36.02523697688033,177.25675968119467,170.50119121234104,36.02523697688033,34.65225150968739,8.490863044617523,8.490863044617523,12.424675278823983,3.93381223420646
2028,0.20553691539378705,75.05840258414223,0.4254083083369304,0.4254083083369304,0.6143227764491856,0.47562187213501417,0.47562187213501417,0.7197784099651318,0.2441565378301176,0.23781093606750708,0.23781093606750708,0.3598892049825659,0.1220782689150588,37.03377564003727,180.18065304271238,173.33707251654158,37.03377564003727,35.62716720843914,8.807036851071304,8.807036851071304,12.821832882426103,4.014796031354798
2029,0.20783623893678338,75.87894144463091,0.4287116161840857,0.4287116161840857,0.616378235642499,0.47986345199061387,0.47986345199061387,0.7224526416903586,0.24258918969974474,0.23993172599530693,0.23993172599530693,0.3612263208451793,0.12129459484987237,38.05576025688091,183.1045464042301,176.17295382074212,38.05576025688091,36.61512412448666,9.130784242497041,9.130784242497041,13.226346574777883,4.095562332280842
