year,<15,15-64,65+,overall
2020,0.0,1.2402964202342375,5.052987001575275,6.293283421809512
2030,0.0,1.0954071640919594,6.574039147211153,7.669446311303112
2040,0.0,0.8693830862077334,8.49857796633637,9.367961052544103
2050,0.0,0.532252364877543,8.728285225705406,9.260537590582949
