scenario,target_gvi,total_dGVI,n_treated,dLST_popw_C,avoided_deaths_anchor,avoided_deaths_25y_raw,avoided_deaths_25y,capex_eur,cost_per_death
Q3 (baseline),18.7,93.89826817136719,18,-0.35218337178230286,43.539367618620645,265.0630498267104,118.6700341441682,938982681.7136719,7912550.868342497
Q3 + 5,23.7,197.40781056554448,22,-0.6943207383155823,75.46347622391572,458.5974744012658,206.1990883524237,1974078105.6554449,9573650.986669075
Q3 + 10,28.7,316.72437622434967,24,-1.0521166324615479,101.06508544775528,613.341820336681,276.7019063394791,3167243762.243497,11446411.064323062
Max observed,35.0,467.9243762243497,24,-1.5038604736328125,123.36920928847346,747.6310487921756,338.4153995074266,4679243762.243497,13826923.26960969
