year,deaths_T,deaths_T_plus_dT,marginal_per_C,<15,15-64,65+
2020,155.7729725683383,326.85449480697787,171.08152223863956,0.0,39.84319474940257,115.92977781893573
2030,199.5711896284975,404.173752462523,204.6025628340255,0.0,37.66994676491332,161.90124286358417
2040,242.78193331680495,483.09410500604133,240.31217168923638,0.0,30.30245952189616,212.47947379490878
2050,265.06377347405845,525.7845365505254,260.720763076467,0.0,20.754304811174553,244.30946866288392
