year,total,<15,15-64,65+
2020,142.5782993927747,0.0,37.28490320406268,105.29339618871204
2030,181.01563262314383,0.0,35.060460818136846,145.95517180500698
2040,219.503886967938,0.0,28.173684438393195,191.3302025295448
2050,236.2698662768343,0.0,19.123792206632388,217.14607407020193
