year,<15,15-64,65+
2020,1.0,1.0,1.0
2030,1.0,0.8285965348107369,0.880163446991269
2040,1.0,0.646354227352006,0.8231923397138847
2050,1.0,0.4586278814623358,0.8081692007429666
