month,month_name,lcz,coef_t2m,coef_lst,slope_median,coef_lst_as_t2m,abs_gap,ratio_abs,sign_check
1,Jan,2,0.0,0.0,1.3590631484985352,0.0,0.0,,both_zero
2,Feb,2,0.0,0.0,1.3530933856964111,0.0,0.0,,both_zero
3,Mar,2,0.0,0.0,1.3729581832885742,0.0,0.0,,both_zero
4,Apr,2,0.0,0.0,1.3860448598861694,0.0,0.0,,both_zero
5,May,2,0.0,0.0,1.4175879955291748,0.0,0.0,,both_zero
6,Jun,2,0.0,0.0,1.4496581554412842,0.0,0.0,,both_zero
7,Jul,2,0.0,0.0,1.4661651849746704,0.0,0.0,,both_zero
8,Aug,2,0.0,0.0,1.4688811302185059,0.0,0.0,,both_zero
9,Sep,2,0.0,0.0,1.4543691873550415,0.0,0.0,,both_zero
10,Oct,2,0.0,0.0,1.4388329982757568,0.0,0.0,,both_zero
11,Nov,2,0.0,0.0,1.3907890319824219,0.0,0.0,,both_zero
12,Dec,2,0.0,0.0,1.3659104108810425,0.0,0.0,,both_zero
1,Jan,3,0.0,0.0,1.2986027002334595,0.0,0.0,,both_zero
2,Feb,3,0.0,0.0,1.2910100221633911,0.0,0.0,,both_zero
3,Mar,3,0.0,0.0,1.310765027999878,0.0,0.0,,both_zero
4,Apr,3,0.0,0.0,1.323007583618164,0.0,0.0,,both_zero
5,May,3,0.0,0.0,1.3545812368392944,0.0,0.0,,both_zero
6,Jun,3,0.0,0.0,1.3814153671264648,0.0,0.0,,both_zero
7,Jul,3,0.0,0.0,1.3946648836135864,0.0,0.0,,both_zero
8,Aug,3,0.0,0.0,1.3983267545700073,0.0,0.0,,both_zero
9,Sep,3,0.0,0.0,1.3903230428695679,0.0,0.0,,both_zero
10,Oct,3,0.0,0.0,1.3766582012176514,0.0,0.0,,both_zero
11,Nov,3,0.0,0.0,1.3291265964508057,0.0,0.0,,both_zero
12,Dec,3,0.0,0.0,1.3044865131378174,0.0,0.0,,both_zero
1,Jan,5,0.0,0.0,1.3565806150436401,0.0,0.0,,both_zero
2,Feb,5,0.0,0.0,1.3517385721206665,0.0,0.0,,both_zero
3,Mar,5,0.0,0.0,1.3773372173309326,0.0,0.0,,both_zero
4,Apr,5,0.0,0.0,1.3940563201904297,0.0,0.0,,both_zero
5,May,5,0.0,0.0,1.424680233001709,0.0,0.0,,both_zero
6,Jun,5,0.0,0.0,1.454574704170227,0.0,0.0,,both_zero
7,Jul,5,0.0,0.0,1.471215009689331,0.0,0.0,,both_zero
8,Aug,5,0.0,0.0,1.4742058515548706,0.0,0.0,,both_zero
9,Sep,5,0.0,0.0,1.461591362953186,0.0,0.0,,both_zero
10,Oct,5,0.0,0.0,1.4444496631622314,0.0,0.0,,both_zero
11,Nov,5,0.0,0.0,1.387988567352295,0.0,0.0,,both_zero
12,Dec,5,0.0,0.0,1.3622792959213257,0.0,0.0,,both_zero
1,Jan,6,0.0,0.0,1.382300615310669,0.0,0.0,,both_zero
2,Feb,6,0.0,-0.0486961873850769,1.3778616189956665,-0.03534185633283835,0.03534185633283835,,same_cooling_sign
3,Mar,6,0.0,-0.095961414091516,1.4041718244552612,-0.06834022191603478,0.06834022191603478,,same_cooling_sign
4,Apr,6,-0.009207626117366,-0.132823134569268,1.4235315322875977,-0.09330536876539915,0.08409774264803314,10.133487999629024,same_cooling_sign
5,May,6,-0.0117650783571407,-0.16507171981739,1.4549603462219238,-0.11345444585210142,0.10168936749496071,9.643322586393259,same_cooling_sign
6,Jun,6,-0.0171452817630871,-0.188895464394466,1.4880374670028687,-0.12694268026391156,0.10979739850082446,7.403942496717234,same_cooling_sign
7,Jul,6,-0.0208424117633557,-0.204391743225615,1.5053174495697021,-0.1357798272278321,0.1149374154644764,6.5145928777088455,same_cooling_sign
8,Aug,6,-0.019788959128059,-0.182400568822092,1.5084547996520996,-0.12091881630404815,0.10112985717598914,6.110418214599065,same_cooling_sign
9,Sep,6,-0.0130171531142462,-0.118270667653842,1.4935741424560547,-0.07918633852307863,0.06616918540883243,6.0832301677711484,same_cooling_sign
10,Oct,6,0.0,-0.0689258629611185,1.4722692966461182,-0.046816070346732123,0.046816070346732123,,same_cooling_sign
11,Nov,6,0.0,0.0,1.4136579036712646,0.0,0.0,,both_zero
12,Dec,6,0.0,0.0,1.3881516456604004,0.0,0.0,,both_zero
1,Jan,8,0.0,-0.0245818933504078,1.401627540588379,-0.01753810669280139,0.01753810669280139,,same_cooling_sign
2,Feb,8,0.0,-0.0530960646987557,1.3983643054962158,-0.037970123014484644,0.037970123014484644,,same_cooling_sign
3,Mar,8,-0.0064302827753414,-0.0876379653608285,1.424193024635315,-0.0615351738457429,0.0551048910704015,9.569590637866751,same_cooling_sign
4,Apr,8,-0.0081249517856616,-0.116316113684002,1.4430427551269531,-0.08060475912494289,0.07247980733928129,9.920644608278053,same_cooling_sign
5,May,8,-0.0088672460831886,-0.138226912323557,1.4768164157867432,-0.09359789805012392,0.08473065196693531,10.555464139827588,same_cooling_sign
6,Jun,8,-0.0111044995061012,-0.144234276488741,1.506274700164795,-0.09575562576531423,0.08465112625921303,8.623137468978475,same_cooling_sign
7,Jul,8,-0.0131887593541859,-0.14683355826334,1.5230622291564941,-0.09640680167392746,0.08321804231974156,7.309770319171794,same_cooling_sign
8,Aug,8,-0.0127686996704464,-0.12616240979241,1.5267030000686646,-0.08263716635569313,0.06986846668524672,6.47185449485978,same_cooling_sign
9,Sep,8,-0.0097729871838943,-0.0918424896143353,1.513629674911499,-0.060676987995564556,0.05090400081167026,6.208642951620678,same_cooling_sign
