zone_id,ac_base,ac_policy_income,ac_policy_uniform,pop_zone,zone_code,ac_base_pct,ac_policy_income_pct,ac_policy_uniform_pct
1,0.40200814604759216,0.699999988079071,0.5664334297180176,11615.449109459529,ajuda,40.200814604759216,69.9999988079071,56.64334297180176
2,0.4128680825233459,0.6999999880790709,0.5772933959960938,13791.73306896328,alcantara,41.28680825233459,69.99999880790709,57.729339599609375
3,0.6054208874702454,0.6054208874702454,0.7698461413383484,30061.549200296402,alvalade,60.542088747024536,60.542088747024536,76.98461413383484
4,0.5643702149391174,0.5643702149391174,0.7287955284118652,19245.567606925964,areeiro,56.43702149391174,56.43702149391174,72.87955284118652
5,0.36458346247673035,0.6999999880790709,0.5290087461471558,27841.104301452637,arroios,36.458346247673035,69.99999880790709,52.900874614715576
6,0.5828239321708679,0.5828239321708679,0.7472492456436157,23954.10742855072,avenidas novas,58.28239321708679,58.28239321708679,74.72492456436157
7,0.28073641657829285,0.699999988079071,0.4451617002487182,10428.564155340195,beato,28.073641657829285,69.9999988079071,44.51617002487182
8,0.6542727947235107,0.6542727947235107,0.8186980485916137,18668.53017144068,belem,65.42727947235107,65.42727947235107,81.86980485916136
9,0.5259770154953003,0.5259770154953003,0.6904023289680481,34144.23139543743,benfica,52.59770154953003,52.59770154953003,69.04023289680481
10,0.5027067065238953,0.5027067065238953,0.6671320199966431,18538.827553153038,campo de ourique,50.270670652389526,50.270670652389526,66.7132019996643
11,0.42521461844444275,0.699999988079071,0.5896399021148682,14820.353997686354,campolide,42.521461844444275,69.9999988079071,58.963990211486816
12,0.5485262870788575,0.5485262870788575,0.7129516005516052,17340.380880808458,carnide,54.852628707885756,54.852628707885756,71.29516005516052
13,0.4845325350761414,0.699999988079071,0.6489578485488892,22482.06014585495,estrela,48.45325350761414,69.9999988079071,64.89578485488892
14,0.694898784160614,0.694898784160614,0.8593240976333618,46162.940526783466,lumiar,69.4898784160614,69.4898784160614,85.93240976333618
15,0.29697793722152716,0.6999999880790709,0.46140325069427496,35935.02676996589,marvila,29.697793722152717,69.99999880790709,46.1403250694275
16,0.34985938668251043,0.6999999880790708,0.5142846703529357,8729.160654067993,misericordia,34.985938668251045,69.99999880790708,51.428467035293565
17,0.4461927711963653,0.6999999880790709,0.6106180548667908,33267.37167264521,olivais,44.61927711963653,69.99999880790709,61.06180548667908
18,0.6700161099433899,0.6700161099433899,0.8344413638114928,23259.445799694047,parque das nacoes,67.00161099433899,67.00161099433899,83.44413638114928
19,0.33430942893028254,0.6999999880790709,0.498734712600708,30850.198214054108,penha de franca,33.43094289302825,69.99999880790709,49.8734712600708
20,0.38647884130477905,0.6999999880790712,0.5509041547775269,25182.789854943752,santa clara,38.647884130477905,69.99999880790712,55.090415477752686
21,0.27351483702659607,0.699999988079071,0.43794012069702143,10856.962100028992,santa maria maior,27.351483702659607,69.9999988079071,43.79401206970214
22,0.46769797801971436,0.699999988079071,0.6321232914924623,15551.313467025757,santo antonio,46.769797801971436,69.9999988079071,63.21232914924623
23,0.6325910687446594,0.6325910687446594,0.7970163226127626,37020.3744805851,sao domingos de benfica,63.25910687446594,63.25910687446594,79.70163226127626
24,0.31621992588043213,0.699999988079071,0.48064520955085754,16653.050077438354,sao vicente,31.621992588043213,69.9999988079071,48.064520955085754
