year,<15,15-64,65+,overall
2020,0.0,2.527094441485417,10.857733966759781,13.384828408245198
2030,0.0,2.267045100809966,13.889434982430544,16.156480083240496
2040,0.0,1.7785228171626812,17.420290205706067,19.198813022868762
2050,0.0,1.1385150419980299,18.541601896969468,19.680116938967473
