year,<15,15-64,65+,overall
2020,0.0,1.137275030199703,4.15588271898433,5.293157749184033
2030,0.0,1.0034266578243773,5.441895160312697,6.445321818137074
2040,0.0,0.7970528224535052,7.097017776053235,7.89407059850674
2050,0.0,0.48581996421262374,7.247265825790379,7.733085790003003
