"URAU_CODE","agegroup","b1","b2","b3","b4","b5"
"AT001C","20-44",0.364506065081614,0.211062331818643,0.26108124201018,0.270155827957209,0.761359701103142
"AT001C","45-64",0.143768657459837,-0.00806271988577153,-0.00247720476339097,-0.00196570650683277,0.634923445023954
"AT001C","65-74",0.0184477352403121,-0.132468247054285,-0.152109240240602,-0.156459328690069,0.563140830629127
"AT001C","75-84",-0.0842780926590809,-0.234443723673104,-0.274762939658345,-0.283098081125585,0.504300468127049
"AT001C","85+",-0.197975017558487,-0.347310159931628,-0.410516028599045,-0.423261825915423,0.439175967178714
"AT002C","20-44",0.521482427800674,0.398810344731564,0.457751241645243,0.468316275897641,0.838961517730349
"AT002C","45-64",0.302123777261841,0.181053979106882,0.195839018224451,0.197894451043793,0.713315000397703
"AT002C","65-74",0.174108662753035,0.0539739391267376,0.0429901417834776,0.040079471833674,0.6399891786694
"AT002C","75-84",0.0714432990928457,-0.0479415149083038,-0.0795913638854044,-0.0864847412578783,0.581183449499815
"AT002C","85+",-0.0401986125774059,-0.158767948591174,-0.212890785816918,-0.224115098710761,0.51723604028997
"AT003C","20-44",0.40553603764377,0.291632874078027,0.346755953243219,0.354656541580235,0.683739679253095
"AT003C","45-64",0.179503145487404,0.0672510182145728,0.0768747463453596,0.076006818746092,0.554270220755285
"AT003C","65-74",0.0536761222413954,-0.0576569132124246,-0.0733615691308225,-0.0791107166623846,0.482197716578405
"AT003C","75-84",-0.0497533876545903,-0.160330931847969,-0.19685545841961,-0.206616956972976,0.422954291822049
"AT003C","85+",-0.160717322353461,-0.270484340779354,-0.329345382045192,-0.343411515293436,0.359395221276198
"AT004C","20-44",0.447936493217594,0.348181560839122,0.405332488998266,0.398983528995786,0.712702404043916
"AT004C","45-64",0.226193250687307,0.128058021253982,0.14057308453903,0.125622017394793,0.585690015439499
"AT004C","65-74",0.100504693972361,0.00328754494211464,-0.00949790316489096,-0.0293248186958359,0.51369682355485
"AT004C","75-84",-0.00429814070000709,-0.100749767146379,-0.134631529682083,-0.158524071756251,0.453666771624708
"AT004C","85+",-0.117172266856346,-0.212799414718929,-0.269402204445385,-0.297673483457146,0.389013561853073
"AT005C","20-44",0.60136639109898,0.520140567101298,0.59565341410983,0.565564724563799,0.857973702307104
"AT005C","45-64",0.379272790704955,0.299669228808934,0.330475685564174,0.291771297409755,0.730760632100704
"AT005C","65-74",0.253920385763709,0.17523244888132,0.180806060005035,0.13723886383231,0.65895998470681
"AT005C","75-84",0.149991116937302,0.0720623217581015,0.056715463121998,0.00911652873074678,0.5994303028598
"AT005C","85+",0.0358609553159763,-0.041234186684897,-0.079554906504132,-0.131581303338747,0.534057648099631
"AT006C","20-44",0.5480946110239,0.428785344665671,0.498605285777151,0.502495061979528,0.839763098585979
"AT006C","45-64",0.314293894560881,0.196692403847633,0.219449367668678,0.214269289972082,0.705844305316163
"AT006C","65-74",0.187657649405227,0.0709811613973619,0.0682468486300857,0.0581541587770676,0.633308286641694
"AT006C","75-84",0.084592613968732,-0.0313310450485708,-0.054811861486005,-0.0689027632677252,0.574273629337086
"AT006C","85+",-0.0287014910259398,-0.143797603762988,-0.190083987142933,-0.208569918142107,0.509379859741345
"BE001C","20-44",0.161535640421292,-0.0540551064318735,0.054807334046506,-0.0375840965017945,0.697306067080759
"BE001C","45-64",-0.0563135341010798,-0.270313021867632,-0.205302588809888,-0.306145063541547,0.572524163037808
"BE001C","65-74",-0.184543940894223,-0.397606781549593,-0.358408522270211,-0.46422545162551,0.499075023967477
"BE001C","75-84",-0.28611509644583,-0.498436020017677,-0.479683553460426,-0.589440742516976,0.440896046638965
"BE001C","85+",-0.401987710609644,-0.613462253420205,-0.618034395493216,-0.732286642123827,0.374525331884156
"BE002C","20-44",0.217426757434895,0.0457356727738522,0.149206762299253,0.067919683441482,0.642339425412057
"BE002C","45-64",-0.00419109778208181,-0.174263395377977,-0.115402930854152,-0.205287252691457,0.51539885745021
"BE002C","65-74",-0.131879842157086,-0.301019449164686,-0.267862124338961,-0.362699888037117,0.442259977383761
"BE002C","75-84",-0.234069341551894,-0.402462514840729,-0.389875452425212,-0.488677463297378,0.383726818671376
"BE002C","85+",-0.347627742204017,-0.515191438689485,-0.525463144681011,-0.628670437617737,0.318681663074566
"BE003C","20-44",0.231994974993866,0.0746961956410805,0.183976257208914,0.0972599494101509,0.589228892629255
"BE003C","45-64",0.000460486289546659,-0.155147070868695,-0.0924738056729649,-0.188172053377176,0.456608172741381
"BE003C","65-74",-0.126193135033739,-0.280875562563993,-0.243697071696861,-0.344308605632852,0.384062201165843
"BE003C","75-84",-0.229085145654847,-0.383016008038252,-0.366549191765129,-0.471152225461356,0.325126650805101
"BE003C","85+",-0.341485420418634,-0.49459526542179,-0.500754092297556,-0.609717480768288,0.260744858536542
"BE004C","20-44",0.273230871566715,0.110975106080055,0.18649833865366,0.165654544575145,0.620854928192673
"BE004C","45-64",0.057928575260811,-0.102754534574907,-0.0705706348952026,-0.099766671863088,0.497531851404464
"BE004C","65-74",-0.0713423578143465,-0.231081220111179,-0.224918947224016,-0.259129804052649,0.423486708925072
"BE004C","75-84",-0.174158911873661,-0.333146760189101,-0.347680972847308,-0.385880402242447,0.364594379354465
"BE004C","85+",-0.2835920371962,-0.441780541399238,-0.478343124071832,-0.52078780332505,0.30191214164089
"BE005C","20-44",0.393527348580144,0.209520599264929,0.303102984230526,0.259485753204073,0.841271878342755
"BE005C","45-64",0.184809258829672,0.00232707143939454,0.0538954931176582,0.00218144096615601,0.721720171505339
"BE005C","65-74",0.0540813293432734,-0.12744596801299,-0.102192459606676,-0.1589778530222,0.646840475547482
"BE005C","75-84",-0.0489292667061602,-0.229704132719314,-0.225186169592287,-0.285967663064084,0.587837000598223
"BE005C","85+",-0.158222362409015,-0.338198907143135,-0.355681126731023,-0.420702437878265,0.525234970498953
"BE006C","20-44",0.148019942370969,-0.0191050792330104,0.102523914807461,0.00492842864294598,0.484832605525719
"BE006C","45-64",-0.0769193183285059,-0.2424012919691,-0.166051506128579,-0.272373082878064,0.35598956856846
"BE006C","65-74",-0.206156280832038,-0.370694255068636,-0.320359257905422,-0.431694336691971,0.281963884104542
"BE006C","75-84",-0.309498828846716,-0.473281947027868,-0.443749315502912,-0.559093371790558,0.222770270274266
"BE006C","85+",-0.425182215158584,-0.58812033477574,-0.581874221210353,-0.701705994337623,0.15650794340624
"BE007C","20-44",0.40807339960414,0.24531850344401,0.351290540355259,0.293575467084541,0.77984406707187
"BE007C","45-64",0.182979085657795,0.0218683700331086,0.0825299872599145,0.0160828084085625,0.650912217111694
"BE007C","65-74",0.0560223749939897,-0.104160997114737,-0.0690551646657939,-0.140427387523147,0.578192638887941
"BE007C","75-84",-0.0461543600606172,-0.205591391686519,-0.191053252246533,-0.266389227109607,0.519666791466396
"BE007C","85+",-0.15759358950126,-0.316216623613324,-0.324110673448764,-0.403769721161791,0.45583547668097
"BE008C","20-44",0.317403804367182,0.140035750799746,0.269088092320549,0.1609327590406,0.740301449059689
"BE008C","45-64",0.0932464847968771,-0.0824842324236147,0.00144630194442529,-0.115404788002333,0.611906300432332
"BE008C","65-74",-0.0350882907009452,-0.209881598458733,-0.151784246795171,-0.273613840150865,0.53839737997554
"BE008C","75-84",-0.137866022873969,-0.311908600221232,-0.274499919441133,-0.400316579342128,0.479527287206612
"BE008C","85+",-0.251994865043092,-0.425203798849843,-0.410768713653395,-0.541012784812117,0.414155388215927
"BE009C","20-44",0.261853979407523,0.101642969562886,0.185174289346297,0.160761335062036,0.57482936925339
"BE009C","45-64",0.0441942743137593,-0.114426860406129,-0.0747094087444216,-0.107566057106097,0.450155991470002
"BE009C","65-74",-0.0847243740040169,-0.242403834416351,-0.228637096293422,-0.26649489829904,0.376312634298668
"BE009C","75-84",-0.187085845785915,-0.344017616323136,-0.350855757837729,-0.39268447835887,0.317680971463185
"BE009C","85+",-0.29642039179968,-0.452553538287915,-0.481400206268764,-0.527470352451286,0.255055199025988
"BE010C","20-44",0.302681175739115,0.172579066507432,0.272179165224288,0.197058091837448,0.607573505327143
"BE010C","45-64",0.0756728748264392,-0.0527710733295546,0.00113332918834131,-0.0827940992613921,0.477545342110349
"BE010C","65-74",-0.0523281320135273,-0.179837108689017,-0.151698702825006,-0.240591686763718,0.404227601118563
"BE010C","75-84",-0.155367657010786,-0.282123991034351,-0.274726953709859,-0.367617159948326,0.34520755594727
"BE010C","85+",-0.27083118241505,-0.396744123828223,-0.412589347503535,-0.509958741496085,0.279071163284574
"BE011C","20-44",0.105065667598275,-0.0690917229333521,0.0521125458146705,-0.0487828251837679,0.463104342787252
"BE011C","45-64",-0.113669341074647,-0.286229002026282,-0.209055054919404,-0.318435834351429,0.337815041494739
"BE011C","65-74",-0.244497446999275,-0.416101486187395,-0.365262617395195,-0.47971862424554,0.262877965440171
"BE011C","75-84",-0.346667802884793,-0.517525548186137,-0.487253088306359,-0.605672599694699,0.204355771945095
"BE011C","85+",-0.463057372677124,-0.633064961162748,-0.626221170633718,-0.749155793906019,0.137688949996979
"BE012C","20-44",0.192753752617199,0.00908530906779884,0.130799315277316,0.0411174296353399,0.578922926468682
"BE012C","45-64",-0.0357819012539976,-0.217781027319707,-0.142070166228422,-0.240617657684938,0.448019910222366
"BE012C","65-74",-0.160706763610047,-0.341793387607279,-0.291229309849326,-0.39462302362312,0.376464155093761
"BE012C","75-84",-0.263081617252205,-0.443420453627766,-0.413463949212449,-0.520829100625571,0.317824827257911
"BE012C","85+",-0.376531208193598,-0.55604136255623,-0.548921723668347,-0.660687936080355,0.252841996812955
"BE013C","20-44",0.151323643276945,0.00252835767568003,0.0799864287517693,0.045829507873266,0.438263149437146
"BE013C","45-64",-0.068412045892178,-0.215602292535594,-0.182375975346795,-0.225057124154555,0.312400668017013
"BE013C","65-74",-0.198130039497609,-0.344372773089967,-0.337258073861838,-0.384971385392911,0.238099453581818
"BE013C","75-84",-0.300078304846467,-0.445576366791772,-0.458983370702527,-0.510651571191839,0.179704471402071
"BE013C","85+",-0.409482212055343,-0.554181143309247,-0.589610635766441,-0.645522952652712,0.11703896954193
"BE014C","20-44",0.255920563063442,0.101309340346613,0.182342858385144,0.155154394145706,0.569342362272648
"BE014C","45-64",0.0357659542235761,-0.11723716957553,-0.0805197319706275,-0.116248675330792,0.443239927709379
"BE014C","65-74",-0.0911605904792004,-0.243236591106812,-0.232068866014638,-0.272721683149747,0.37053762825688
"BE014C","75-84",-0.193901153703204,-0.345226695417429,-0.354740159275258,-0.399378601057019,0.311688825503121
"BE014C","85+",-0.303218979717118,-0.453746019512046,-0.485264644179322,-0.534143863001886,0.249072630120423
"BE015C","20-44",0.468664920379322,0.289153741900671,0.394946967812926,0.341471032052719,0.897914349021431
"BE015C","45-64",0.246630571326104,0.068741222153192,0.129839984826534,0.0677506490009559,0.770735217411032
"BE015C","65-74",0.118426955727546,-0.0585259420279796,-0.0232339601923729,-0.090296711328177,0.697301424078316
"BE015C","75-84",0.0156603474532073,-0.160541901145279,-0.145936351004997,-0.21698573715562,0.638437702971164
"BE015C","85+",-0.0932379944526236,-0.268644805214566,-0.275959975718828,-0.351233865822512,0.576061784035863
"BG001C","20-44",0.4640901885673,0.329691079519746,0.294349075221469,0.363605459781775,0.657278856190526
"BG001C","45-64",0.257069696091132,0.124182749026703,0.0471684997351065,0.108393918226284,0.538699516683169
"BG001C","65-74",0.126958129647793,-0.00497842954929384,-0.108183521150453,-0.0520055332919118,0.464172867525986
"BG001C","75-84",0.0241226655023626,-0.107062741586361,-0.230968125243697,-0.178779443532468,0.40526970644061
"BG001C","85+",-0.075383817323756,-0.205842388539352,-0.349777956074407,-0.301449439014882,0.348273353716836
