"URAU_CODE","agegroup","v11","v21","v31","v41","v51","v22","v32","v42","v52","v33","v43","v53","v44","v54","v55"
"AT001C","20-44",0.0275342669596632,0.0206981272671676,0.023439950876362,0.0231882108577095,0.0337256663066584,0.0182350965173597,0.0195728169480451,0.0194904141096441,0.0270016493324186,0.0223048124186398,0.0213342536561043,0.0307646118365807,0.0247196565384361,0.0269353038094335,0.0704822832086707
"AT001C","45-64",0.0215019023271854,0.0158250292202962,0.0180643264654289,0.0181767696287693,0.0278062250695972,0.0139459002559657,0.0150828427671019,0.0151553448764918,0.0222407145186631,0.0172079667559264,0.0166672204432869,0.0250781124718461,0.0193955076327121,0.02352226940477,0.0569146172713419
"AT001C","65-74",0.0198431226528991,0.014484579333134,0.0165863156348531,0.0167986233861505,0.0261835190914405,0.0127664334511172,0.0138485714994955,0.0139635282009178,0.0209357972133675,0.0158075171935022,0.0153844417925779,0.0235195174277039,0.0179326395715104,0.0225915192626683,0.0531798825575747
"AT001C","75-84",0.0194373690799019,0.0141561956292535,0.0162249788484025,0.0164614038373768,0.0257921903653563,0.0124778981466994,0.01354708267726,0.0136722667394822,0.0206213356327939,0.015466159376144,0.0150712886886568,0.0231439339542083,0.0175761087711619,0.022372509989264,0.0522619831758809
"AT001C","85+",0.0199902966841358,0.0146019416742442,0.0167180792866974,0.0169205459788327,0.0263451754906387,0.012870997755531,0.0139594259200548,0.0140701187901116,0.021066520632087,0.0159355777148879,0.0155002348864562,0.0236756848400591,0.018066538649897,0.0227014444785124,0.0534975196062971
"AT002C","20-44",0.0285550260613566,0.0214337241797718,0.0242597490977502,0.024069711554743,0.0354610756215409,0.0188336580043454,0.0201954085813564,0.0202150184658599,0.0283908529298376,0.0229938494983173,0.0221026058824457,0.0322978728556325,0.0256117884932122,0.0285158957844475,0.0738666072744922
"AT002C","45-64",0.0224111914773811,0.0164698589872388,0.0187836119783338,0.0189651162697989,0.0294256983697205,0.0144631441237765,0.0156204698880368,0.0157979094845297,0.0235364704442136,0.0177992392661654,0.0173470641621821,0.0264969224521457,0.0201877809375119,0.0250294574716332,0.0600360440096754
"AT002C","65-74",0.0206365665272011,0.0150353955003255,0.01720168469428,0.0174904073631141,0.0276856190582592,0.0132001055303547,0.0142988182815602,0.0145217200500831,0.0221370386707419,0.0162988472702469,0.0159733506719956,0.0248237835041756,0.0186218366268349,0.0240273289155268,0.056033546350302
"AT002C","75-84",0.0201777565018158,0.0146638111820409,0.016792517672831,0.0171088527047679,0.0272392031602403,0.0128728815653194,0.0139569079473824,0.0141914274772844,0.0217781784820501,0.015910994064742,0.0156180929217008,0.024393842550584,0.0182177977113969,0.0237735300303324,0.0549905789931067
"AT002C","85+",0.0206531176548591,0.015046545779817,0.0172158906778356,0.0175032794850472,0.0277125744370678,0.0132097818657418,0.0143104890998531,0.0145325456090863,0.0221592216271385,0.0163130169009112,0.0159858559064235,0.024847538028169,0.0186389784733381,0.0240530638723898,0.0560455831847248
"AT003C","20-44",0.0256085282646512,0.0192237148912469,0.0217548910694367,0.0216103252574141,0.031529072189754,0.0169399123208062,0.0181576007581831,0.0181531965994393,0.0252132235412906,0.0206743461494684,0.0198433495101627,0.0287145704573401,0.0230530255642663,0.0253088794963768,0.0661315311907419
"AT003C","45-64",0.0193232798387938,0.0141447718281506,0.0161519734259335,0.0163882080655266,0.0253481799685822,0.0124682966435118,0.0134761326770053,0.0136341886424556,0.0202405139270288,0.0153598590692506,0.0149784766449979,0.0227753644669085,0.017507976777766,0.0217283351785474,0.0520152671887195
"AT003C","65-74",0.0176273135247751,0.0127734044521894,0.0146397477949945,0.0149788378950956,0.0236816838997403,0.0112609348672459,0.0122123711088727,0.0124144244790046,0.0188995499846977,0.0139257992951185,0.0136657193845501,0.0211738482123666,0.0160135896248921,0.0207631069691667,0.0482080435514801
"AT003C","75-84",0.0171988149957944,0.0124259218038141,0.0142572588644531,0.0146224499701654,0.023262080365314,0.0109550317006917,0.0118924670241385,0.0121058138191082,0.0185616695170694,0.0135634328188634,0.0133339808289208,0.0207704025868324,0.0156380645710918,0.0205202515750345,0.0472481174867922
"AT003C","85+",0.0177078620412107,0.0128354711618384,0.0147102966263008,0.0150448517772649,0.023765290435957,0.0113156498311008,0.0122705304142495,0.0124710391099489,0.0189660805125823,0.013993783927485,0.0137278811363282,0.0212535696347977,0.0160908488481106,0.0208120772136107,0.0483950086468937
"AT004C","20-44",0.0259398367071872,0.0195011474430389,0.0220722736435971,0.0218493789490075,0.0314998314396979,0.0172181636626987,0.0184456821368176,0.018381906704178,0.0251828909109241,0.0210325020762542,0.0201027564936797,0.0287759366850157,0.023369241775149,0.0249930737769259,0.0666006411456008
"AT004C","45-64",0.0197312700903103,0.0144839653505548,0.0165375622768797,0.016690461166683,0.0253942256104422,0.0128000788285444,0.0138205608070336,0.0139168362410773,0.0202706043036169,0.0157817329097597,0.0152959561981642,0.0229075686743699,0.0178903186485762,0.0214557640635478,0.0526392795715439
"AT004C","65-74",0.0179903597572684,0.0130761768421678,0.0149851913652801,0.0152434626841614,0.0236834445245117,0.0115601718738623,0.0125228952932988,0.0126640855015875,0.0188939313691281,0.0143090362293689,0.0139476866948908,0.0212626487447438,0.0163553904680107,0.0204646652926722,0.0487212725233937
"AT004C","75-84",0.0175224098523554,0.012696708926334,0.0145674586844392,0.0148540516859618,0.0232250005912718,0.0112257090490696,0.0121732375303766,0.0123265406674442,0.0185247308388058,0.0139127817831356,0.0135848065420753,0.0208211684418078,0.015944358490354,0.0201991328610378,0.0476645741540063
"AT004C","85+",0.018018950276689,0.0130960172293653,0.0150092577958847,0.0152657923754601,0.0237158947841235,0.0115768813642864,0.0125415754504712,0.012682151840391,0.0189191509036036,0.0143319863749733,0.0139683729584166,0.0212917289762759,0.0163853963825217,0.0204836370136001,0.0487746223022527
"AT005C","20-44",0.0301425784398502,0.0228632769102128,0.0258473688686233,0.0252241783051578,0.0352572518256309,0.0202397143765918,0.0216442400207124,0.0213315363305303,0.0282004912088984,0.0247377316601651,0.0233391651662573,0.0325076872770943,0.0270420222052922,0.0267738822020163,0.0759410464050912
