"city","URAU_CODE","agegroup","mmt","tmax","log_rr_slope_at_tmax","temperature","rr","log_rr","af_heat","baseline_daily_per100k","baseline_daily_per_person","mdd_heat_per_person_day","excess_heat_only_per100k_day"
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-3.87,1.0839638390362,0.0806245436383432,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-3.5,1.09988777500183,0.0952081518740461,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-3,1.120237602727,0.113540808099335,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-2.5,1.13916221563194,0.130293093667604,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-2,1.15657726359201,0.145465008578854,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-1.5,1.17240424758767,0.159056552833084,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-1,1.18657110852592,0.171067726430295,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,-0.5,1.19901277340485,0.181498529370487,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,0,1.20967165303282,0.190348961653659,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,0.5,1.21849808597767,0.197619023279811,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,1,1.2254507239579,0.203308714248944,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,1.5,1.23049685449174,0.207418034561057,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,2,1.23361265728108,0.209946984216151,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,2.5,1.2347833915187,0.210895563214225,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,3,1.23400351205795,0.21026377155528,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,3.5,1.23127671316369,0.208051609239315,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,4,1.22661589936165,0.204259076266331,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,4.5,1.22004308370794,0.198886172636328,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,5,1.2115892146009,0.191932898349304,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,5.5,1.20129393304196,0.183399253405262,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,6,1.18920526300937,0.1732852378042,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,6.5,1.17537923832881,0.161590851546118,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,7,1.15987947009705,0.148316094631017,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,7.5,1.14391733617953,0.134458631762502,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,8,1.12893523124857,0.121274915274405,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,8.5,1.11490478862007,0.1087690098939,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,9,1.10179527280832,0.0969409156209892,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,9.5,1.08957818211442,0.0857906324556714,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,10,1.07822714549578,0.0753181603979471,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,10.5,1.06771782779807,0.0655234994478161,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,11,1.05802784287334,0.0564066496052784,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,11.5,1.04913667415039,0.047967610870334,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,12,1.04102560226299,0.040206383242983,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,12.5,1.03367763937879,0.0331229667232253,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,13,1.02707746990624,0.0267173613110609,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,13.5,1.02121139729007,0.0209895670064899,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,14,1.01606729663633,0.0159395838095122,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,14.5,1.01163457293775,0.0115674117201278,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,15,1.00790412469772,0.00787305073833675,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,15.5,1.00486831277824,0.00485650086413907,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,16,1.00252093432227,0.00251776209753467,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,16.5,1.00085720162602,0.000856834438523621,0,0.136727803767992,1.36727803767992e-06,0,0
"Rome","IT001C","20-44",18.04,30.31,0.142862557326244,17,0.999873725860356,-0.000126282112894088,0,0.136727803767992,1.36727803767992e-06,0,0
