Strategy,Trees (%),AC (%),PV Cost (M€),Deaths Avoided,€/Death (M€)
Full Trees,100.0,0.0,449.145299314379,8.27588093821729,54.27159992602908
Full AC,0.0,100.0,372.4756951671805,54.29608906414225,6.8600833243653945
Max Benefit (Budget),100.0,100.0,821.6209944815595,62.57197000235954,13.130815514527939
Best €/Death (Budget),0.0,57.99999999999999,216.03590319696465,31.491731657202504,6.860083324365394
